"subj" "trial" "cond" "Initiation Time" "Mean Gaze" "Nr. Fixation" "Mean Saccade" "Entropy" "Latency Body" "First Fixation Body" "Total Fixation Body" "Mean Gaze Body" "Proportion Fixation Body" "Latency Object" "First Fixation Object" "Total Fixation Object" "Mean Gaze Object" "Proportion Fixation Object" "Latency Face" "First Fixation Face" "Total Fixation Face" "Mean Gaze Face" "Proportion Fixation Face" "Task" "Saliency" "Turbulence" "Complexity" "Clutter" "Feature Congestion" "Fixation Area"
1 1 1 230 220.4 5 99.5712619154261 10.7005962072814 616 206 332 166 0.301 8 222 770 256.667 0.699 0 0 0 0 0 "Search" 228.352612 3.46573590279973 0.548627603515381 "Min" 4.766357 0.880840530543708
6 1 1 466 293.666666666667 12 239.220127532335 11.5168072400715 2452 206 206 206 0.058 8 458 3012 301.2 0.855 508 306 306 306 0.087 "Search" 255.89242 7.54410761596609 0.596771570983441 "Min" 4.766357 2.00779922624171
10 1 1 446 220.4 5 200.455775748556 10.6797945505408 8 438 814 271.333 0.739 1172 122 122 122 0.111 488 166 166 166 0.151 "Search" 214.57908 3.40119738166216 0.499139384643939 "Min" 4.766357 0.880840530543708
14 1 1 458 239.454545454545 11 391.687206796922 11.2356551400194 1284 238 880 220 0.334 8 450 932 233 0.354 500 234 822 274 0.312 "Search" 212.902802 6.26005071921743 0.500247450947891 "Min" 4.766357 1.77729477219412
18 1 1 162 183 8 161.116329216019 11.0911343532576 8 154 654 218 0.447 656 178 628 157 0.429 444 182 182 182 0.124 "Search" 207.7791325 4.09536967763735 0.408249354092174 "Min" 4.766357 1.3258034308287
22 1 1 206 233 12 292.46600802173 11.4308235205881 8 198 1128 188 0.403 1280 202 1002 200.4 0.358 2404 666 666 666 0.238 "Search" 210.641865833333 7.61652598627607 0.613006739971776 "Min" 4.766357 2.1140172733049
3 1 2 246 188.4 15 209.041246797985 11.7126780105637 8 238 858 171.6 0.304 264 166 1714 190.444 0.607 1880 254 254 254 0.09 "Search" 240.167146666667 8.35938678093722 0.553346724452172 "Min" 4.766357 2.64252159163112
7 1 2 42 196.736842105263 19 203.097214944746 11.8344396902551 3204 90 702 234 0.188 8 34 2446 188.154 0.654 436 126 590 196.667 0.158 "Search" 231.741079473684 11.2047776852183 0.586231956239476 "Min" 4.766357 3.17884371708677
11 1 2 138 159.714285714286 7 200.432005843578 10.9211345058727 460 146 146 146 0.131 16 122 972 162 0.869 0 0 0 0 0 "Search" 208.741537142857 3.69806788016834 0.439578445780717 "Min" 4.766357 1.14807618029546
15 1 2 398 178.363636363636 11 210.900738107999 11.3674012627519 784 154 360 180 0.183 184 214 1148 191.333 0.585 436 150 454 151.333 0.231 "Search" 224.96856 6.79990682247971 0.530592547254808 "Min" 4.766357 1.79079167723555
19 1 2 446 221.111111111111 9 261.835985317882 11.358317934136 1888 230 496 248 0.249 8 438 1494 213.429 0.751 0 0 0 0 0 "Search" 217.978025555556 5.3976598098803 0.556005185773676 "Min" 4.766357 1.58551295497867
23 1 2 430 192.285714285714 14 206.972956960656 11.6124840833591 472 150 862 172.4 0.32 8 422 1830 203.333 0.68 0 0 0 0 0 "Search" 237.309531428571 6.92041021990501 0.461035396626318 "Min" 4.766357 2.33941459775948
4 1 3 458 227.217391304348 23 259.37150167501 11.8379695754157 8 450 2482 225.636 0.475 1208 198 2366 262.889 0.453 516 110 378 126 0.072 "Search" 223.419909130435 13.51109815922 0.591130981691074 "Clu" 5.28848 3.64394105513034
8 1 3 394 187.428571428571 14 282.406795281008 11.5326347177131 28 366 734 244.667 0.28 928 162 1482 164.667 0.565 440 202 408 204 0.155 "Search" 225.942205 9.38193796540716 0.633210474542447 "Clu" 5.28848 2.46635348552238
12 1 3 190 187 4 115.654894780542 10.3233587968756 8 182 650 216.667 0.869 0 0 0 0 0 756 98 98 98 0.131 "Search" 194.4759725 2.77258872223978 0.50917640379489 "Clu" 5.28848 0.704672424434966
16 1 3 394 211.263157894737 19 237.061845986107 11.617797295988 8 386 2378 216.182 0.592 1024 190 1284 214 0.32 436 154 352 176 0.088 "Search" 189.651002631579 10.6781720470927 0.550460329840273 "Clu" 5.28848 3.18421009101631
20 1 3 374 231.142857142857 7 191.489844031934 11.1184164835961 8 366 1110 222 0.686 1296 358 508 254 0.314 0 0 0 0 0 "Search" 225.146164285714 3.69806788016834 0.439578445780717 "Clu" 5.28848 1.23317674276119
24 1 3 426 203.142857142857 7 205.016449982253 11.1983829403597 8 418 616 308 0.433 968 118 616 154 0.433 720 190 190 190 0.134 "Search" 210.559105714286 4.13478553178061 0.521920368302175 "Clu" 5.28848 1.23317674276119
5 1 4 578 269.384615384615 13 324.13685940128 11.6882346155756 0 0 0 0 0 8 570 3502 269.385 1 0 0 0 0 0 "Search" 229.07042 7.67733726796597 0.577290101964986 "Clu" 5.28848 2.29018537941364
9 1 4 574 208 10 229.896717334634 11.2628729135729 8 566 708 354 0.34 620 198 1372 171.5 0.66 0 0 0 0 0 "Search" 254.141562 6.05725228764599 0.530938522187699 "Clu" 5.28848 1.6769365005628
13 1 4 486 193.851851851852 27 240.386668371437 12.1245127056872 532 142 296 148 0.057 8 478 4804 200.167 0.918 976 134 134 134 0.026 "Search" 251.475758076923 15.3536392671546 0.607792669087553 "Clu" 5.28848 4.65112549219586
17 1 4 458 231.4 20 232.875786238514 11.9134662648045 2956 82 534 178 0.115 8 450 3816 238.5 0.825 3092 278 278 278 0.06 "Search" 248.1939505 13.0077683074127 0.690657298338745 "Clu" 5.28848 3.40685819099764
21 1 4 34 207.490196078431 51 163.154096599854 12.389298916023 448 254 956 239 0.09 8 26 9202 204.489 0.87 7252 258 424 212 0.04 "Search" 240.3584448 30.0472919807438 0.666463478144144 "Clu" 5.28848 8.2055359743655
25 1 4 86 212 16 224.597759684045 11.7949347039373 8 78 418 139.333 0.123 508 186 2974 228.769 0.877 0 0 0 0 0 "Search" 218.740234375 8.69705309197752 0.54504077752614 "Clu" 5.28848 2.68582650365742
5 2 1 386 212.285714285714 7 248.847289704897 11.1628737041331 1216 174 340 170 0.229 8 378 548 274 0.369 448 194 598 199.333 0.402 "Search" 258.709255714286 4.13478553178061 0.521920368302175 "Min" 3.163311 1.23317674276119
9 2 1 486 192.8 10 314.250279211166 11.4194518212669 528 142 564 141 0.293 8 478 1004 251 0.521 1128 158 360 180 0.187 "Search" 234.5983872 6.05725228764599 0.552214724463724 "Min" 3.163311 1.76168106108742
13 2 1 466 188.909090909091 11 199.533697197219 11.2343629133268 700 138 268 134 0.129 8 458 754 251.333 0.363 512 162 1056 176 0.508 "Search" 223.538994545455 6.24203221371476 0.514277313723913 "Min" 3.163311 1.93784916719616
17 2 1 390 252.4 15 177.945487333791 11.5164706328817 644 166 1420 177.5 0.375 8 382 974 324.667 0.257 436 158 1392 348 0.368 "Search" 246.5170608 7.84562958252347 0.483356759642991 "Min" 3.163311 2.54323896699498
21 2 1 410 192.074074074074 27 246.425256777427 11.8927195851933 460 166 826 165.2 0.159 8 402 3012 188.25 0.581 3780 302 1348 224.667 0.26 "Search" 236.527654851852 16.0300223091306 0.621246743132589 "Min" 3.163311 4.30833716193212
25 2 1 454 210.666666666667 6 258.322438440652 10.8752454191033 504 206 404 202 0.32 8 446 646 215.333 0.511 992 214 214 214 0.169 "Search" 250.089933333333 4.15888308335967 0.578869136866553 "Min" 3.163311 1.05700863665245
1 2 2 546 251 8 168.547277755614 11.1428928231973 596 154 492 246 0.245 8 538 1516 252.667 0.755 0 0 0 0 0 "Search" 251.38463925 5.48063892334199 0.597062257222443 "Min" 3.163311 1.40934484886993
6 2 2 498 256.352941176471 17 307.149924636429 11.7726920288547 548 142 418 139.333 0.096 8 490 3446 265.077 0.791 3572 494 494 494 0.113 "Search" 231.099917058824 10.8806085598191 0.65211621940377 "Min" 3.163311 2.78737462795524
10 2 2 362 210 8 218.478871228835 11.2086216582375 1464 282 412 206 0.245 8 354 1074 214.8 0.639 412 194 194 194 0.115 "Search" 249.554567875 4.83401175841694 0.552772238552107 "Min" 3.163311 1.40934484886993
