Sub	Image	Cond	Lat	Time	Dur	Amp	Amp1B	Amp2B	Vel	rAmp1B	rAmp2B	AbsDir180	RelDir1B180	RelDir2B180	AbsBin180	RelBin1B180	RelBin2B180
JIMM1.asc	alley-n	M	252.173913	6336	45.2173913	10.58910985	14.95190083	16.26930742	300.2608696	-4.386996091	-5.832743086	111.9776	104.2154753	88.07095223	110	100	85
JIMM1.asc	attic2-n	M	221.6363636	6072	39.63636364	6.876675463	11.70520414	14.57521902	249.5	-4.92205474	-8.149294897	118.4992388	110.9739471	113.0294648	115	110	110
JIMM1.asc	attic-z	M	252.3809524	6008	36.38095238	6.365028029	11.58883678	14.95440977	221.6666667	-5.300894842	-8.7628096	121.3807314	118.5584611	109.7202465	120	115	105
JIMM1.asc	barn-n	M	209.8333333	6100	45.5	8.29614011	13.86419234	16.13195133	257.2083333	-5.793049971	-8.439787635	115.5939484	118.5510393	108.8969141	115	115	105
JIMM1.asc	bar-z	M	224.6956522	6116	40.34782609	8.421247785	14.61952467	17.16741351	242.6086957	-6.48323676	-9.969469743	124.5919475	117.2253978	116.6854921	120	115	115
JIMM1.asc	bath2-n	M	224.6666667	6172	37.33333333	7.078493325	11.71989414	14.50949161	239.6666667	-5.035987881	-8.192631365	126.7626091	121.1735613	110.77913	125	120	110
JIMM1.asc	bath-z	M	213.9130435	6044	42.43478261	8.407323668	15.47236179	19.18009652	254.9130435	-7.250472453	-11.41915693	114.786597	123.0227119	109.661445	110	120	105
JIMM1.asc	bed2-n	M	257.1428571	6004	45.33333333	9.873519447	16.07287331	19.22165021	278.7142857	-6.546794253	-10.84652939	102.8504053	117.1530472	97.66982699	100	115	95
JIMM1.asc	bed3-z	M	280.4444444	6288	50	10.37427668	17.1812169	20.26374243	296.7222222	-7.166662814	-11.32216497	104.3325708	103.6300406	92.34890442	100	100	90
JIMM1.asc	bed4-n	M	264.4	6188	37.8	7.684966449	14.13919287	17.89566988	251.35	-6.888700836	-11.28700668	106.6590109	109.8200993	102.2263858	105	105	100
JIMM1.asc	bed-z	M	232	6096	37.89473684	7.657534094	12.65217708	14.00216963	251.3157895	-5.793011027	-7.391401221	102.7235583	103.6582867	90.87720315	100	100	90
JIMM1.asc	board-z	M	225.0434783	6212	38.95652174	7.346922409	13.01240812	15.53888586	264.5652174	-5.895990505	-8.642062988	100.1465215	107.7033409	96.8834971	100	105	95
JIMM1.asc	chap-n	M	270.5454545	6188	43.27272727	8.791504554	13.84527093	17.15073995	269.8636364	-5.626631393	-9.139901819	125.745622	125.2567852	103.5560209	125	125	100
JIMM1.asc	cloi-z	M	235.6666667	6576	39.83333333	7.736622977	14.31585178	16.99102247	250.2916667	-6.67060456	-9.942659866	115.4831456	124.4451264	104.8680845	115	120	100
JIMM1.asc	comp-n	M	236.8333333	6188	39.5	7.477811208	11.72021912	13.77934034	238.625	-4.420578613	-6.778064205	107.9506223	100.8651809	102.0643701	105	100	100
JIMM1.asc	den-z	M	230.6086957	6136	41.39130435	8.243415458	14.02395	18.07575281	268.3478261	-5.990984262	-10.37743144	101.1185732	130.5105946	118.7003926	100	130	115
JIMM1.asc	din2-z	M	285.0526316	6132	33.68421053	6.440394244	9.568669202	11.95740639	221	-3.59444055	-6.795802239	100.6073188	103.4235055	99.94776462	100	100	95
JIMM1.asc	din-n	M	234.8333333	6508	44	9.819537174	13.81027814	16.50416165	284.7083333	-4.196071221	-7.060391914	101.0533709	114.599448	103.3761566	100	110	100
JIMM1.asc	dorm2-z	M	232	6472	39.66666667	7.803684454	11.89369374	13.79055096	263.4583333	-4.251909204	-6.796481902	107.748052	109.4356979	94.06589251	105	105	90
JIMM1.asc	dorm-n	M	241.3913043	6248	41.73913043	8.197384288	12.91500869	15.23786202	246.826087	-5.057197163	-7.41312256	102.8539901	112.8688533	99.00163681	100	110	95
JIMM1.asc	exer-n	M	274.4	6096	35.6	5.951263105	10.04112245	12.27359899	223.55	-4.3971125	-6.987417954	114.5794001	107.4538837	97.16249958	110	105	95
JIMM1.asc	fam2-n	M	246.6666667	6352	43.23809524	9.414481883	17.16493643	19.28487226	261.5714286	-7.85725231	-11.00109948	108.0048459	107.0430057	94.1394425	105	105	90
JIMM1.asc	fam3-z	M	222.4761905	6056	40	8.499338621	14.02241325	17.2332691	286.3333333	-5.832157919	-9.33560077	106.878867	98.47499994	100.2597372	105	95	100
JIMM1.asc	fam-n	M	224	6260	42.08695652	9.602486399	16.5040817	18.58756134	269.3913043	-7.198829556	-9.952008263	98.24795329	110.585767	103.2801761	95	110	100
JIMM1.asc	fanc-n	M	222.3333333	6276	41.83333333	8.406434859	15.49547559	19.66368838	265.6666667	-7.393992234	-11.92387551	121.612916	115.7161278	109.7978667	120	115	105
JIMM1.asc	fish-z	M	362.9333333	6016	53.06666667	13.09497877	17.21318398	18.40039713	320.2666667	-6.056114653	-8.170430395	112.0347017	95.11112066	70.41949289	110	95	70
JIMM1.asc	frat-n	M	264.1818182	6248	41.63636364	9.338283046	15.13546113	17.16292739	266.3181818	-6.479455753	-8.639517961	115.1446388	112.8633198	110.5044101	115	110	110
JIMM1.asc	fryd-z	M	286.7368421	6556	40.84210526	9.435050273	15.38623816	14.31329912	268.6315789	-6.572928511	-6.56008345	93.9992238	108.87491	104.1295865	90	105	100
JIMM1.asc	gal2-z	M	326.8888889	6200	26	3.567738861	7.505385864	10.75379946	161.3333333	-4.307182995	-7.625733034	118.4890135	93.42445142	85.85656018	115	90	85
JIMM1.asc	gal-n	M	254.0952381	6620	39.04761905	8.773010275	14.24413689	15.96866933	268.7142857	-5.794872796	-7.610520437	112.4746022	107.7253232	97.0366089	110	105	95
JIMM1.asc	gara-n	M	244.3636364	6116	42.90909091	8.83251754	14.41500186	17.28858542	267.0909091	-5.666679638	-8.912886242	119.5452641	118.5224748	105.9559044	115	115	105
JIMM1.asc	gas-z	M	222.1666667	6184	29.16666667	5.108349593	8.350833084	9.959416175	194.4166667	-3.590232128	-5.407833223	136.3647982	119.2439669	102.6165007	135	115	100
JIMM1.asc	hous-n	M	229.3913043	6072	39.82608696	7.54536453	14.52218703	18.97582239	246.2173913	-7.39461948	-12.28850154	100.8191662	126.7521853	111.2998158	100	125	110
JIMM1.asc	kit2-n	M	276.4705882	6128	28	3.982908306	7.634843714	9.427091779	170.2352941	-4.010309092	-5.898228123	109.2275499	114.7654619	109.2376973	105	110	105
JIMM1.asc	kit3-z	M	237.7391304	6124	36.86956522	7.55057061	12.46789086	15.16277293	246.173913	-5.196825767	-8.387002481	122.2283442	120.578629	105.2943758	120	120	105
JIMM1.asc	kit4-n	M	238.8	6212	37.4	7.493269354	14.00318574	18.2854242	242.25	-6.773873469	-12.0705813	116.2613587	114.1114195	110.8475245	115	110	110
JIMM1.asc	kit5-z	M	291.3684211	6016	47.15789474	11.74583272	18.27935675	19.29366185	298.6842105	-6.947606546	-9.307131123	114.4369753	108.1542028	97.1541655	110	105	95
JIMM1.asc	kit6-n	M	246.3636364	6364	39.63636364	7.583854203	12.99780671	15.73933801	256.5454545	-6.073906863	-8.997505042	125.3113866	112.4265114	101.3004627	125	110	100
JIMM1.asc	kit7-z	M	265.0909091	6136	40	9.128999304	14.39932019	17.25912133	276.7727273	-5.963433418	-8.867407889	133.255249	126.8657971	109.9088171	130	125	105
JIMM1.asc	kit8-n	M	232.6956522	6020	36.69565217	6.986375725	12.26750885	15.85484077	237.7826087	-5.529334931	-9.529692027	110.8547072	116.7254973	107.3928641	110	115	105
JIMM1.asc	kit-z	M	241.0434783	6248	33.04347826	6.215099875	10.17800759	12.36798374	229.4782609	-4.358007613	-6.888720533	106.0094356	116.5582575	97.48760538	105	115	95
JIMM1.asc	lab2-n	M	248	6212	32.16666667	6.017853099	10.61626044	13.98628187	209.3333333	-4.903537193	-8.584470691	123.3842145	128.0647509	129.4624592	120	125	125
JIMM1.asc	lab-z	M	241.3333333	6560	43.04761905	9.7735106	16.55262148	17.01606401	297.4285714	-7.416451612	-9.12763622	115.8012232	105.7134626	90.42451069	115	105	90
JIMM1.asc	laun-z	M	288.4705882	6000	54.82352941	12.85364188	22.6775483	25.31901457	311.6470588	-10.29307614	-14.39322931	90.98623725	99.58845376	102.0839813	90	95	100
JIMM1.asc	liv2-n	M	286.9473684	7104	34.73684211	8.029756256	13.97055251	18.02435744	246.3157895	-6.23043548	-10.91729973	118.6423617	109.8179963	98.68149724	115	105	95
