blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	search	244287.346597	252297.580439	8010.23384222	2	6024.3712932	True	250514.445043	202.727153082	takeaway_83	soap	False	N	5009.70076358	
0	mixed	1	search	267078.498397	275088.731333	8010.23293665	None	None	False	0	0	fillers_9-16_23	filler	True	Z	1292.93094247	
0	mixed	2	search	283112.308744	291122.467122	8010.15837809	4	6024.28616966	True	289486.197006	349.602092711	color_91	cup	False	N	1408.1314718	
0	mixed	3	memory	298585.916823	306596.19534	8010.27851699	novel	6010.94531808	True	304910.678839	313.816698221	color_84	painting	False	correct	16074.7650349	
0	mixed	4	memory	328441.306411	336451.526368	8010.21995682	2	6010.93173454	True	334751.005786	298.767640496	color_12	wine	False	correct	10213.9435383	
0	mixed	5	memory	352378.636768	360388.846461	8010.2096937	novel	6024.33899455	True	358438.550159	35.5743967699	clone_59	statue	False	correct	2916.27314636	
0	mixed	6	rating	369358.706086	377368.885292	8010.17920619	novel	6024.3435224	True	375565.406577	182.356968298	color_100	stereoright	False	5	3562.42453587	
0	mixed	7	rating	386538.752342	394548.909815	8010.15747252	novel	6010.91422686	True	392904.114969	354.448399436	clone_100	klenexright	False	6	1675.56278133	
0	mixed	8	rating	402505.807116	410516.035525	8010.22840881	2	6024.31212932	True	408682.149593	152.030347449	color_37	redtogreenright	False	4	2134.81335607	
0	mixed	9	rating	418459.607671	426469.709904	8010.10223277	4	6024.32571286	True	424716.908675	232.975291231	takeaway_20	drawerknob	False	6	2137.79630238	
0	mixed	10	rating	434346.704572	442356.973429	8010.26885758	novel	6024.40721413	True	440538.42996	167.318173696	clone_74	chairhole	False	4	2442.54704132	
0	mixed	11	rating	452406.409984	460416.635374	8010.22539024	2	6024.34472983	False	0	0	color_47	potonshelf	False	5	1638.54671773	
0	mixed	12	search	467893.696692	475903.831224	8010.13453142	2	6024.43196637	True	474009.33763	91.2089716593	fillers_9-16_21	filler	True	Z	750.894400923	
0	mixed	13	search	482021.559198	490031.758326	8010.19912872	4	6010.98093716	True	488432.426999	399.886864169	clone_2	statueright	False	N	1070.74611692	
0	mixed	14	search	496762.476334	504772.721345	8010.24501092	None	None	False	0	0	horizontal_49		False	N	1105.52753656	
0	mixed	15	memory	511969.929957	519979.758708	8009.82875075	2	6010.95014779	True	518168.380407	187.500301857	horizontal_15		False	incorrect	2385.71620897	
0	mixed	16	search	528630.081755	536640.266394	8010.18463961	novel	6024.32420358	False	0	0	clone_89	piconshelf	False	N	1066.61309719	
0	mixed	17	rating	543517.572277	551527.856227	8010.28395041	2	6024.40691227	False	0	0	clone_10	vase	False	5	2485.4161032	
0	mixed	18	memory	560164.49008	568174.665966	8010.17588577	novel	6024.32178873	True	566436.993183	248.181314356	clone_84	flushlever	False	correct	7062.02850009	
0	mixed	19	memory	580809.783895	588819.98725	8010.20335471	2	6024.35076696	True	587026.713096	192.578434403	clone_49	vase	False	correct	2256.38185094	
0	mixed	20	rating	597136.769386	605146.981797	8010.21241041	4	6024.32027945	True	603424.434442	263.344775708	takeaway_51	lightright	False	5	1667.78635319	
0	mixed	21	memory	612823.999829	620834.224011	8010.22418281	None	None	False	0	0	color_58	peppers	False	correct	13297.1122592	
0	mixed	22	rating	639880.087188	647890.3648	8010.27761142	2	6024.40540299	True	646243.838806	339.346214961	horizontal_52		False	4	1672.95172227	
0	mixed	23	memory	655687.307416	663697.623363	8010.3159472	2	6024.34412611	True	661909.152652	197.501110832	color_64	flowers	False	incorrect	5905.21795249	
0	mixed	24	rating	675333.094766	683343.257672	8010.16290594	novel	6010.93958281	True	681718.825162	374.790813419	horizontal_24		False	7	1115.35266503	
0	mixed	25	rating	690567.156137	698577.311798	8010.15566138	2	6010.916038	True	696618.728025	40.6558497382	takeaway_90	exitsign	False	3	1539.61414282	
0	mixed	26	memory	706081.059046	714091.253646	8010.19460087	4	6024.25417286	True	712292.713606	187.400387342	horizontal_65		False	correct	4454.55187586	
