blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	974351.118016	982361.36182	8010.24380349	None	None	False	0	0	takeaway_40	handleshadow	False	6	4905.70152667	
0	blocked	1	rating	995556.196028	1003566.38369	8010.18765817	None	None	False	0	0	color_25	hangingcandle	False	3	1836.33549785	
0	blocked	2	rating	1012842.74452	1020852.95994	8010.21542897	None	None	False	0	0	color_31	mid.light	False	7	754.812800649	
0	blocked	3	rating	1029023.14757	1037033.37748	8010.22991809	None	None	False	0	0	takeaway_34	flowersleft	False	5	2022.03220689	
0	blocked	4	rating	1045576.72922	1053587.01739	8010.2881764	None	None	False	0	0	clone_8	teapotsright	False	2	1140.1172773	
0	blocked	5	rating	1060664.17705	1068674.38162	8010.20456214	None	None	False	0	0	horizontal_43		False	1	1164.38503371	
0	blocked	6	rating	1075924.53737	1083934.82434	8010.28696897	None	None	False	0	0	color_16	flowersleft	False	2	1023.32385101	
0	blocked	7	rating	1091572.22069	1099582.33862	8010.11792931	None	None	False	0	0	horizontal_58		False	4	1223.45292487	
0	blocked	8	rating	1106939.19915	1114949.7922	8010.5930515	None	None	False	0	0	clone_68	platestopshelf	False	5	1376.01635097	
0	blocked	9	rating	1122480.13482	1130490.4079	8010.27308357	None	None	False	0	0	clone_54	jarleft	False	5	656.449225316	
0	blocked	10	rating	1137447.65234	1145457.86415	8010.2118067	None	None	False	0	0	takeaway_78	floweronwallright	False	2	773.931790082	
0	blocked	11	rating	1152375.17538	1160385.34191	8010.16652822	None	None	False	0	0	color_34	IAcolor	False	3	1230.09105201	
0	blocked	12	rating	1168675.5015	1176685.67467	8010.17316906	None	None	False	0	0	color_77	booksleft	False	6	1902.7481623	
0	blocked	13	rating	1186561.91621	1194572.13194	8010.21573083	None	None	False	0	0	clone_40	xtradoorknob	False	3	1904.08659419	
0	blocked	14	rating	1204941.09602	1212951.63473	8010.53871733	None	None	False	0	0	horizontal_48		False	4	1062.80789367	
0	blocked	15	rating	1221908.1043	1229918.39429	8010.28998754	None	None	False	0	0	clone_80	statue	False	7	1733.11263596	
0	blocked	16	rating	1240567.4918	1248577.77153	8010.27972442	None	None	False	0	0	takeaway_48	handleleft	False	5	827.932113672	
0	blocked	17	rating	1256547.96561	1264558.16715	8010.20154357	None	None	False	0	0	color_19	pillowbottom	False	3	724.530854568	
0	blocked	18	rating	1271608.75951	1279618.95955	8010.20003429	None	None	False	0	0	color_13	wheelsleft	False	5	1535.38151044	
0	blocked	19	rating	1287669.22802	1295679.51137	8010.2833467	None	None	False	0	0	clone_73	xtrahanging	False	3	1322.6888656	
0	blocked	20	rating	1303356.38994	1311366.63163	8010.24169049	None	None	False	0	0	takeaway_33		False	3	682.996904159	
0	blocked	21	rating	1318857.02052	1326867.26553	8010.24501092	None	None	False	0	0	clone_36	light	False	2	950.095265924	
0	blocked	22	rating	1333584.71091	1341594.89977	8010.1888656	None	None	False	0	0	color_60	paper	False	1	758.281132276	
0	blocked	23	rating	1348725.47687	1356735.67811	8010.20124172	None	None	False	0	0	color_44	wholepic	False	3	969.168675019	
0	blocked	24	rating	1364012.88173	1372023.14364	8010.26191488	None	None	False	0	0	clone_11	vaseleft	False	1	756.126178448	
0	blocked	25	rating	1379486.79589	1387496.99381	8010.19792129	None	None	False	0	0	color_61	apple	False	6	1481.81163428	
0	blocked	26	rating	1394973.78195	1402984.43628	8010.65432838	None	None	False	0	0	horizontal_8		False	1	1335.55610426	
0	blocked	27	rating	1410528.05364	1418538.26847	8010.21482526	None	None	False	0	0	clone_31	vase	False	6	1535.86961246	
0	blocked	28	rating	1426308.61088	1434318.83265	8010.22176796	None	None	False	0	0	clone_44	pillow	False	4	1776.28204509	
0	blocked	29	rating	1443901.79218	1451912.00097	8010.20878813	None	None	False	0	0	horizontal_16		False	3	950.923862122	
0	blocked	30	rating	1458802.65163	1466812.81936	8010.16773564	None	None	False	0	0	color_58	peppers	False	3	713.682734289	
0	blocked	31	rating	1475609.43416	1483619.67102	8010.23686079	None	None	False	0	0	takeaway_85	switchleftdoor	False	4	434.617571914	
0	blocked	32	rating	1491176.70259	1499186.90746	8010.204864	None	None	False	0	0	color_28	vase	False	7	1466.97176313	
0	blocked	33	rating	1506037.62098	1514047.84154	8010.22056054	None	None	False	0	0	horizontal_66		False	7	1125.81501265	
0	blocked	34	rating	1526136.4624	1534146.66847	8010.20607142	None	None	False	0	0	clone_22	xtra.orb.by.stair.rail	False	2	877.119636613	
0	blocked	35	rating	1541330.532	1549340.69944	8010.16743378	None	None	False	0	0	clone_52	latle	False	2	1818.73363938	
0	blocked	36	rating	1557204.30013	1565214.63026	8010.33013446	None	None	False	0	0	clone_98	wine	False	4	734.015790719	
0	blocked	37	rating	1571532.11452	1579542.32783	8010.21331598	None	None	False	0	0	horizontal_2		False	2	2285.93360605	
0	blocked	38	rating	1591364.1715	1599374.2849	8010.11340146	None	None	False	0	0	clone_15	xtracupx2	False	2	1549.24759239	
0	blocked	39	rating	1607691.36225	1615701.35733	8009.9950737	None	None	False	0	0	color_33	chairmiddle	False	2	1117.95557396	
0	blocked	40	memory	1622978.44171	1630988.98978	8010.54807488	None	None	False	0	0	horizontal_1		False	correct	3059.51524255	
0	blocked	41	memory	1639519.01062	1647529.30031	8010.28968568	None	None	False	0	0	color_66	painting	False	incorrect	2617.54052122	
0	blocked	42	memory	1655779.35162	1663789.38171	8010.03008906	None	None	False	0	0	clone_57	xtrabushes	False	incorrect	39804.1280089	
0	blocked	43	memory	1710664.6398	1718674.84648	8010.20667513	None	None	False	0	0	horizontal_22		False	correct	2366.42697245	
0	blocked	44	memory	1727258.21623	1735268.42834	8010.21210855	None	None	False	0	0	clone_30	lightonright	False	correct	15764.2449119	
0	blocked	45	memory	1756713.42616	1764723.5957	8010.16954678	None	None	False	0	0	takeaway_54	phonebutton	False	incorrect	41851.6737341	
0	blocked	46	memory	1812958.21249	1820968.5064	8010.29391167	None	None	False	0	0	horizontal_54		False	incorrect	3534.72889661	
0	blocked	47	memory	1830551.3627	1838561.57421	8010.21150484	None	None	False	0	0	takeaway_43	reflectionlightlefttele	False	correct	37956.5347715	
0	blocked	48	memory	1898285.09022	1906295.19185	8010.10162906	None	None	False	0	0	clone_65	xtraheartnightstand	False	incorrect	41061.1923575	
0	blocked	49	memory	1953596.81716	1961607.11379	8010.29662838	None	None	False	0	0	clone_87	cup	False	correct	16020.9772183	
0	blocked	50	memory	1988263.32968	1996273.57168	8010.24199235	None	None	False	0	0	color_7	greenonleft	False	incorrect	13057.7693043	
0	blocked	51	memory	2020224.22477	2028234.45228	8010.22750324	None	None	False	0	0	horizontal_7		False	correct	2592.48431553	
