blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	271054.97686	279065.2654	8010.28854037	None	None	False	0	0	takeaway_50	light	False	correct	7358.2252781	
0	blocked	1	memory	293553.012667	301563.346788	8010.33412098	None	None	False	0	0	horizontal_59		False	correct	3110.60663871	
0	blocked	2	memory	347332.435405	355342.733303	8010.29789798	None	None	False	0	0	takeaway_21	bear	False	incorrect	9442.24513797	
0	blocked	3	memory	450532.883242	458543.132541	8010.24929878	None	None	False	0	0	color_27	pillowleft	False	correct	4376.40258487	
0	blocked	4	memory	479295.15469	487305.4707	8010.31600948	None	None	False	0	0	color_5	applesgreen	False	incorrect	4133.61005695	
0	blocked	5	memory	527356.770623	535367.033807	8010.26318427	None	None	False	0	0	color_75	lampchord	False	correct	4847.36320685	
0	blocked	6	memory	547855.584319	555865.856559	8010.27224002	None	None	False	0	0	clone_60	xtralight	False	incorrect	4684.07020984	
0	blocked	7	memory	568447.670136	576457.987051	8010.31691506	None	None	False	0	0	color_82	vaseleft	False	incorrect	3195.8964167	
0	blocked	8	memory	625479.124683	633489.5231	8010.39841681	None	None	False	0	0	takeaway_63	ovenlogo	False	incorrect	3067.55167513	
0	blocked	9	memory	645698.083682	653708.34747	8010.26378798	None	None	False	0	0	clone_14	corner	False	correct	3264.33917771	
0	blocked	10	memory	706114.883972	714125.225337	8010.34136558	None	None	False	0	0	color_8	paintingright	False	correct	5030.56527204	
0	blocked	11	memory	770090.435256	778100.683649	8010.24839321	None	None	False	0	0	horizontal_22		False	incorrect	3878.1959254	
0	blocked	12	memory	792495.150344	800505.43979	8010.28944594	None	None	False	0	0	takeaway_55	vase	False	correct	2817.1459775	
0	blocked	13	memory	812847.440181	820857.638164	8010.19798286	None	None	False	0	0	color_83	artbehindtable	False	correct	5659.29548673	
0	blocked	14	memory	836731.537135	844741.822053	8010.28491807	None	None	False	0	0	horizontal_24		False	incorrect	4481.5706415	
0	blocked	15	memory	855777.627285	863787.842172	8010.21488693	None	None	False	0	0	takeaway_17	clock	False	incorrect	2677.98716015	
0	blocked	16	memory	1082743.93899	1090754.17198	8010.23299843	None	None	False	0	0	horizontal_76		False	correct	2151.02215278	
0	blocked	17	memory	1131845.09172	1139855.38358	8010.29186081	None	None	False	0	0	horizontal_28		False	correct	2473.10472191	
0	blocked	18	memory	1148505.37097	1156515.66766	8010.29669055	None	None	False	0	0	takeaway_39	light	False	correct	2271.24599887	
0	blocked	19	memory	1182132.50586	1190142.84058	8010.3347247	None	None	False	0	0	color_99	thermlid	False	incorrect	3003.64916572	
0	blocked	20	memory	1220984.33566	1228994.56323	8010.22756498	None	None	False	0	0	color_36	lights	False	correct	4561.94193936	
0	blocked	21	memory	1241523.10514	1249533.36139	8010.25624153	None	None	False	0	0	clone_55	darklightright	False	incorrect	2118.94336292	
0	blocked	22	memory	1259476.24586	1267486.48912	8010.24326162	None	None	False	0	0	horizontal_75		False	correct	1920.16087843	
0	blocked	23	memory	1283200.475	1291210.71676	8010.24175232	None	None	False	0	0	takeaway_34	flowersleft	False	incorrect	2739.6021869	
0	blocked	24	memory	1301700.03731	1309710.3008	8010.26348613	None	None	False	0	0	clone_39	xtraspots	False	incorrect	3229.1753954	
0	blocked	25	memory	1319572.79526	1327583.47984	8010.68457854	None	None	False	0	0	color_39	painting	False	incorrect	3718.41203183	
0	blocked	26	memory	1339912.0759	1347922.35599	8010.28008834	None	None	False	0	0	horizontal_71		False	incorrect	2067.29358623	
0	blocked	27	memory	1363889.57387	1371899.8123	8010.23843188	None	None	False	0	0	color_30	chairsright	False	incorrect	3809.41900718	
0	blocked	28	memory	1385454.62797	1393464.87908	8010.25110993	None	None	False	0	0	horizontal_12		False	incorrect	3206.64257434	
0	blocked	29	memory	1405713.52012	1413723.80262	8010.2825032	None	None	False	0	0	takeaway_97	knife	False	correct	5299.4697556	
0	blocked	30	memory	1431037.15424	1439047.42467	8010.27042887	None	None	False	0	0	color_49	spacepink	False	correct	4932.80300844	
0	blocked	31	memory	1451829.2025	1459839.45814	8010.25563781	None	None	False	0	0	clone_90	pillowsplotch	False	incorrect	3764.97851372	
0	blocked	32	memory	1470728.62179	1478738.84392	8010.22213153	None	None	False	0	0	color_1	oranges	False	correct	3070.31458471	
0	blocked	33	memory	1495972.27582	1503982.55561	8010.27978648	None	None	False	0	0	color_56	book	False	incorrect	3895.63669777	
0	blocked	34	memory	1516017.92163	1524028.20715	8010.28552179	None	None	False	0	0	horizontal_60		False	correct	2799.03538142	
0	blocked	35	memory	1534397.57946	1542407.83932	8010.25986383	None	None	False	0	0	takeaway_62	midwindow	False	incorrect	3096.58652528	
0	blocked	36	memory	1552817.21329	1560827.45444	8010.24114861	None	None	False	0	0	takeaway_73	cabnethandle	False	correct	3559.63966564	
0	blocked	37	memory	1571063.47779	1579073.78716	8010.3093686	None	None	False	0	0	color_100	stereoright	False	incorrect	2321.05021353	
0	blocked	38	memory	1590202.8292	1598213.19501	8010.36581611	None	None	False	0	0	horizontal_53		False	correct	3296.10705346	
0	blocked	39	memory	1608529.18487	1616539.4544	8010.26952329	None	None	False	0	0	horizontal_9		False	incorrect	1993.31595032	
0	blocked	40	rating	1625389.40604	1633399.68975	8010.28371064	None	None	False	0	0	horizontal_15		False	4	1086.87664739	
0	blocked	41	rating	1640916.75622	1648927.09366	8010.33744142	None	None	False	0	0	color_76	exit	False	2	2673.86920839	
0	blocked	42	rating	1660042.81197	1668053.07515	8010.26318427	None	None	False	0	0	takeaway_92	bottlelidwindow	False	4	1064.96233411	
0	blocked	43	rating	1678089.29755	1686099.52693	8010.22937613	None	None	False	0	0	horizontal_42		False	3	1210.16888372	
0	blocked	44	rating	1695016.0972	1703026.39782	8010.3006147	None	None	False	0	0	takeaway_14	sharkteeth	False	1	2587.1658277	
0	blocked	45	rating	1711742.97032	1719753.31652	8010.34619532	None	None	False	0	0	horizontal_5		False	7	1092.03601049	
0	blocked	46	rating	1726897.21723	1734907.45989	8010.2426579	None	None	False	0	0	clone_30	lightonright	False	7	836.243650409	
0	blocked	47	rating	1741531.6254	1749541.88436	8010.25895825	None	None	False	0	0	takeaway_19	headboard	False	5	1577.61472731	
0	blocked	48	rating	1757792.04283	1765802.31447	8010.2716363	None	None	False	0	0	takeaway_80	tilesbackleft	False	7	1306.29477314	
0	blocked	49	rating	1777157.97576	1785168.26642	8010.29065338	None	None	False	0	0	clone_96	NtoMinPoster	False	1	1934.75271159	
