blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	479670.641526	487680.921281	8010.27975545	2	6011.10171328	True	485965.683336	283.940096993	takeaway_19	headboard	False	incorrect	8974.44927618	
0	mixed	1	rating	503088.216934	511098.47556	8010.25862543	novel	6024.38766707	True	509629.849717	517.245116097	horizontal_4		False	6	1471.36036889	
0	mixed	2	rating	524280.115261	532289.971511	8009.85624945	novel	6010.9525957	True	530483.737128	192.669271093	clone_54	jarleft	False	4	1119.20290314	
0	mixed	3	search	539900.704596	547910.932733	8010.22813782	novel	6011.00270404	True	546702.058245	790.350945508	clone_99	light	False	Z	1941.02792121	
0	mixed	4	search	555921.146986	563931.429156	8010.28217031	novel	6011.04164365	True	562540.218883	608.030253361	horizontal_66		False	N	770.86182113	
0	mixed	5	rating	570782.094239	578792.33596	8010.24172141	novel	6011.01568391	True	577224.041618	430.931695093	color_16	flowersleft	False	5	880.276090898	
0	mixed	6	memory	585722.982702	593733.175824	8010.19312236	2	6024.33936988	True	592000.703932	253.381859937	takeaway_20	drawerknob	False	correct	9056.33897626	
0	mixed	7	search	608594.167148	616604.369024	8010.20187623	4	6010.966783	True	616109.843813	1504.70988179	fillers_9-16_21	filler	True	N	888.944833136	
0	mixed	8	memory	627333.553689	635343.812918	8010.25922914	None	None	False	0	0	clone_87	cup	False	correct	10813.022553	
0	mixed	9	search	652790.369963	660800.618325	8010.24836227	None	None	False	0	0	horizontal_61		False	Z	1171.99143208	
0	mixed	10	memory	668077.811908	676088.025858	8010.21395052	novel	6011.01236348	True	675096.996156	1008.17188488	horizontal_21		False	incorrect	5332.11865896	
0	mixed	11	memory	687416.992522	695427.252053	8010.259531	2	6010.99183717	True	693737.249089	309.264729587	color_72	bedspread	False	correct	9944.56055894	
0	mixed	12	memory	711007.828975	719018.099373	8010.27039787	novel	6011.11137272	True	717758.977693	740.037345804	takeaway_43	reflectionlightlefttele	False	correct	3913.31378504	
0	mixed	13	search	730427.03381	738437.260137	8010.22632668	novel	6010.99545946	True	736772.60384	334.574571166	takeaway_38	reflectionlight	False	N	677.903612087	
0	mixed	14	memory	756710.205981	764720.460985	8010.25500314	None	None	False	0	0	horizontal_56		False	correct	2506.2300359	
0	mixed	15	memory	774943.167487	782953.379022	8010.21153566	None	None	False	0	0	takeaway_49	chairlegs	False	incorrect	7504.84330278	
0	mixed	16	memory	796721.413647	804731.636049	8010.22240253	novel	6011.01115605	True	803016.24144	283.816637296	clone_75	plates	False	incorrect	3734.28303724	
0	mixed	17	rating	815700.752712	823710.967266	8010.21455424	2	6010.98670559	True	821955.141266	243.401848937	color_32	bookabovetv	False	5	2813.38930978	
0	mixed	18	rating	832360.95812	840371.199841	8010.24172141	2	6011.01417462	True	838721.556425	349.584130992	clone_98	wine	False	6	824.898530618	
0	mixed	19	search	850966.744968	858977.352239	8010.60727078	2	6011.00632633	True	856982.918792	5.16749768029	fillers_9-16_23	filler	True	Z	679.755809398	
0	mixed	20	rating	866081.243725	874091.481824	8010.23809912	novel	6011.01960806	True	873885.99146	1793.72812665	clone_7	xtralight	False	4	1421.3673418	
0	mixed	21	memory	881595.262589	889605.506121	8010.24353255	4	6011.04254922	True	887925.526937	319.221799421	horizontal_1		False	incorrect	2179.01414564	
0	mixed	22	search	899268.434284	907278.695928	8010.261644	4	6010.99425203	False	0	0	clone_29	topshelf	False	Z	1665.5618684	
0	mixed	23	memory	914915.778753	922926.01323	8010.23447683	2	6010.9888186	True	921889.618277	962.850705531	horizontal_65		False	incorrect	1601.95054247	
0	mixed	24	search	930429.719134	938439.958742	8010.23960841	4	6011.01628762	True	936445.930388	5.19496670819	fillers_9-16_18	filler	True	N	847.715029664	
0	mixed	25	rating	945423.937054	953434.150703	8010.21364867	2	6011.00572261	True	951632.838106	197.895329118	horizontal_16		False	3	1421.286444	
0	mixed	26	search	965549.498585	973559.732156	8010.23357126	4	6011.04496408	False	0	0	horizontal_5		False	N	1567.43857654	
0	mixed	27	rating	981889.839237	989900.084279	8010.24504184	novel	6011.00964676	True	988584.861487	684.012603152	color_85	mouse	False	5	1197.36828601	
0	mixed	28	rating	1003468.15766	1011478.42625	8010.26858672	4	6011.00542076	True	1010026.63228	547.469196956	takeaway_62	midwindow	False	6	850.640933923	
0	mixed	29	search	1017995.53734	1026006.14069	8010.60334663	novel	6011.37791285	True	1025450.81263	1443.89737813	fillers_9-16_25	filler	True	N	1007.99922242	
0	mixed	30	rating	1032763.51703	1040773.75211	8010.23508054	4	6011.00994862	True	1039255.87581	481.348831902	color_89	garlic	False	5	2304.16303683	
0	mixed	31	memory	1048996.89298	1057007.52017	8010.62719337	novel	6011.40900417	True	1055626.66935	618.367361724	color_86	buildingoutside	False	incorrect	8413.8915402	
0	mixed	32	search	1074600.73798	1082610.6706	8009.93261938	novel	6010.95169013	True	1081295.4946	683.804925227	takeaway_6	lightsonright	False	N	482.233877945	
0	mixed	33	rating	1095059.43181	1103069.7007	8010.26888858	novel	6011.03198421	True	1102843.33961	1772.87581403	color_40	whole+pic.in.mirror	False	6	823.121193955	
0	mixed	34	rating	1110200.27789	1118210.52535	8010.2474567	novel	6011.02081549	True	1116865.02022	653.721509939	horizontal_79		False	7	2620.62495359	
0	mixed	35	rating	1126513.97147	1134524.22315	8010.2516827	novel	6010.94172883	True	1133624.13978	1099.22658084	clone_65	xtraheartnightstand	False	4	1202.72021859	
0	mixed	36	rating	1149105.24864	1157115.46742	8010.21878024	2	6011.02383406	True	1155395.06348	278.791012617	clone_70	cabnethandleright	False	5	3224.36339773	
0	mixed	37	memory	1165832.11806	1173842.35917	8010.24111769	None	None	False	0	0	clone_93	leftcrack	False	incorrect	9849.00486655	
0	mixed	38	rating	1189649.57308	1197659.83775	8010.26466257	2	6011.06579225	True	1196887.09686	1226.45798657	color_63	clock	False	4	1250.00739551	
0	mixed	39	rating	1206443.1044	1214453.33465	8010.23025083	2	6011.00602447	True	1212586.08009	131.969662119	clone_28	wine	False	5	538.862335495	
0	mixed	40	rating	1221703.90078	1229714.10719	8010.20640409	4	6010.95863285	True	1227943.03618	228.176762893	clone_9	bookshelf	False	5	1099.15775734	
0	mixed	41	memory	1236738.06773	1244748.32665	8010.25892728	4	6011.01990991	True	1243007.62673	258.539094464	clone_83	pumpkin	False	correct	4816.55368142	
0	mixed	42	search	1255277.56245	1263287.82681	8010.26436072	4	6011.00783562	True	1261597.72152	309.151231186	horizontal_35		False	Z	946.180326018	
