blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	117210.292885	125220.517974	8010.22508838	2	6012.03381276	True	123313.59091	91.2642114058	takeaway_21	bear	False	6	2291.05369666	
0	blocked	1	rating	136136.229063	144146.51724	8010.2881764	novel	6010.94803479	True	142415.721051	268.543952727	clone_82	rug	False	7	1994.15515185	
0	blocked	2	rating	152529.954734	160540.107678	8010.15294467	4	6010.94290323	True	158546.054252	5.15661524641	color_96	fruit	False	5	2874.73527182	
0	blocked	3	rating	169949.78858	177959.97171	8010.18313032	None	None	False	0	0	horizontal_25		False	7	2179.89985607	
0	blocked	4	rating	186383.414855	194393.638736	8010.22388096	None	None	False	0	0	horizontal_79		False	6	2233.90802793	
0	blocked	5	rating	202550.407929	210560.723574	8010.31564535	4	6024.4129494	True	208878.829956	304.00907743	clone_15	xtracupx2	False	6	1781.22343662	
0	blocked	6	rating	218317.596546	226327.759452	8010.16290594	2	6024.36736907	True	224671.151148	329.187233159	takeaway_28	ovenknob	False	7	3493.63565674	
0	blocked	7	rating	236123.986064	244134.227151	8010.24108678	4	6011.01685808	True	242403.408624	268.405702432	color_42	cups	False	4	2092.321313	
0	blocked	8	rating	253717.139897	261727.335102	8010.19520459	4	6024.34442797	True	259746.671126	5.18680090029	clone_76	window	False	5	2362.82582395	
0	blocked	9	rating	270057.443601	278067.644843	8010.20124172	None	None	False	0	0	horizontal_50		False	6	2246.16642196	
0	blocked	10	rating	285997.906625	294008.114206	8010.2075807	2	6010.96101462	True	292282.830219	273.962579449	takeaway_38	reflectionlight	False	7	2635.94954408	
0	blocked	11	rating	303684.364314	311694.588195	8010.22388096	4	6011.0244045	True	309923.829219	228.440500454	horizontal_34		False	4	3442.57994369	
0	blocked	12	rating	320997.632841	329007.810538	8010.17769691	2	6010.95890163	True	327393.690051	385.098308637	color_25	hangingcandle	False	3	1984.95758312	
0	blocked	13	rating	337351.215818	345361.435171	8010.21935311	None	None	False	0	0	color_65	picright	False	7	2793.55276694	
0	blocked	14	rating	354078.049536	362088.255004	8010.20546771	novel	6011.01353766	True	360363.068818	274.005744934	takeaway_36	backwindowbuildings	False	7	1295.85985646	
0	blocked	15	rating	369472.10755	377482.271664	8010.16411336	2	6010.96493876	False	0	0	takeaway_25	plugin	False	6	1845.4814491	
0	blocked	16	rating	385199.263953	393209.49689	8010.23293665	2	6010.9090953	True	391488.915224	278.742175878	clone_22	xtra.orb.by.stair.rail	False	3	2837.98121969	
0	blocked	17	rating	406697.628796	414707.866563	8010.23776636	2	6010.95558121	False	0	0	horizontal_45		False	4	1061.85855486	
0	blocked	18	rating	421678.39329	429688.604795	8010.21150484	2	6011.03768619	True	427927.625669	238.194692638	horizontal_38		False	6	2614.0999604	
0	blocked	19	rating	438311.953338	446322.100547	8010.1472094	4	6024.34291869	True	444690.897697	354.601440701	takeaway_39	light	False	7	1396.24073904	
