blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	search	202524.233418	210534.52887	8010.29545203	None	None	False	0	0	clone_82	rug	False	N	3772.59267175	
0	mixed	1	search	221356.998656	229367.198721	8010.20006508	None	None	False	0	0	takeaway_83	soap	False	Z	1209.01756871	
0	mixed	2	search	236924.296868	244934.477313	8010.18044435	None	None	False	0	0	takeaway_81	lightabovetv	False	Z	956.075816932	
0	mixed	3	rating	251945.157331	259955.437087	8010.27975545	None	None	False	0	0	color_95	flowers	False	6	1852.30054618	
0	mixed	4	memory	267725.715417	275735.919105	8010.20368737	None	None	False	0	0	takeaway_65	rugcorner	False	incorrect	13871.2405919	
0	mixed	5	search	295461.662595	303471.830663	8010.16806819	None	None	False	0	0	clone_59	statue	False	Z	737.652068237	
0	mixed	6	memory	310109.292018	318119.563321	8010.27130344	None	None	False	0	0	clone_20	chair	False	incorrect	16521.4653851	
0	mixed	7	search	340470.906073	348481.204846	8010.29877247	None	None	False	0	0	color_16	flowersleft	False	N	3559.56975654	
0	mixed	8	rating	358250.724005	366260.971462	8010.2474567	None	None	False	0	0	color_45	flowers	False	6	1694.17825648	
0	mixed	9	memory	373644.752721	381655.060851	8010.30813005	None	None	False	0	0	horizontal_9		False	correct	4881.03435681	
0	mixed	10	memory	392264.243898	400274.511881	8010.26798301	None	None	False	0	0	horizontal_36		False	incorrect	1613.33630361	
0	mixed	11	search	407644.994509	415655.254644	8010.26013471	None	None	False	0	0	horizontal_47		False	N	845.707375766	
0	mixed	12	rating	424331.852723	432342.185001	8010.33227864	None	None	False	0	0	horizontal_29		False	4	2619.84767066	
0	mixed	13	search	441165.394639	449175.665943	8010.27130344	None	None	False	0	0	clone_11	vaseleft	False	Z	743.42750682	
0	mixed	14	memory	455733.065042	463743.293784	8010.22874154	None	None	False	0	0	clone_41	knobsleftcab	False	correct	13759.1600152	
0	mixed	15	memory	483389.096366	491399.342615	8010.24624927	None	None	False	0	0	takeaway_63	ovenlogo	False	incorrect	12614.6668912	
0	mixed	16	search	509898.814666	517909.079631	8010.26496443	None	None	False	0	0	clone_55	darklightright	False	N	630.070375046	
0	mixed	17	search	524186.620953	532196.883805	8010.26285143	None	None	False	0	0	takeaway_77	light	False	Z	694.068984087	
0	mixed	18	rating	538674.400556	546684.617525	8010.2169691	None	None	False	0	0	takeaway_34	flowersleft	False	5	843.377941827	
0	mixed	19	memory	553321.974136	561332.279851	8010.30571519	None	None	False	0	0	horizontal_53		False	incorrect	2320.43737937	
0	mixed	20	memory	569569.089435	577579.361946	8010.27251087	None	None	False	0	0	takeaway_16	pillow	False	correct	7721.22679697	
0	mixed	21	memory	590880.903954	598891.233214	8010.32926007	None	None	False	0	0	horizontal_5		False	correct	2009.21329308	
