blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	search	186407.244985	194418.192515	8010.94753022	novel	6024.38389013	True	192669.790407	238.161532141	takeaway_44	lightorangeright	False	N	8020.24600323	
0	mixed	1	search	215262.917313	223273.155474	8010.23816093	2	6024.4575438	True	221515.371278	227.996421156	clone_14	corner	False	Z	4212.28072188	
0	mixed	2	rating	234735.550148	242745.761745	8010.21159731	novel	6011.00820393	True	241167.092389	420.53403735	takeaway_12	light	False	4	5318.12827932	
0	mixed	3	rating	255034.480177	263044.73494	8010.25476319	4	6011.03597498	True	261288.647495	243.131343195	horizontal_68		False	6	2218.95633968	
0	mixed	4	rating	272321.255843	280331.486458	8010.23061445	None	None	False	0	0	horizontal_18		False	2	1393.37334377	
0	mixed	5	search	289008.231099	297018.526613	8010.29551419	4	6011.05016237	True	295748.761924	729.480663197	clone_66	lightleft	False	N	2322.14119649	
0	mixed	6	memory	306334.881167	314345.184831	8010.30366439	novel	6011.16305774	True	313101.218546	755.174320711	horizontal_52		False	correct	5392.47682174	
0	mixed	7	memory	327433.610883	335443.943526	8010.33264288	4	6011.15822799	True	334204.280546	759.511434731	clone_50	redvase	False	incorrect	7768.23003608	
0	mixed	8	rating	350318.229704	358328.492316	8010.26261153	4	6011.05106795	True	356602.734483	273.453710786	clone_46	xtrawine	False	6	2227.49986265	
0	mixed	9	rating	367258.464587	375268.695805	8010.23121817	2	6024.40320913	True	373288.046795	5.17899952974	color_9	chairs	False	3	2623.06832705	
0	mixed	10	memory	388996.863984	397007.152555	8010.28857143	2	6011.07551855	True	395104.321357	96.381854394	color_57	shampoo	False	incorrect	8188.27053352	
0	mixed	11	memory	412134.777146	420145.011685	8010.23453862	4	6011.04533262	True	418520.645363	374.822884072	clone_32	shelf	False	correct	16257.9713487	
0	mixed	12	rating	443162.967784	451173.275674	8010.30789042	4	6011.08668734	True	450171.636276	997.581805372	takeaway_83	soap	False	7	1477.71674854	
0	mixed	13	search	461915.833183	469926.192691	8010.35950836	2	6011.14343689	False	0	0	takeaway_61	fanlever	False	Z	841.976369249	
0	mixed	14	memory	481508.392895	489518.669392	8010.27649706	novel	6011.12743834	True	487717.334752	197.814418127	clone_54	jarleft	False	correct	16291.4019612	
0	mixed	15	rating	514122.675004	522133.615592	8010.94058745	novel	6024.87561889	True	520542.835038	395.284414825	takeaway_10	leftoflight	False	7	2087.1410365	
0	mixed	16	memory	536207.929722	544219.602017	8011.67229433	None	None	False	0	0	clone_38	windowtower	False	correct	4315.74811896	
0	mixed	17	memory	557573.032738	565585.683962	8012.65122395	None	None	False	0	0	clone_18	wine	False	correct	10366.3026043	
0	mixed	18	search	586828.696071	594839.398491	8010.70242049	novel	6050.74737337	True	593877.090149	997.646705116	takeaway_24	smokedetector	False	N	4317.49799716	
0	mixed	19	search	611179.621662	619192.50894	8012.8872779	2	6024.86203522	True	617295.680816	91.1971195381	takeaway_79	cabnetcrack	False	N	1494.98823051	
0	mixed	20	rating	629892.883124	637904.14972	8011.26659547	None	None	False	0	0	color_88	bowltopshelf	False	6	4674.52023997	
0	mixed	21	rating	651537.095184	659547.742062	8010.64687838	None	None	False	0	0	takeaway_78	floweronwallright	False	4	2501.11416257	
0	mixed	22	memory	670703.163364	678713.841032	8010.67766803	2	6051.72237882	True	677306.674833	551.789089719	clone_75	plates	False	incorrect	3357.06389938	
0	mixed	23	memory	693227.921258	701239.107861	8011.18660276	4	6038.03758872	True	700456.040838	1190.08199102	takeaway_88	fruitontable	False	correct	2995.41324836	
0	mixed	24	memory	714659.751775	722671.074215	8011.32243943	2	6051.34354543	True	720716.212439	5.11711837898	clone_95	light	False	incorrect	8943.24592897	
0	mixed	25	rating	743490.221269	751500.93848	8010.71721159	4	6037.8235705	True	749730.649462	202.604622914	takeaway_66	spottopleft	False	6	2203.41360576	
0	mixed	26	search	763481.34721	771492.04299	8010.69577958	None	None	False	0	0	horizontal_56		False	N	1863.47961635	
0	mixed	27	memory	781010.521003	789018.299313	8007.77830972	novel	6048.78166579	True	787909.955077	850.652408445	clone_20	chair	False	incorrect	12458.9091047	
0	mixed	28	search	812716.358841	820728.022381	8011.66354041	novel	6050.76246634	True	820503.616878	1736.49557082	clone_99	light	False	N	2041.35019237	
0	mixed	29	search	835681.291547	843690.992097	8009.70054957	novel	6052.69315824	False	0	0	takeaway_64	plant	False	N	1818.76671168	
0	mixed	30	search	854407.491	862419.149711	8011.65871066	4	6050.76518307	False	0	0	takeaway_87	bottleshadow	False	N	1240.58214164	
0	mixed	31	memory	873615.848759	881623.350264	8007.50150477	novel	6034.62567337	True	880035.301234	384.826802205	clone_3	candle	False	incorrect	2063.98360059	
0	mixed	32	rating	893991.950621	902003.219933	8011.2693122	None	None	False	0	0	takeaway_22	lightleft	False	3	1591.48871559	
0	mixed	33	rating	911292.10801	919302.81526	8010.70725024	2	6050.76276819	True	917712.519794	369.64901615	takeaway_84	outlet	False	6	1952.63163932	
0	mixed	34	search	931911.373816	939921.087345	8009.71352951	novel	6050.7500901	False	0	0	takeaway_23	rightknob	False	N	1127.84343888	
0	mixed	35	search	951156.609722	959168.281111	8011.67138875	novel	6051.72449183	True	958676.39056	1468.05634626	color_18	magcolor	False	N	662.28648739	
0	mixed	36	search	971002.364162	979013.343689	8010.9795273	2	6051.05044008	False	0	0	clone_39	xtraspots	False	N	2529.81765889	
0	mixed	37	rating	990674.894847	998685.594551	8010.69970376	novel	6037.81874075	True	998014.193725	1301.48013675	clone_96	NtoMinPoster	False	2	498.54866062	
0	mixed	38	memory	1009828.08692	1017838.79055	8010.70362793	2	6050.75612729	True	1015883.96801	5.12496672	takeaway_15	cat	False	incorrect	6304.94819793	
0	mixed	39	search	1032033.03065	1040042.73754	8009.70688861	None	None	False	0	0	horizontal_3		False	N	1085.91035625	
0	mixed	40	memory	1051851.64613	1059863.91641	8012.27027755	2	6025.43405854	True	1059826.02039	1948.94020228	takeaway_81	lightabovetv	False	incorrect	5841.58274476	
0	mixed	41	search	1075616.21793	1083626.95778	8010.73985104	4	6050.8101601	True	1082725.26248	1058.2343889	clone_56	tableleg	False	N	1687.10988462	
0	mixed	42	search	1098274.25424	1106285.94133	8011.68708543	novel	6050.77484257	True	1105773.19562	1448.16653697	takeaway_35	birdhouse	False	N	1001.71818298	
0	mixed	43	search	1114081.35651	1122094.41826	8013.06175256	None	None	False	0	0	takeaway_43	reflectionlightlefttele	False	N	1167.60856822	
0	mixed	44	rating	1131461.36081	1139472.48191	8011.1210993	4	6051.42414186	True	1137517.94976	5.16481214389	clone_28	wine	False	5	1484.48141483	
0	mixed	45	memory	1151240.54471	1159251.64347	8011.09876171	4	6051.41206749	True	1157894.49294	602.536161231	horizontal_10		False	correct	9104.02010141	
0	mixed	46	memory	1184827.94444	1192838.33474	8010.390298	2	6051.44225342	True	1191694.55343	815.166738006	color_40	whole+pic.in.mirror	False	correct	1130.02135353	
0	mixed	47	memory	1210031.5941	1218042.29833	8010.70423164	4	6051.73264204	True	1216761.66852	678.34177835	horizontal_75		False	correct	3440.22190279	
0	mixed	48	rating	1237101.1787	1245112.18207	8011.00337418	4	6052.97479294	True	1243523.87133	369.717840064	takeaway_39	light	False	6	1354.69973756	
0	mixed	49	rating	1254814.75349	1262825.45652	8010.70302421	novel	6051.26174157	True	1262541.8383	1675.82306458	takeaway_63	ovenlogo	False	5	1281.57100847	
0	mixed	50	memory	1274273.85488	1282284.54976	8010.69487401	novel	6051.95360302	True	1280791.93625	466.12776737	takeaway_4	ceilinglights	False	incorrect	7909.09447652	
0	mixed	51	rating	1303463.8113	1311472.93258	8009.12128162	4	6036.60496462	False	0	0	clone_68	platestopshelf	False	5	1790.15799918	
0	mixed	52	search	1325681.706	1333693.36531	8011.65931438	2	6050.74043061	False	0	0	horizontal_64		False	Z	729.036930067	
0	mixed	53	rating	1344060.9795	1352071.65747	8010.67796989	4	6052.72666462	False	0	0	takeaway_90	exitsign	False	6	2473.6280647	
0	mixed	54	memory	1365852.36425	1373862.79862	8010.43436946	novel	6051.42051955	True	1372050.61003	146.825255479	color_84	painting	False	correct	7013.99027168	
0	mixed	55	search	1392229.07678	1400239.56095	8010.48417624	None	None	False	0	0	color_63	clock	False	Z	1424.7857252	
0	mixed	56	search	1411875.20534	1419885.92436	8010.71902275	2	6037.8169296	True	1417933.36577	20.3435037774	takeaway_58	drawerhandle	False	Z	1239.8776021	
0	mixed	57	rating	1426749.20566	1434760.3017	8011.09604498	novel	6053.13779695	True	1433217.76883	415.42537103	horizontal_40		False	2	968.084117312	
0	mixed	58	search	1445355.50963	1453366.42516	8010.91553313	4	6051.93790634	False	0	0	color_66	painting	False	N	1260.67993197	
0	mixed	59	rating	1465641.95023	1473653.63248	8011.68225569	2	6025.24781137	True	1473489.71747	1822.51942615	takeaway_1	.thermostat	False	7	2204.00766481	
0	mixed	60	memory	1488300.02518	1496310.6962	8010.67102712	novel	6024.57375962	True	1495823.05794	1498.45900842	takeaway_82	reflectionontable	False	correct	7557.28323033	
0	mixed	61	rating	1517101.75736	1525112.51321	8010.75584958	2	6027.84289553	True	1523514.58041	384.980146716	horizontal_76		False	5	1019.82551327	
0	mixed	62	memory	1538414.54153	1546424.59284	8010.05131004	None	None	False	0	0	horizontal_58		False	correct	7012.92078428	
0	mixed	63	rating	1562524.29726	1570536.52708	8012.22982841	novel	6038.44147643	True	1569074.25044	511.511705197	horizontal_4		False	5	810.894523729	
0	mixed	64	search	1587621.85878	1595632.56482	8010.7060428	None	None	False	0	0	horizontal_33		False	N	1184.23256204	
0	mixed	65	search	1603175.70685	1611185.91754	8010.21069173	novel	6038.27454825	True	1610495.17327	1281.19187322	takeaway_6	lightsonright	False	N	2205.76991924	
0	mixed	66	rating	1623221.7579	1631232.93484	8011.17694326	4	6037.25486763	False	0	0	horizontal_23		False	3	1349.86032971	
0	mixed	67	rating	1642680.55924	1650691.35101	8010.79177083	novel	6051.74501827	False	0	0	color_19	pillowbottom	False	5	1786.28997447	
0	mixed	68	rating	1662406.40038	1670417.44904	8011.04865307	2	6051.07760742	False	0	0	color_59	dressflowers	False	1	1013.40285354	
0	mixed	69	memory	1689049.66853	1697061.31305	8011.64452328	None	None	False	0	0	color_72	bedspread	False	incorrect	14744.6828999	
0	mixed	70	search	1725530.1168	1733542.76984	8012.6530351	4	6050.73590272	False	0	0	takeaway_36	backwindowbuildings	False	Z	868.360982636	
0	mixed	71	memory	1742803.18987	1750814.85643	8011.666559	None	None	False	0	0	takeaway_46	outletbydoor	False	correct	11779.4006403	
0	mixed	72	memory	1772445.10236	1780455.78546	8010.6831015	4	6037.83383372	True	1779976.53346	1493.59726298	takeaway_98	handletopright	False	correct	3908.3208112	
0	mixed	73	memory	1796528.72312	1804540.57351	8011.8503913	None	None	False	0	0	horizontal_25		False	incorrect	5260.09945659	
0	mixed	74	search	1824838.79085	1832851.42547	8012.63462169	None	None	False	0	0	takeaway_7	drawerhandles	False	Z	6287.19947646	
0	mixed	75	memory	1850441.87549	1858452.32495	8010.44946242	4	7477.50182474	True	1857924.51677	5.13945596502	clone_69	hangingspat	False	incorrect	1.36470576888	
0	mixed	76	memory	1876232.72625	1884244.40217	8011.67591664	None	None	False	0	0	takeaway_19	headboard	False	correct	1.67562081898	
0	mixed	77	rating	1897090.73618	1905101.45339	8010.71721159	None	None	False	0	0	clone_85	glassontable	False	5	1.61947499448	
0	mixed	78	memory	1913577.69495	1921588.84684	8011.15188894	4	6051.23095193	True	1919917.64192	288.716017438	color_53	wine	False	incorrect	2.03573893034	
0	mixed	79	rating	1939167.91797	1947178.77706	8010.85908545	novel	6051.8862884	True	1945523.70954	303.905274146	color_100	stereoright	False	5	1.531332087	
0	mixed	80	rating	1957148.19449	1965158.90597	8010.71147627	4	6050.72141347	True	1964941.10031	1742.18441066	clone_81	barsabovecouchleft	False	5	2.00072325463	
0	mixed	81	search	1978033.29447	1986043.99025	8010.69577958	novel	6037.82055191	False	0	0	horizontal_27		False	Z	4291.10613915	
0	mixed	82	rating	2009061.47847	2017074.75937	8013.28090239	None	None	False	0	0	clone_23	outlet.tv	False	7	2465.12891504	
0	mixed	83	memory	2029213.79907	2037224.82962	8011.03054152	2	6051.30611488	False	0	0	horizontal_41		False	correct	3362.35307755	
0	mixed	84	search	2058563.98571	2066586.64327	8022.65755696	None	None	False	0	0	takeaway_100	cabnet	False	N	1150.88828128	
0	mixed	85	search	2081594.15957	2089604.82033	8010.66076391	2	6051.70577656	True	2087650.99514	5.12979646842	horizontal_6		False	Z	1159.85018121	
0	mixed	86	search	2105238.21013	2113249.2609	8011.05076609	None	None	False	0	0	clone_74	chairhole	False	N	6383.52005342	
0	mixed	87	memory	2128629.95917	2136639.69081	8009.73164107	novel	6050.70450936	True	2135470.65354	789.989863566	horizontal_22		False	correct	4312.95260025	
0	mixed	88	rating	2157138.5368	2165152.41207	8013.8752633	None	None	False	0	0	clone_24	light	False	7	3506.35745813	
0	mixed	89	rating	2177637.43502	2185648.62554	8011.19052693	novel	6051.22944263	False	0	0	color_29	cupright	False	5	856.716157501	
0	mixed	90	rating	2196391.21807	2204400.94941	8009.73133921	2	6050.73620458	True	2203070.08991	628.135638653	horizontal_39		False	7	1326.2389361	
0	mixed	91	rating	2211877.79197	2219888.14695	8010.35498047	2	6051.66713857	False	0	0	color_94	fruit	False	7	1976.09606611	
0	mixed	92	memory	2236841.62682	2244852.07175	8010.44493453	2	6051.70638028	True	2242898.51069	5.17749023344	takeaway_68	spotonshelf	False	correct	5601.56236322	
0	mixed	93	search	2266070.50618	2274095.05488	8024.5487053	None	None	False	0	0	horizontal_29		False	N	1708.61765961	
