blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	274516.666511	280714.248888	6197.58237718	4	6011.0322228	True	280532.971851	5.27311754471	horizontal_67		False	7	4510.30097732	
0	blocked	1	rating	293642.534308	293775.749576	133.2152675	novel	None	False	0	0	horizontal_30		False	5	1416.57628603	
0	blocked	2	rating	305211.351828	313221.537647	8010.18581936	2	6010.93985495	True	311399.639162	177.347479097	horizontal_57		False	4	3191.75716553	
0	blocked	3	rating	322644.524141	330654.77818	8010.25403875	None	None	False	0	0	color_91	cup	False	6	1280.88640535	
0	blocked	4	rating	343969.472124	351979.681186	8010.20906225	novel	6011.00686692	False	0	0	color_87	picframe	False	4	2051.36165605	
0	blocked	5	rating	367960.098598	375970.288342	8010.18974349	novel	6011.00747063	True	374396.614266	425.508196741	color_49	spacepink	False	7	1145.580787	
0	blocked	6	rating	384566.920658	392577.104365	8010.18370637	novel	6010.98543516	True	390983.441403	405.535309422	horizontal_24		False	6	1412.99235309	
0	blocked	7	rating	399734.318973	407744.561843	8010.24287009	4	6010.98452959	True	406383.267413	637.963910734	clone_46	xtrawine	False	7	1013.26323841	
0	blocked	8	rating	419033.442897	427043.62117	8010.17827297	4	6010.99147227	True	425267.46107	223.026701251	clone_70	cabnethandleright	False	5	1023.06871957	
0	blocked	9	rating	433960.941077	441971.059583	8010.11850554	novel	6024.24927728	True	440253.715467	268.52511183	clone_89	piconshelf	False	5	1727.26883059	
0	blocked	10	rating	452886.787202	460896.986001	8010.19879916	4	6010.93804381	False	0	0	color_44	wholepic	False	7	720.928049369	
0	blocked	11	rating	467427.764568	475437.949784	8010.18521565	4	6010.9926797	True	473783.326456	344.569208121	horizontal_5		False	6	2939.54343115	
0	blocked	12	rating	484074.616621	492084.74388	8010.12725935	2	6010.94226979	True	490354.076758	268.517867293	clone_85	glassontable	False	6	1420.37876252	
0	blocked	13	rating	501481.131452	509491.266258	8010.13480575	None	None	False	0	0	takeaway_63	ovenlogo	False	6	1045.46701758	
0	blocked	14	rating	517621.462666	525631.607131	8010.14446513	novel	6010.97064423	False	0	0	horizontal_79		False	6	4099.25951774	
0	blocked	15	rating	535694.394932	543704.565356	8010.17042472	2	6010.94377907	True	541867.627514	162.288802873	takeaway_70	sceneryabovecouch	False	7	655.389437646	
0	blocked	16	rating	562697.20551	570707.35722	8010.15170967	novel	6010.94921247	True	568941.146889	232.992165939	takeaway_93	statueheadleft	False	6	1326.67580485	
0	blocked	17	rating	580170.276207	588180.495834	8010.2196272	2	6010.93321412	True	586545.71137	364.50194863	color_6	wholecolor	False	7	1234.25482841	
0	blocked	18	rating	598136.610842	606146.784588	8010.17374513	2	6010.95706072	True	604588.275743	440.707839585	clone_23	outlet.tv	False	7	1366.38824501	
0	blocked	19	rating	614690.097412	622700.28142	8010.18400823	novel	6010.94166608	True	621207.717485	506.678406842	color_66	painting	False	5	1665.85386984	
0	blocked	20	rating	630377.315724	638387.519353	8010.20362885	2	6010.9612867	True	636763.239769	374.962758551	horizontal_44		False	7	1868.89319469	
0	blocked	21	rating	648156.995763	656167.249802	8010.25403875	None	None	False	0	0	horizontal_40		False	3	1760.79383224	
0	blocked	22	rating	664190.693426	672200.86536	8010.171934	4	6011.01350774	True	670500.666045	298.959110926	takeaway_28	ovenknob	False	3	574.688311332	
0	blocked	23	rating	679144.49954	687155.03521	8010.53567014	2	6011.37241419	True	685910.478348	754.606393727	takeaway_79	cabnetcrack	False	5	1484.22245438	
0	blocked	24	rating	694285.608938	702295.786004	8010.17706555	2	6010.98845372	True	700838.758636	542.161244684	takeaway_19	headboard	False	5	1116.19483096	
0	blocked	25	rating	708879.893723	716890.140215	8010.24649236	2	6010.97788877	True	715199.88614	309.014528617	takeaway_22	lightleft	False	7	1289.87295195	
0	blocked	26	rating	724087.308144	732097.456232	8010.1480874	2	6010.93291226	True	730336.39737	238.156313569	takeaway_61	fanlever	False	7	610.094779677	
0	blocked	27	rating	738321.733521	746331.889457	8010.15593565	2	6010.99992423	True	745057.326023	724.59257779	horizontal_10		False	4	1881.90347801	
0	blocked	28	rating	754608.698999	762618.84286	8010.14386142	4	6010.93502525	True	761358.98463	739.350605719	color_28	vase	False	3	954.631085524	
0	blocked	29	rating	769896.052965	777906.199543	8010.14657812	None	None	False	0	0	color_10	lighttent	False	5	1344.25437261	
0	blocked	30	rating	784730.192001	792740.389291	8010.19728988	novel	6011.02045042	True	791334.019351	592.806898973	color_16	flowersleft	False	4	936.389944462	
0	blocked	31	rating	799724.305815	807734.536913	8010.23109772	4	6011.07599188	True	806004.022227	268.640420714	color_89	garlic	False	7	1325.93263607	
0	blocked	32	rating	814638.508458	822648.688543	8010.1800841	4	6010.93834567	True	821034.315562	384.868757662	clone_9	bookshelf	False	5	899.383037097	
0	blocked	33	memory	829046.193282	837056.387554	8010.19427132	2	6010.9217436	True	835350.928101	293.813074639	takeaway_26	belowlightleft	False	incorrect	11336.3584307	
0	blocked	34	memory	854102.98653	862113.360708	8010.37417733	2	6011.15447436	False	0	0	takeaway_18	hanginglightright	False	incorrect	14174.9495373	
0	blocked	35	memory	884651.110029	892661.247552	8010.13752245	None	None	False	0	0	takeaway_84	outlet	False	correct	7650.33154323	
0	blocked	36	memory	909388.11431	917398.210177	8010.09586636	4	6010.8951803	True	915616.777563	217.768072781	takeaway_12	light	False	incorrect	12808.614117	
0	blocked	37	memory	936777.378691	944787.542777	8010.16408575	4	6010.93593082	True	943016.401029	228.086406803	takeaway_39	light	False	correct	3266.73178701	
0	blocked	38	memory	956396.336558	964406.619877	8010.28331876	4	6010.93079927	False	0	0	clone_39	xtraspots	False	incorrect	14559.2671064	
0	blocked	39	memory	984425.3461	992435.507167	8010.16106719	4	6010.94830691	True	990745.38772	309.09331296	horizontal_20		False	incorrect	1713.68743625	
0	blocked	40	memory	1001218.82396	1009228.94488	8010.12092038	2	6010.93864752	True	1007548.99073	319.228118705	takeaway_29	dresserknob	False	incorrect	7199.87255652	
0	blocked	41	memory	1022317.1423	1030327.13885	8009.99655583	None	None	False	0	0	horizontal_71		False	incorrect	3405.14863225	
0	blocked	42	memory	1042295.9807	1050306.25859	8010.27788536	2	6010.98452959	True	1048312.14447	5.1792404165	horizontal_69		False	incorrect	3185.81845612	
0	blocked	43	memory	1059622.61817	1067632.80339	8010.18521565	2	6010.94166608	False	0	0	clone_3	candle	False	correct	8562.83805954	
0	blocked	44	memory	1082333.68399	1090343.91328	8010.22928659	None	None	False	0	0	horizontal_27		False	incorrect	2067.24017241	
0	blocked	45	memory	1098860.54507	1106870.74025	8010.19517689	2	6011.00988547	True	1105059.01642	187.461456798	takeaway_68	spotonshelf	False	incorrect	3324.02581349	
0	blocked	46	memory	1115907.20925	1123917.42978	8010.22053277	4	6011.0110929	True	1122095.45523	177.234886914	color_31	mid.light	False	incorrect	2887.53701128	
0	blocked	47	memory	1132554.04772	1140564.24924	8010.20151586	None	None	False	0	0	color_29	cupright	False	incorrect	8068.0684645	
0	blocked	48	memory	1158064.03205	1166074.26737	8010.2353237	novel	6011.02860053	True	1164176.43316	101.372507766	color_84	painting	False	correct	8037.26952184	
0	blocked	49	memory	1180748.45367	1188758.62862	8010.17495256	2	6011.01471516	True	1187291.24036	531.771974568	horizontal_4		False	incorrect	2435.26296614	
0	blocked	50	memory	1198634.45695	1206645.08378	8010.62683057	novel	6011.35279357	True	1205213.05158	567.241832614	color_39	painting	False	correct	14156.2767425	
0	blocked	51	memory	1227876.68651	1235886.91489	8010.22838102	None	None	False	0	0	horizontal_68		False	incorrect	1548.48029229	
