blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	540633.572223	548643.982381	8010.41015787	None	None	False	0	0	horizontal_53		False	incorrect	4075.27177735	
0	mixed	1	search	561972.11622	569982.335302	8010.2190821	None	None	False	0	0	clone_67	lightleft	False	Z	1757.17439693	
0	mixed	2	search	579125.385246	587135.609761	8010.22451553	None	None	False	0	0	color_78	ovenclock	False	Z	896.969411577	
0	mixed	3	search	594826.009668	602836.200375	8010.1907075	None	None	False	0	0	color_72	bedspread	False	Z	1454.68666895	
0	mixed	4	rating	609606.964998	617617.215474	8010.25047527	None	None	False	0	0	color_39	painting	False	5	1841.5393281	
0	mixed	5	search	627133.516682	635143.734858	8010.21817653	None	None	False	0	0	color_10	lighttent	False	N	1165.57515013	
0	mixed	6	search	644087.805201	652097.465243	8009.6600421	None	None	False	0	0	clone_66	lightleft	False	Z	1181.476095	
0	mixed	7	search	662453.358496	670463.435102	8010.07660538	None	None	False	0	0	clone_92	lights	False	Z	679.322040242	
0	mixed	8	search	678394.054978	686404.689114	8010.63413609	None	None	False	0	0	horizontal_11		False	Z	770.26535081	
0	mixed	9	rating	696066.807996	704077.783835	8010.97583873	None	None	False	0	0	color_81	paintings	False	7	1020.10883772	
0	mixed	10	search	716232.46827	724242.842507	8010.37423683	None	None	False	0	0	clone_98	wine	False	Z	1849.85942499	
0	mixed	11	memory	736171.422431	744183.030963	8011.60853194	None	None	False	0	0	clone_59	statue	False	incorrect	2421.56083243	
0	mixed	12	search	774998.575535	783007.035392	8008.45985688	None	None	False	0	0	takeaway_90	exitsign	False	N	898.095641722	
0	mixed	13	rating	793948.92572	801961.136759	8012.21103941	None	None	False	0	0	horizontal_1		False	5	1256.19728437	
0	mixed	14	search	836106.034674	844117.182571	8011.14789747	None	None	False	0	0	takeaway_62	midwindow	False	N	2189.14689651	
0	mixed	15	search	855019.606245	863032.172873	8012.56662749	None	None	False	0	0	color_60	paper	False	N	898.961670745	
0	mixed	16	memory	875864.852986	883874.152007	8009.29902059	None	None	False	0	0	color_4	wholepic	False	incorrect	7664.51019705	
0	mixed	17	search	903973.342969	911984.010007	8010.66703856	None	None	False	0	0	horizontal_43		False	Z	1464.79195079	
0	mixed	18	memory	919954.605469	927964.267323	8009.66185325	None	None	False	0	0	clone_99	light	False	incorrect	13669.5693279	
0	mixed	19	memory	949249.188456	957259.85308	8010.6646237	None	None	False	0	0	takeaway_76	reflectionlights	False	incorrect	11717.7113651	
0	mixed	20	rating	976373.821473	984382.557831	8008.73635831	None	None	False	0	0	clone_72	spotceilling	False	2	2132.07591594	
0	mixed	21	rating	992553.131439	1000564.7116	8011.58015734	None	None	False	0	0	clone_85	glassontable	False	3	4101.03712183	
0	mixed	22	memory	1012544.36157	1020555.69753	8011.33595466	None	None	False	0	0	clone_80	statue	False	correct	2160.66845729	
0	mixed	23	rating	1029591.20653	1037601.41203	8010.20549851	None	None	False	0	0	horizontal_59		False	1	1041.73028312	
0	mixed	24	memory	1045425.54445	1053438.13371	8012.58926679	None	None	False	0	0	takeaway_60	lampsonwall	False	correct	9240.54688118	
0	mixed	25	memory	1069363.49251	1077374.05722	8010.56470888	None	None	False	0	0	clone_96	NtoMinPoster	False	correct	21341.6075479	
0	mixed	26	rating	1111479.54131	1119491.03966	8011.49835397	None	None	False	0	0	color_7	greenonleft	False	3	1977.4144219	
0	mixed	27	memory	1130059.54621	1138072.10469	8012.55847733	None	None	False	0	0	takeaway_70	sceneryabovecouch	False	correct	14685.0111476	
0	mixed	28	search	1159221.28536	1167231.68857	8010.40321514	None	None	False	0	0	color_56	book	False	Z	746.732544036	
0	mixed	29	rating	1179656.06392	1187663.79359	8007.72966371	None	None	False	0	0	horizontal_38		False	4	1409.3165887	
0	mixed	30	search	1194554.06388	1202566.2073	8012.14342334	None	None	False	0	0	clone_31	vase	False	N	1270.0824252	
0	mixed	31	memory	1210148.63129	1218158.30099	8009.66970154	None	None	False	0	0	clone_13	xtrapillow	False	correct	6753.77910434	
0	mixed	32	rating	1230340.2021	1238351.46199	8011.25988659	None	None	False	0	0	color_20	limes	False	3	2671.81695847	
0	mixed	33	search	1248813.93567	1256823.6425	8009.70683001	None	None	False	0	0	takeaway_86	cuponshelf	False	Z	914.656446981	
0	mixed	34	memory	1264447.0705	1272459.62687	8012.55636433	None	None	False	0	0	horizontal_23		False	correct	9853.61573909	
0	mixed	35	memory	1289210.81211	1297221.54918	8010.73706948	None	None	False	0	0	color_36	lights	False	incorrect	9892.87139484	
0	mixed	36	memory	1314201.83034	1322211.51182	8009.68147398	None	None	False	0	0	clone_48	llightswitch	False	incorrect	11037.48496	
0	mixed	37	rating	1340152.50533	1348162.11526	8009.60993377	None	None	False	0	0	horizontal_50		False	2	2076.54289908	
0	mixed	38	search	1355758.35285	1363769.40928	8011.05643466	None	None	False	0	0	clone_11	vaseleft	False	Z	1152.76009396	
0	mixed	39	rating	1371446.00464	1379455.80113	8009.79648167	None	None	False	0	0	clone_27	bottomshelf	False	6	1853.50254255	
0	mixed	40	memory	1390251.74881	1398262.84811	8011.09929842	None	None	False	0	0	clone_69	hangingspat	False	correct	10714.3589363	
0	mixed	41	memory	1417068.04259	1425080.378	8012.33540468	None	None	False	0	0	horizontal_32		False	correct	3265.46581736	
