blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	151717.176776	159727.442042	8010.26526629	None	None	False	0	0	color_54	booktable	False	incorrect	19966.0108512	
0	mixed	1	search	191195.256793	199205.506061	8010.24926784	novel	6011.01326905	True	197459.79138	253.521318079	takeaway_75	soap	False	N	3666.17795946	
0	mixed	2	memory	243921.511026	251931.750936	8010.23991026	novel	6011.03017307	True	250251.650104	319.108904734	color_11	lemon2orange	False	incorrect	20482.6069738	
0	mixed	3	rating	282959.720746	290969.997784	8010.27703873	2	6011.03409721	True	289168.488376	197.733533525	takeaway_85	switchleftdoor	False	4	4774.68876988	
0	mixed	4	memory	317066.573151	325076.806119	8010.23296754	4	6010.96708486	True	323366.426871	288.88663502	clone_84	flushlever	False	incorrect	20536.2062918	
0	mixed	5	search	356917.817498	364928.058314	8010.24081584	2	6011.04828451	True	363177.193643	248.327860658	clone_21	book	False	N	1764.66619698	
0	mixed	6	memory	387905.868471	395916.091477	8010.22300625	None	None	False	0	0	clone_9	bookshelf	False	incorrect	12719.7914648	
0	mixed	7	search	414308.948685	422319.206405	8010.25771985	4	6011.09567613	True	421125.598357	805.553995959	horizontal_79		False	N	996.473097558	
0	mixed	8	rating	432262.038226	440272.336998	8010.29877247	2	6010.9972706	True	438572.062731	299.027234183	color_26	flowerleftchair	False	3	5781.7585732	
0	mixed	9	search	452720.777029	460731.035957	8010.25892728	4	6011.05160495	True	460499.595813	1767.76717856	clone_88	lightright	False	N	2095.98100954	
0	mixed	10	memory	468647.987124	476658.220997	8010.23387311	None	None	False	0	0	clone_55	darklightright	False	correct	15296.3799443	
0	mixed	11	rating	501221.937068	509232.294099	8010.35703095	2	6011.17355536	True	507420.68937	187.578747062	horizontal_48		False	6	2132.55315257	
0	mixed	12	search	519375.043694	527385.28451	8010.24081584	None	None	False	0	0	color_36	lights	False	N	5720.50837624	
0	mixed	13	rating	538994.133099	547004.400478	8010.26737929	novel	6010.98368702	True	545734.62957	729.512783965	takeaway_13	lightreflectionleft	False	5	1967.86244477	
0	mixed	14	memory	556120.832933	564131.054732	8010.22179882	4	6010.9951576	True	562699.077403	567.249311916	takeaway_51	lightright	False	incorrect	17509.8870389	
0	mixed	15	rating	587042.224122	595052.473692	8010.2495697	novel	6011.03802136	True	593509.332527	456.070383498	color_61	apple	False	4	3468.22256071	
0	mixed	16	rating	604288.850714	612299.150694	8010.2999799	2	6011.11076901	True	610664.879369	364.917885718	color_4	wholepic	False	4	1847.9374986	
0	mixed	17	search	622588.483776	630598.763532	8010.27975545	novel	6011.06096253	True	629870.896474	1271.35173577	takeaway_81	lightabovetv	False	N	1913.30503118	
0	mixed	18	memory	638182.46498	646192.698249	8010.2332694	2	6010.99847803	True	644198.663858	5.20040014223	horizontal_8		False	incorrect	9886.7168233	
0	mixed	19	memory	664798.809897	672809.082408	8010.27251087	novel	6011.11318387	True	671286.439175	476.516094134	takeaway_83	soap	False	correct	20133.6265577	
0	mixed	20	memory	704943.294871	712953.59968	8010.30480962	novel	6011.07514983	True	711542.325244	587.955223673	clone_20	chair	False	incorrect	22132.649747	
0	mixed	21	memory	740476.353997	748486.510896	8010.15689947	novel	6010.93388054	True	746983.722941	496.43506352	takeaway_87	bottleshadow	False	incorrect	17471.1439371	
0	mixed	22	search	792402.876158	800413.113654	8010.2374954	novel	6011.02624892	True	799026.876784	612.974376529	clone_26	statue	False	N	1831.94871321	
0	mixed	23	memory	817139.990618	825150.238075	8010.2474567	2	6011.00904305	True	823156.166253	5.16659210774	color_68	vase	False	incorrect	11862.2274303	
0	mixed	24	rating	842436.902435	850447.117593	8010.21515795	None	None	False	0	0	takeaway_93	statueheadleft	False	2	1269.11165164	
