blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	140038.786502	148049.163518	8010.37701619	None	None	False	0	0	takeaway_42	lights	False	incorrect	3153.2850439	
0	mixed	1	search	158445.074592	166455.397878	8010.32328524	None	None	False	0	0	horizontal_59		False	N	2010.80505264	
0	mixed	2	memory	175478.649494	183488.915124	8010.26563012	None	None	False	0	0	clone_36	light	False	correct	13062.2144034	
0	mixed	3	memory	205014.044304	213024.380872	8010.33656705	None	None	False	0	0	color_20	limes	False	correct	13961.0897361	
0	mixed	4	search	235935.614927	243945.969001	8010.35407489	None	None	False	0	0	color_32	bookabovetv	False	Z	2087.39610759	
0	mixed	5	rating	252062.860684	260073.098845	8010.23816093	None	None	False	0	0	clone_49	vase	False	4	3234.66569991	
0	mixed	6	memory	269656.079657	277666.429204	8010.349547	None	None	False	0	0	takeaway_25	plugin	False	incorrect	8246.39625308	
0	mixed	7	rating	293966.872756	301977.129029	8010.25627248	None	None	False	0	0	horizontal_70		False	3	1210.13631361	
0	mixed	8	memory	310227.335047	318237.641127	8010.30607926	None	None	False	0	0	takeaway_92	bottlelidwindow	False	incorrect	11618.5344008	
0	mixed	9	search	335257.814382	343268.196228	8010.38184594	None	None	False	0	0	takeaway_15	cat	False	N	1108.03603717	
0	mixed	10	search	350492.011596	358502.313751	8010.30215509	None	None	False	0	0	clone_80	statue	False	N	785.624374774	
0	mixed	11	search	364553.38502	372563.662422	8010.27740263	None	None	False	0	0	takeaway_2	candles	False	Z	1412.12453989	
0	mixed	12	memory	380547.067709	388557.586297	8010.51858819	None	None	False	0	0	horizontal_79		False	correct	7297.93540332	
0	mixed	13	search	403231.74491	411241.985485	8010.2405758	None	None	False	0	0	color_3	lights	False	N	1485.08452965	
0	mixed	14	search	418412.854436	426423.322311	8010.46787583	None	None	False	0	0	takeaway_89	vent	False	Z	1015.97831684	
0	mixed	15	search	432807.427972	440817.708393	8010.28042123	None	None	False	0	0	horizontal_40		False	N	1261.37511388	
0	mixed	16	search	447575.218501	455585.43372	8010.21521962	None	None	False	0	0	clone_31	vase	False	Z	1173.43867819	
0	mixed	17	search	462049.647398	470059.940498	8010.29309932	None	None	False	0	0	takeaway_50	light	False	N	1760.10398448	
0	mixed	18	rating	476977.249772	484987.691386	8010.44161408	None	None	False	0	0	clone_17	dot	False	6	1149.5866641	
0	mixed	19	search	491745.014341	499755.401923	8010.38758127	None	None	False	0	0	color_86	buildingoutside	False	Z	1123.03693369	
0	mixed	20	memory	506472.739693	514483.047583	8010.30789042	None	None	False	0	0	clone_58	xtrapillow	False	correct	21530.8445841	
0	mixed	21	rating	541352.871678	549363.170211	8010.29853278	None	None	False	0	0	clone_74	chairhole	False	3	3885.32758674	
0	mixed	22	memory	559079.44121	567089.739441	8010.29823092	None	None	False	0	0	clone_85	glassontable	False	incorrect	4131.77575961	
0	mixed	23	memory	578445.425957	586455.785465	8010.35950836	None	None	False	0	0	color_78	ovenclock	False	incorrect	10565.4910858	
0	mixed	24	memory	602996.075528	611006.393681	8010.31815364	None	None	False	0	0	color_18	magcolor	False	correct	5814.59471469	
0	mixed	25	memory	622068.778937	630079.14901	8010.37007343	None	None	False	0	0	color_13	wheelsleft	False	incorrect	3789.65479977	
0	mixed	26	rating	639075.702079	647085.952617	8010.25053716	None	None	False	0	0	takeaway_38	reflectionlight	False	4	830.620121577	
0	mixed	27	search	654043.274847	662053.630733	8010.35588604	None	None	False	0	0	horizontal_32		False	Z	1062.85615621	
0	mixed	28	search	669277.509794	677287.807421	8010.29762721	None	None	False	0	0	clone_42		False	N	2364.39998527	
0	mixed	29	search	684898.338325	692908.581618	8010.24329254	None	None	False	0	0	takeaway_83	soap	False	Z	1303.57202151	
