blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	57891.1866752	65901.4716243	8010.28494912	novel	6011.07280182	True	64191.1231036	288.863626622	clone_34	xtrafruit	False	correct	10499.9683048	
0	blocked	1	memory	84721.0005307	92731.3238159	8010.32328524	None	None	False	0	0	horizontal_38		False	incorrect	3656.20855095	
0	blocked	2	memory	106885.926174	114896.211123	8010.28494912	None	None	False	0	0	takeaway_98	handletopright	False	correct	12691.053676	
0	blocked	3	memory	135488.394115	143498.696874	8010.30275881	2	6011.05046423	True	141707.153944	207.709365063	color_76	exit	False	correct	7632.27714786	
0	blocked	4	memory	157519.641983	165530.283428	8010.64144492	None	None	False	0	0	color_87	picframe	False	correct	18192.2994492	
0	blocked	5	memory	189454.487168	197464.801398	8010.31422946	None	None	False	0	0	horizontal_78		False	incorrect	3161.53515966	
0	blocked	6	memory	206208.158834	214218.432614	8010.27378032	2	6010.98164032	True	212487.486726	268.346251904	takeaway_81	lightabovetv	False	correct	16607.5702683	
0	blocked	7	memory	236476.638507	244486.962396	8010.32388896	4	6011.05801071	True	242649.9009	162.204381668	takeaway_83	soap	False	incorrect	16810.7906841	
0	blocked	8	memory	268904.310913	276914.249629	8009.93871653	2	6011.05136981	True	275163.537392	248.175109771	clone_63	xtrafruit	False	incorrect	24686.6054778	
0	blocked	9	memory	306956.510833	314966.812686	8010.30185323	4	6011.06374604	True	313296.784112	329.209533199	takeaway_50	light	False	correct	12330.1202426	
0	blocked	10	memory	332600.096233	340610.406236	8010.31000344	None	None	False	0	0	takeaway_41	leftdrawerhandle	False	incorrect	13246.1330318	
0	blocked	11	memory	359523.134495	367533.466534	8010.33203916	novel	6011.14132387	True	365939.55902	405.28320135	horizontal_44		False	correct	4594.90153652	
0	blocked	12	memory	377529.641675	385539.983374	8010.34169866	novel	6011.09363011	False	0	0	takeaway_8	ventonfireplace	False	correct	13860.1528253	
0	blocked	13	memory	404599.440293	412609.733694	8010.29340118	novel	6011.01122252	True	410914.431952	303.980437104	clone_93	leftcrack	False	incorrect	12808.7878479	
0	blocked	14	memory	430656.112258	438666.440675	8010.32841685	novel	6011.14434246	False	0	0	color_67	lightleft	False	incorrect	15728.7477489	
0	blocked	15	memory	462950.465799	470960.808101	8010.34230238	None	None	False	0	0	clone_60	xtralight	False	correct	10564.7705477	
0	blocked	16	memory	489473.792276	497484.081753	8010.289477	4	6011.05680327	True	495728.074603	243.225523288	horizontal_68		False	correct	9201.02861566	
0	blocked	17	memory	513331.290249	521341.643418	8010.35316931	2	6011.18931949	True	519509.70387	167.224301362	horizontal_36		False	correct	1959.31933149	
0	blocked	18	memory	531164.250686	539174.902696	8010.65200999	2	6011.38401873	True	537388.502241	212.867536303	clone_78	fireplacehanging	False	correct	10805.9881031	
0	blocked	19	memory	557461.178785	565471.582364	8010.40357981	2	6011.17966	True	564222.017495	749.659049952	clone_92	lights	False	incorrect	4959.74012332	
0	blocked	20	memory	577906.771066	585917.130876	8010.35981022	4	6011.12532533	True	584196.466315	278.569923587	color_57	shampoo	False	correct	7180.59244108	
0	blocked	21	memory	604843.287344	612853.618176	8010.33083172	2	6011.15128523	True	611046.971416	192.532786445	clone_8	teapotsright	False	incorrect	5787.79866711	
0	blocked	22	memory	626275.157706	634285.467106	8010.30939972	2	6011.09393196	True	632453.570422	167.318783314	color_75	lampchord	False	incorrect	16424.9366548	
0	blocked	23	memory	657956.135018	665966.740542	8010.60552366	4	6011.3604737	False	0	0	horizontal_39		False	incorrect	9996.65600298	
0	blocked	24	memory	683253.559977	691263.780329	8010.22035123	4	6011.03506941	True	689477.355423	212.760376261	takeaway_3	wallpaint	False	incorrect	3694.11664205	
0	blocked	25	memory	702672.815339	710683.09576	8010.28042123	4	6011.13770156	True	709266.532078	582.579037323	takeaway_94	topshelf	False	correct	12994.4590712	
0	blocked	26	memory	731408.584938	739418.790498	8010.20556013	2	6011.03446569	True	738700.736718	1281.11731398	color_26	flowerleftchair	False	incorrect	5389.11893919	
0	blocked	27	memory	753080.325356	761090.691505	8010.36614926	None	None	False	0	0	takeaway_68	spotonshelf	False	incorrect	7135.85327466	
0	blocked	28	memory	776004.988224	784015.28072	8010.2924956	None	None	False	0	0	clone_23	outlet.tv	False	correct	4058.66997182	
0	blocked	29	memory	794851.121498	802861.452631	8010.33113358	4	6011.10238402	False	0	0	color_99	thermlid	False	correct	12518.8897495	
0	blocked	30	memory	822160.826998	830171.115267	8010.28826957	novel	6010.94722836	True	829088.218372	916.444146073	horizontal_54		False	incorrect	2499.91215895	
0	blocked	31	memory	840073.991141	848084.28907	8010.29792906	None	None	False	0	0	horizontal_32		False	correct	1690.53598736	
0	blocked	32	memory	859013.467451	867023.737308	8010.26985615	2	6011.06314232	False	0	0	takeaway_28	ovenknob	False	correct	8990.56991634	
0	blocked	33	memory	883204.273603	891214.514179	8010.2405758	None	None	False	0	0	horizontal_73		False	incorrect	3623.78977071	
0	blocked	34	memory	902383.770898	910394.038038	8010.26713942	novel	6010.95085067	False	0	0	horizontal_2		False	correct	2390.6590252	
0	blocked	35	memory	919630.427656	927640.727094	8010.29943836	novel	6010.99824258	True	925965.446471	324.020572313	takeaway_60	lampsonwall	False	incorrect	5026.49781061	
0	blocked	36	memory	940156.065772	948166.284613	8010.21884193	novel	6024.33197034	True	946509.506152	329.108410343	takeaway_70	sceneryabovecouch	False	incorrect	10711.3220168	
0	blocked	37	memory	966799.203816	974809.581436	8010.37761991	novel	6010.99220539	True	973012.918369	202.72234803	horizontal_64		False	correct	4862.3905081	
