blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	search	152121.259668	160131.35976	8010.10009234	2	6024.34436183	True	158505.185428	359.581398564	color_3	lights	False	N	6013.58501661	
0	mixed	1	memory	190012.957157	198023.208177	8010.2510202	2	6011.03705249	True	196282.195252	258.201042549	horizontal_24		False	incorrect	9022.15017262	
0	mixed	2	memory	216615.96044	224626.106113	8010.14567255	4	6010.96158856	True	222885.236267	258.314238444	horizontal_29		False	correct	5893.33173551	
0	mixed	3	memory	237940.851372	245951.062245	8010.21087339	2	6024.36307689	True	244557.534153	592.319703843	horizontal_80		False	correct	8007.75829567	
0	mixed	4	rating	261211.785896	269221.959339	8010.17344328	4	6024.33047647	True	267408.401429	172.285056844	clone_50	redvase	False	6	2491.19290663	
0	mixed	5	rating	279031.482646	287041.634054	8010.15140781	None	None	False	0	0	color_10	lighttent	False	6	2420.5281811	
0	mixed	6	memory	296597.981913	304608.11038	8010.12846678	novel	6011.05305084	False	0	0	horizontal_2		False	correct	7965.29293135	
0	mixed	7	memory	319149.167437	327159.276585	8010.10914801	2	6024.19222655	True	325776.081617	602.721953755	takeaway_25	plugin	False	correct	10693.6291238	
0	mixed	8	search	350523.478187	358533.603937	8010.12575007	novel	6024.37032143	True	357033.868513	486.020005186	color_52	orange	False	Z	1310.8033256	
0	mixed	9	rating	366583.821258	374593.988664	8010.16740616	2	6024.33349503	True	374269.004761	1660.85000759	clone_39	xtraspots	False	3	3970.04383851	
0	mixed	10	rating	387682.238598	395692.495656	8010.25705731	4	6011.06452136	False	0	0	color_47	potonshelf	False	5	953.837808697	
0	mixed	11	search	402929.600002	410939.810875	8010.21087339	None	None	False	0	0	color_68	vase	False	N	2759.41827573	
0	mixed	12	search	419816.337096	427826.451073	8010.1139777	2	6010.93593082	True	426156.655873	329.382846928	horizontal_21		False	N	2392.31976421	
