blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	rating	64598.9760361	72609.2253349	8010.24929878	novel	6011.04650671	True	70873.5418732	263.519330406	color_99	thermlid	False	6	2562.4418168	
0	mixed	1	rating	92001.7897182	100012.068599	8010.2788809	2	6011.05858105	True	98018.0964087	5.24810946108	takeaway_91	table	False	2	2689.82393206	
0	mixed	2	search	122470.143491	130480.405166	8010.26167498	2	6010.98251274	True	128592.733001	111.606997318	horizontal_70		False	Z	2157.04030292	
0	mixed	3	search	142435.826422	150446.054892	8010.22847056	2	6011.00334097	True	149120.414621	673.584857819	color_26	flowerleftchair	False	N	735.093328568	
0	mixed	4	search	169625.395284	177635.644582	8010.24929878	None	None	False	0	0	horizontal_54		False	Z	1878.40239651	
0	mixed	5	search	192349.999336	200360.294517	8010.29518125	2	6011.04016769	True	198366.186792	5.14728876861	color_19	pillowbottom	False	N	1204.13081092	
0	mixed	6	memory	209583.407087	217593.596316	8010.18922897	4	6011.09329476	True	215868.032053	273.531670375	horizontal_76		False	correct	2063.7757289	
0	mixed	7	search	233214.335133	241224.616429	8010.28129577	None	None	False	0	0	takeaway_33		False	N	2848.52022994	
0	mixed	8	search	251633.96625	259644.181137	8010.21488693	novel	6011.00635955	True	259169.500412	1524.52780297	clone_32	shelf	False	Z	847.285931106	
0	mixed	9	memory	278676.97684	286687.212555	8010.23571516	novel	6010.98945548	False	0	0	horizontal_64		False	correct	3067.87798402	
0	mixed	10	search	306906.067112	314916.399421	8010.33230983	novel	6011.0603922	False	0	0	takeaway_60	lampsonwall	False	N	926.382782965	
0	mixed	11	rating	322939.989652	330950.247705	8010.25805268	novel	6010.97979602	True	329538.678923	587.70947461	color_85	mouse	False	4	1358.94792702	
0	mixed	12	rating	339293.677999	347303.97801	8010.30001099	2	6011.08816317	False	0	0	horizontal_8		False	4	882.178040891	
0	mixed	13	search	356020.662507	364030.912409	8010.2499025	novel	6010.9610808	False	0	0	takeaway_2	candles	False	N	1000.47301205	
0	mixed	14	rating	370774.946782	378785.255547	8010.30876488	novel	6011.1219713	True	376943.260288	157.19153396	color_56	book	False	4	2152.48526026	
0	mixed	15	memory	388088.274855	396098.594185	8010.31932992	novel	6011.10899139	False	0	0	horizontal_74		False	correct	3358.89419623	
0	mixed	16	memory	406561.317093	414571.551298	8010.23420587	4	6010.9538362	False	0	0	color_86	buildingoutside	False	correct	8344.28093112	
0	mixed	17	rating	429325.89021	437336.147358	8010.2571471	None	None	False	0	0	takeaway_78	floweronwallright	False	4	3171.49116823	
0	mixed	18	search	448998.371172	457008.607189	8010.23601702	2	6010.98009787	False	0	0	takeaway_10	leftoflight	False	Z	1765.49620081	
0	mixed	19	search	469563.786294	477574.164486	8010.3781923	None	None	False	0	0	color_59	dressflowers	False	N	1303.65170133	
0	mixed	20	memory	486117.430147	494127.711443	8010.28129577	novel	6011.03594167	False	0	0	color_37	redtogreenright	False	incorrect	13432.2536262	
0	mixed	21	memory	515399.542443	523409.810155	8010.26771214	None	None	False	0	0	color_30	chairsright	False	incorrect	1509.61660366	
0	mixed	22	memory	537537.758255	545548.007554	8010.24929878	4	6011.02567849	True	543701.082343	152.298409931	clone_91	platesonwall	False	correct	2315.34871282	
0	mixed	23	rating	570951.623575	578961.878911	8010.25533595	2	6011.0422807	True	577302.3845	339.718643859	horizontal_26		False	4	2509.01439623	
0	mixed	24	search	596008.66907	604018.931953	8010.26288241	novel	6011.02024504	False	0	0	takeaway_65	rugcorner	False	N	1195.57252268	
0	mixed	25	memory	646789.23887	654799.492697	8010.25382666	None	None	False	0	0	color_18	magcolor	False	correct	1310.10211265	
0	mixed	26	rating	666967.844538	674978.418636	8010.57409838	None	None	False	0	0	takeaway_41	leftdrawerhandle	False	5	1835.01267201	
0	mixed	27	search	683948.282305	691958.564808	8010.2825032	novel	6011.07065538	False	0	0	color_55	flowerleft	False	Z	2779.97815753	
0	mixed	28	memory	701821.432668	709831.720907	8010.28823851	2	6011.07578697	True	707837.749018	5.24056300207	takeaway_19	headboard	False	correct	2269.21147352	
0	mixed	29	search	720947.507435	728957.731377	8010.22394268	novel	6010.97768301	False	0	0	horizontal_31		False	N	1582.96305374	
0	mixed	30	search	738594.006844	746604.282706	8010.27586232	novel	6011.01964132	False	0	0	clone_10	vase	False	N	789.554915884	
