blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	search	67704.2503468	75714.5452262	8010.2948794	None	None	False	0	0	takeaway_33		False	Z	11469.8938545	
0	blocked	1	search	243690.100434	251700.519377	8010.41894318	None	None	False	0	0	color_58	peppers	False	N	3137.53723423	
0	blocked	2	search	262536.265263	270546.496451	8010.23118728	None	None	False	0	0	takeaway_86	cuponshelf	False	Z	1696.51311333	
0	blocked	3	search	279076.619802	287086.927963	8010.30816116	None	None	False	0	0	horizontal_3		False	N	1350.49770407	
0	blocked	4	search	294963.854876	302974.066443	8010.21156649	None	None	False	0	0	clone_80	statue	False	Z	1103.04840721	
0	blocked	5	search	309918.126655	317928.360861	8010.23420587	None	None	False	0	0	color_21	checkers	False	Z	1012.51323649	
0	blocked	6	search	324645.809964	332656.118729	8010.30876488	None	None	False	0	0	clone_91	platesonwall	False	Z	948.638196191	
0	blocked	7	search	340399.796306	348410.060094	8010.26378798	None	None	False	0	0	horizontal_4		False	Z	762.475504194	
0	blocked	8	search	355660.612495	363670.908883	8010.29638869	None	None	False	0	0	takeaway_32	ceilingfan	False	Z	1090.76488494	
0	blocked	9	search	370574.87657	378585.143075	8010.26650471	None	None	False	0	0	fillers_9-16_22	filler	True	N	1034.92591792	
0	blocked	10	search	386128.963853	394139.259638	8010.29578497	None	None	False	0	0	horizontal_61		False	Z	928.750861806	
0	blocked	11	search	401403.104674	409413.406496	8010.30182214	None	None	False	0	0	fillers_9-16_25	filler	True	Z	1003.71708386	
0	blocked	12	search	416730.552473	424740.852182	8010.29970913	None	None	False	0	0	horizontal_70		False	Z	702.596163018	
0	blocked	13	search	431444.93047	439455.122416	8010.19194569	None	None	False	0	0	color_83	artbehindtable	False	Z	980.011241205	
0	blocked	14	search	450357.739588	458367.933949	8010.19436056	None	None	False	0	0	horizontal_5		False	Z	720.410032323	
