blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	202929.343321	210939.682543	8010.33922136	None	None	False	0	0	clone_43	butterflyright	False	7	1832.49688634	
0	blocked	1	rating	219016.454551	227026.724346	8010.26979415	None	None	False	0	0	takeaway_61	fanlever	False	7	1457.05685364	
0	blocked	2	rating	235356.769546	243367.043264	8010.2737183	4	6011.09627985	True	241828.658467	460.79264144	color_24	potsleft	False	7	1476.41738675	
0	blocked	3	rating	250964.168313	258974.430863	8010.26254957	novel	6024.34238845	True	257251.999353	263.488651065	color_61	apple	False	7	1279.54988225	
0	blocked	4	rating	266531.1372	274541.722435	8010.58523519	None	None	False	0	0	color_100	stereoright	False	7	2015.88947429	
0	blocked	5	rating	283537.914503	291548.495512	8010.58100918	4	6024.74567001	True	289876.592826	313.932653188	horizontal_68		False	5	2752.77935247	
0	blocked	6	rating	300385.059928	308395.371982	8010.31205419	novel	6011.08360184	True	306689.829396	293.685866612	horizontal_40		False	6	3449.65862941	
0	blocked	7	rating	317817.9706	325828.664806	8010.69420573	4	6024.73631242	True	324485.864921	643.158008489	horizontal_76		False	7	2517.55089769	
0	blocked	8	rating	334691.82407	342702.109561	8010.28549074	None	None	False	0	0	horizontal_50		False	7	3315.74560903	
0	blocked	9	rating	356376.839444	364387.066072	8010.22662854	2	6024.35989619	True	362679.715059	278.515718623	clone_93	leftcrack	False	7	1214.70546863	
0	blocked	10	rating	372397.327113	380407.621659	8010.29454646	4	6010.94444555	True	378459.086845	50.8152867858	clone_41	knobsleftcab	False	7	1516.16597571	
0	blocked	11	rating	390137.156479	398147.410274	8010.25379571	4	6024.35687761	True	396348.843977	187.330620239	color_4	wholepic	False	5	1208.04136172	
0	blocked	12	rating	406144.316236	414154.531695	8010.21545981	novel	6024.37529092	False	0	0	takeaway_46	outletbydoor	False	7	1613.99435285	
