blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	7104.79493343	15115.2916325	8010.49669907	None	None	False	0	0	takeaway_93	statueheadleft	False	7	2867.79453709	
0	blocked	1	rating	24764.7648506	32774.9500355	8010.18518491	novel	6011.01256893	True	31176.2629832	400.485563643	horizontal_50		False	5	6722.12453865	
0	blocked	2	rating	45370.0299229	53380.1997132	8010.16979031	2	6010.90269378	True	51644.5203844	263.587767757	clone_6	bottomrightobject	False	7	1025.8762015	
0	blocked	3	rating	59990.9078314	68001.1032793	8010.19544797	4	6010.96215918	True	66189.6393771	187.76938655	horizontal_33		False	3	1479.220466	
0	blocked	4	rating	75144.9343783	83155.126204	8010.19182571	2	6010.99294837	True	81242.1910916	86.2637649565	takeaway_15	cat	False	7	3588.76478296	
0	blocked	5	rating	94057.4671182	102067.647473	8010.18035523	4	6010.97574265	True	100073.631745	5.18888413635	horizontal_81		False	5	707.800622485	
0	blocked	6	rating	108984.93171	116995.08852	8010.15681055	None	None	False	0	0	color_66	painting	False	5	5779.7830328	
0	blocked	7	rating	129136.941565	137147.135202	8010.19363684	4	6011.02162458	True	135396.342908	248.379718858	color_88	bowltopshelf	False	6	2979.33954772	
0	blocked	8	rating	146303.519235	154313.690836	8010.17160144	novel	6010.96578144	True	152481.959195	167.474178585	takeaway_99	blockoncushion	False	7	868.368363081	
0	blocked	9	rating	160631.206173	168641.315894	8010.1097212	None	None	False	0	0	color_50	lightsintv	False	7	932.301211253	
0	blocked	10	rating	174998.848726	183009.034514	8010.18578862	novel	6010.9820816	True	181719.205905	709.37509716	takeaway_83	soap	False	5	1121.65744852	
0	blocked	11	rating	190259.494918	198269.671953	8010.17703483	None	None	False	0	0	horizontal_60		False	6	612.63998894	
0	blocked	12	rating	212677.312381	220687.485794	8010.17341257	novel	6010.96366845	True	218967.040172	278.7641219	takeaway_33		False	5	1732.78997456	
0	blocked	13	rating	228324.48939	236334.646804	8010.15741426	novel	6010.93499225	True	234649.685422	314.261039811	takeaway_32	ceilingfan	False	6	1285.2162684	
0	blocked	14	rating	243211.934071	251222.107786	8010.17371442	2	6010.96849813	False	0	0	takeaway_64	plant	False	5	1781.36475199	
0	blocked	15	rating	264536.482021	272546.653924	8010.17190329	None	None	False	0	0	horizontal_66		False	3	4791.86688444	
0	blocked	16	rating	283036.251253	291046.376369	8010.1251158	2	6010.92352176	True	289376.976809	329.802034562	color_9	chairs	False	6	1425.44986177	
0	blocked	17	rating	298056.949437	306067.170241	8010.22080377	2	6010.95461281	True	305228.065192	1160.16114217	horizontal_76		False	6	2774.90898323	
0	blocked	18	rating	314477.124386	322487.303232	8010.17884595	4	6010.96306474	False	0	0	horizontal_73		False	6	871.72076257	
0	blocked	19	rating	338347.705345	346357.860043	8010.15469757	4	6010.96064991	True	344566.489709	207.823714378	horizontal_38		False	7	944.506408528	
0	blocked	20	rating	353315.118609	361325.306511	8010.1879016	novel	6010.90752346	True	359696.213624	370.187491076	takeaway_48	handleleft	False	7	2291.30950954	
0	blocked	21	rating	369495.399884	377505.598048	8010.19816466	None	None	False	0	0	horizontal_40		False	3	4174.55116454	
0	blocked	22	rating	387421.659773	395431.828356	8010.16858289	None	None	False	0	0	takeaway_43	reflectionlightlefttele	False	6	1413.20391409	
0	blocked	23	rating	405814.351143	413824.510671	8010.15952725	2	6011.02102087	True	412099.240201	273.868036926	clone_40	xtradoorknob	False	6	833.350488748	
0	blocked	24	rating	434922.896019	442933.056754	8010.16073467	2	6010.61230946	True	441156.562127	223.053798677	takeaway_14	sharkteeth	False	7	1295.07937423	
0	blocked	25	rating	451089.806635	459100.011742	8010.20510732	2	6011.01649304	True	457952.265586	851.442458475	color_30	chairsright	False	7	690.018355791	
0	blocked	26	rating	475720.112978	483730.283976	8010.17099773	novel	6010.97996861	True	481969.482479	238.389532158	horizontal_55		False	6	1859.05010518	
0	blocked	27	rating	501909.776504	509919.949916	8010.17341257	None	None	False	0	0	color_49	spacepink	False	6	786.101457627	
0	blocked	28	rating	516330.722088	524340.929308	8010.20722031	2	6010.99747619	True	522671.188351	329.468786855	color_1	oranges	False	6	2364.72029681	
0	blocked	29	rating	537561.999015	545572.544615	8010.54559955	novel	6010.97302595	True	543765.686715	192.714673856	takeaway_70	sceneryabovecouch	False	5	935.262406912	
0	blocked	30	rating	553516.065166	561526.237069	8010.17190329	4	6011.00079659	True	559532.249413	5.18345074973	takeaway_95	drawerknob	False	4	2941.12563469	
0	blocked	31	rating	581251.784037	589262.008765	8010.22472789	novel	6010.95551837	True	587496.071511	233.331954863	horizontal_31		False	3	2234.02954132	
0	blocked	32	rating	597485.362004	605495.517909	8010.15590499	None	None	False	0	0	horizontal_65		False	4	855.974808405	
0	blocked	33	rating	620183.029361	628193.225412	8010.19605168	4	6011.0702232	True	626412.129311	218.029727265	clone_3	candle	False	5	1021.72056636	
0	blocked	34	rating	636056.795491	644066.981884	8010.18639232	4	6010.97393152	True	642427.52934	359.75991676	color_32	bookabovetv	False	4	2006.04645364	
0	blocked	35	rating	654436.198006	662446.414886	8010.21687966	None	None	False	0	0	horizontal_61		False	6	1199.67725684	
0	blocked	36	rating	670496.551762	678506.686537	8010.13477515	4	6010.95219797	True	676750.872889	243.368929058	horizontal_23		False	3	789.593917746	
0	blocked	37	rating	687249.96657	695260.070254	8010.10368411	2	6010.9072216	True	693519.420886	258.547094331	color_100	stereoright	False	4	673.064982397	
0	blocked	38	rating	702297.275972	710307.472325	8010.19635353	2	6011.00592813	True	710076.26573	1767.98383024	clone_82	rug	False	5	1267.90791376	
0	blocked	39	rating	717664.573505	725674.726693	8010.1531883	novel	6010.95370724	True	724192.394104	516.866891991	color_97	vase	False	3	1321.58916897	
0	blocked	40	memory	733551.634529	741561.799489	8010.16496063	novel	6010.96517773	True	739942.792477	380.192770517	clone_44	pillow	False	correct	23166.8958248	
