blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	247108.745307	255118.976374	8010.23106684	None	None	False	0	0	takeaway_95	drawerknob	False	correct	67716.138456	
0	blocked	1	memory	343937.186731	351947.406026	8010.2192945	2	6010.97906305	True	350236.980474	288.814679561	clone_54	jarleft	False	incorrect	68989.0013164	
0	blocked	2	memory	432328.980688	440339.174626	8010.1939387	2	6010.98751498	True	438436.3761	96.4078976085	clone_65	xtraheartnightstand	False	incorrect	15406.8344758	
0	blocked	3	memory	466662.122444	474672.31759	8010.19514611	2	6010.9793649	True	472941.664446	268.562636835	takeaway_39	light	False	incorrect	14088.9949473	
0	blocked	4	memory	501794.933427	509805.134007	8010.2005795	novel	6010.97091297	True	508469.518249	663.613908383	horizontal_42		False	incorrect	10419.3653744	
0	blocked	5	memory	529037.255826	537047.712378	8010.45655238	2	6010.86133967	True	535053.288844	5.17167841224	takeaway_71	stickerdesk	False	incorrect	10688.0629403	
0	blocked	6	memory	555040.594944	563050.429675	8009.83473147	None	None	False	0	0	horizontal_65		False	incorrect	2260.48500219	
0	blocked	7	memory	573486.67145	581496.858748	8010.18729789	2	6010.97061111	True	579776.310495	278.668433926	horizontal_24		False	correct	1757.98730459	
0	blocked	8	memory	590413.307752	598423.507124	8010.19937208	4	6010.99657063	True	596824.567419	400.26309665	takeaway_69	whitespotonorange	False	correct	13563.9695235	
0	blocked	9	memory	622973.803832	630984.000488	8010.19665539	4	6010.96729071	True	629390.100551	405.329427735	clone_21	book	False	correct	3317.40365021	
0	blocked	10	memory	641646.455877	649656.697811	8010.24193361	2	6011.01739861	True	648169.256329	511.783053328	takeaway_10	leftoflight	False	correct	10044.0176754	
0	blocked	11	memory	668315.927882	676326.100691	8010.17280886	2	6010.97513894	False	0	0	clone_76	window	False	correct	12389.9378511	
0	blocked	12	memory	697917.588204	705927.790293	8010.20208877	None	None	False	0	0	horizontal_34		False	correct	1291.79126982	
0	blocked	13	memory	714711.000887	722721.153472	8010.15258459	novel	6010.91054201	True	721289.182641	567.271211413	horizontal_39		False	incorrect	1585.95330729	
0	blocked	14	memory	731184.48249	739194.652582	8010.17009217	None	None	False	0	0	takeaway_80	tilesbackleft	False	correct	15637.1010951	
0	blocked	15	memory	763171.92382	771182.10659	8010.18277007	4	6010.91537168	True	769248.795675	65.9564827998	horizontal_43		False	incorrect	1411.93370906	
0	blocked	16	memory	779965.251078	787975.473995	8010.22291676	novel	6010.93589781	True	786128.237581	152.050605355	clone_86	pilarceililng	False	incorrect	6058.63710743	
0	blocked	17	memory	801223.54069	809233.693275	8010.15258459	None	None	False	0	0	clone_64	xtraglass	False	correct	8074.43830103	
0	blocked	18	memory	824667.263031	832677.858739	8010.59570744	novel	6011.37992623	True	831149.959053	471.316096015	color_25	hangingcandle	False	incorrect	16943.5051561	
0	blocked	19	memory	871969.091879	879979.159944	8010.06806524	2	6010.8471525	True	878385.114815	405.175783638	color_92	windows	False	correct	12934.9173869	
0	blocked	20	memory	900144.548004	908154.750998	8010.20299434	novel	6010.98027047	True	906758.29248	602.764205212	clone_48	llightswitch	False	correct	9435.88769914	
0	blocked	21	memory	924908.170334	932918.268887	8010.09855258	novel	6010.88880846	True	931227.890116	308.830973684	takeaway_87	bottleshadow	False	correct	6042.62250249	
0	blocked	22	memory	945966.466044	953976.664812	8010.19876837	2	6011.00864482	True	952311.988677	334.513988103	clone_82	rug	False	incorrect	5647.69348214	
0	blocked	23	memory	966331.86974	974342.051604	8010.1818645	novel	6010.98087418	True	972910.110959	567.26034464	clone_35	books	False	correct	10721.7043568	
