blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	367456.987556	375467.205702	8010.21814568	2	6011.01625437	True	374207.46449	739.46067896	color_11	lemon2orange	False	5	9589.2001164	
0	blocked	1	rating	393833.382435	401843.593638	8010.21120298	novel	6010.97550374	True	400335.99108	491.633140467	horizontal_48		False	4	10140.2836003	
0	blocked	2	rating	430699.018846	438709.23186	8010.21301412	novel	6010.99180399	True	437408.931392	698.920742132	takeaway_12	light	False	3	6303.3335225	
0	blocked	3	rating	458528.189175	466538.392228	8010.20305286	4	6011.03074348	True	464797.682164	258.462246199	horizontal_6		False	3	4820.25227962	
0	blocked	4	rating	481732.467267	489742.701713	8010.23444594	4	6011.01021724	True	487991.935903	248.458418658	color_76	exit	False	5	5330.1607205	
0	blocked	5	rating	518997.989032	527008.188462	8010.19943058	2	6010.97188146	True	525059.745861	50.7849477426	takeaway_14	sharkteeth	False	5	4973.25671812	
0	blocked	6	rating	542735.381692	550745.639984	8010.2582926	2	6010.72617024	True	549272.880726	526.772863822	horizontal_68		False	3	3008.72455953	
0	blocked	7	rating	563393.995832	571404.204318	8010.20848627	None	None	False	0	0	clone_81	barsabovecouchleft	False	6	5592.27995866	
0	blocked	8	rating	587051.459295	595061.669895	8010.21059927	novel	6010.98486129	True	593427.226916	364.782759886	clone_90	pillowsplotch	False	4	5782.34211696	
0	blocked	9	rating	613574.455632	621584.783653	8010.32802146	4	6011.09896306	True	620071.827669	486.273073914	clone_69	hangingspat	False	4	2416.16477986	
0	blocked	10	rating	637338.572255	645348.761422	8010.18916746	novel	6010.97097589	True	643623.270664	273.727433205	takeaway_43	reflectionlightlefttele	False	5	2251.60949906	
0	blocked	11	rating	655957.958025	663968.165606	8010.2075807	None	None	False	0	0	takeaway_11	lightleft	False	4	8455.71311796	
0	blocked	12	rating	688411.870871	696422.28311	8010.41223944	2	6011.1605418	True	694717.169177	294.137764909	color_12	wine	False	5	5465.06553909	
0	blocked	13	rating	712815.528225	719439.941114	6624.41288903	None	None	False	0	0	horizontal_26		False	6	12118.7090079	
0	blocked	14	rating	748775.113558	756785.369134	8010.25557589	None	None	False	0	0	horizontal_63		False	4	4679.27078705	
0	blocked	15	rating	781868.926345	789879.149924	8010.2235791	4	6010.99542627	True	788178.859658	298.937887584	color_89	garlic	False	6	3118.24324324	
0	blocked	16	rating	818787.888429	826798.096613	8010.20818442	novel	6010.97701302	True	824956.167412	157.301970036	clone_83	pumpkin	False	4	5390.51089823	
0	blocked	17	rating	1088656.07764	1096666.29065	8010.21301412	2	6011.01293395	False	0	0	takeaway_92	bottlelidwindow	False	5	2503.69321475	
