blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	1346360.98993	1354371.26694	8010.27700771	None	None	False	0	0	clone_23	outlet.tv	False	incorrect	19864.9261417	
0	blocked	1	memory	1383000.06007	1391010.34372	8010.28364855	2	6011.08054981	True	1389016.27037	5.12975001452	clone_15	xtracupx2	False	incorrect	21587.6980783	
0	blocked	2	memory	1420652.09313	1428662.3152	8010.22206982	None	None	False	0	0	takeaway_49	chairlegs	False	incorrect	21078.9611426	
0	blocked	3	memory	1455678.41351	1463688.66305	8010.24953876	2	6024.38125447	True	1461986.41947	283.624705388	horizontal_32		False	correct	3268.25779273	
0	blocked	4	memory	1472765.12271	1480775.30735	8010.18463961	4	6024.34261683	False	0	0	color_37	redtogreenright	False	correct	10701.0639236	
0	blocked	5	memory	1497835.37258	1505845.58619	8010.21361784	novel	6010.9924077	True	1504281.94004	435.575060854	takeaway_72	paintingwords	False	incorrect	27125.9780152	
0	blocked	6	memory	1539459.13617	1547469.36126	8010.22508838	novel	6011.01112281	True	1545865.20143	395.054140989	color_26	flowerleftchair	False	correct	11165.5821967	
0	blocked	7	memory	1564636.01203	1572646.23923	8010.22720138	novel	6010.97097589	True	1571072.38308	425.400080656	horizontal_39		False	incorrect	3644.46310589	
0	blocked	8	memory	1581469.46812	1589479.63585	8010.16773564	4	6010.95648678	True	1587774.03955	293.614949385	takeaway_54	phonebutton	False	correct	14298.4087331	
0	blocked	9	memory	1611484.46284	1619494.65201	8010.18916746	2	6010.91996214	True	1617500.55179	5.16899136431	horizontal_66		False	incorrect	1971.11051813	
0	blocked	10	memory	1626758.52715	1634768.681	8010.15385024	2	6010.94441251	True	1633265.77049	496.298936982	clone_29	topshelf	False	incorrect	6488.65230715	
0	blocked	11	memory	1648856.5623	1656866.75418	8010.19188416	None	None	False	0	0	clone_71	cupsshelf	False	incorrect	5552.89220824	
0	blocked	12	memory	1667902.41189	1675912.67864	8010.26674459	novel	6011.06545699	True	1674141.65735	228.179998261	horizontal_8		False	incorrect	2599.96281127	
0	blocked	13	memory	1683709.66019	1691719.85419	8010.19399716	2	6010.96493876	True	1689928.31662	207.691485714	color_78	ovenclock	False	correct	9274.94723548	
0	blocked	14	memory	1706474.10735	1714484.34602	8010.23867193	novel	6011.00297268	True	1712677.7766	192.666274655	takeaway_74	sprinkler	False	correct	16108.4887492	
