blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	940428.348917	948438.583061	8010.23414408	None	None	False	0	0	horizontal_24		False	correct	10788.7967153	
0	blocked	1	memory	971003.13146	979013.304327	8010.1728672	None	None	False	0	0	horizontal_45		False	correct	9373.44755182	
0	blocked	2	memory	997659.320183	1005669.67115	8010.35096256	None	None	False	0	0	clone_48	llightswitch	False	incorrect	9068.6584771	
0	blocked	3	memory	1023449.31014	1031459.54458	8010.23444594	None	None	False	0	0	color_97	vase	False	correct	10766.0614846	
0	blocked	4	memory	1059115.40881	1067125.66197	8010.25316104	None	None	False	0	0	takeaway_44	lightorangeright	False	correct	8651.34483125	
0	blocked	5	memory	1097220.489	1105230.79136	8010.30236366	None	None	False	0	0	color_87	picframe	False	incorrect	14697.0431945	
0	blocked	6	memory	1129634.53203	1137644.80028	8010.26825387	None	None	False	0	0	takeaway_99	blockoncushion	False	correct	13586.6141114	
0	blocked	7	memory	1160315.9798	1168326.15569	8010.17588577	None	None	False	0	0	color_48	lightorbs	False	incorrect	12544.3934374	
0	blocked	8	memory	1188691.51862	1196701.74823	8010.22961623	None	None	False	0	0	takeaway_53	drawerhandlebottom	False	correct	15872.3886391	
0	blocked	9	memory	1219106.34013	1227116.55285	8010.21271227	None	None	False	0	0	color_85	mouse	False	incorrect	14720.9366488	
0	blocked	10	memory	1249747.72762	1257757.90381	8010.17618762	None	None	False	0	0	horizontal_27		False	incorrect	13767.2459696	
0	blocked	11	memory	1282055.12564	1290065.34138	8010.21573083	None	None	False	0	0	horizontal_49		False	correct	15674.9475977	
0	blocked	12	memory	1320919.92953	1328930.22707	8010.29753395	None	None	False	0	0	color_50	lightsintv	False	correct	17929.0139071	
0	blocked	13	memory	1356932.58427	1364942.85312	8010.26885758	None	None	False	0	0	horizontal_53		False	correct	11755.9025028	
0	blocked	14	memory	1384521.81879	1392532.07618	8010.25738703	None	None	False	0	0	takeaway_45	midspeaker	False	correct	18443.3590354	
0	blocked	15	memory	1428997.80218	1437008.03331	8010.23112551	None	None	False	0	0	color_39	painting	False	correct	6761.48081158	
0	blocked	16	memory	1452815.20645	1460825.4578	8010.2513499	None	None	False	0	0	takeaway_54	phonebutton	False	incorrect	16159.401986	
0	blocked	17	memory	1510352.7906	1518362.95985	8010.16924492	None	None	False	0	0	horizontal_22		False	correct	9383.48126316	
0	blocked	18	memory	1547631.54334	1555641.87076	8010.32741775	None	None	False	0	0	clone_26	statue	False	incorrect	18911.7114904	
0	blocked	19	memory	1583697.49749	1591707.71926	8010.22176796	None	None	False	0	0	takeaway_42	lights	False	incorrect	12943.8631358	
0	blocked	20	memory	1629692.93855	1637703.09119	8010.15264281	None	None	False	0	0	color_69	pillow	False	correct	4211.66180476	
