blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	785828.971668	793839.190812	8010.21914379	4	6011.05499212	True	792083.428469	243.401809103	takeaway_92	bottlelidwindow	False	incorrect	5893.81285087	
0	mixed	1	rating	811045.963809	819056.248457	8010.28464726	2	6010.95568042	True	817588.698932	531.779442297	color_60	paper	False	3	3343.15452599	
0	mixed	2	search	828852.551405	836862.800131	8010.248726	4	6010.9046662	True	835147.162734	283.706662819	horizontal_29		False	Z	1797.81465961	
0	mixed	3	search	844926.42301	852936.668114	8010.24510369	novel	6011.06374604	True	852836.543506	1899.05675015	color_27	pillowleft	False	Z	1273.14943664	
0	mixed	4	memory	863252.691528	871263.027492	8010.33596333	2	6011.10359146	True	869542.59174	278.796619901	clone_64	xtraglass	False	correct	5389.04136136	
0	mixed	5	search	882472.065339	890482.385908	8010.32056851	4	6011.05136981	True	888772.069082	288.952373248	clone_43	butterflyright	False	Z	1601.51074528	
0	mixed	6	memory	902664.466213	910674.619552	8010.15333847	novel	6010.98375333	True	908898.402621	222.952654581	horizontal_40		False	incorrect	1809.05529519	
0	mixed	7	memory	918458.375116	926468.667008	8010.29189188	2	6011.04080473	True	924474.614843	5.19892224169	color_100	stereoright	False	correct	1518.85171525	
0	mixed	8	search	933599.30355	941609.597253	8010.29370303	4	6010.97228268	True	939615.535127	5.25929409603	fillers_1-8_15	filler	True	Z	2137.80177626	
0	mixed	9	search	949633.193291	957643.454997	8010.26170595	novel	6011.03929544	True	955649.426075	5.1934887747	takeaway_13	lightreflectionleft	False	Z	1071.717537	
0	mixed	10	memory	964254.252141	972264.539505	8010.28736399	2	6011.06767021	True	970569.334056	304.014245343	horizontal_8		False	correct	1378.25955188	
0	mixed	11	rating	979168.590516	986352.574346	7183.98383	novel	6011.1292495	True	986137.207113	957.487347569	horizontal_20		False	6	2045.05732609	
0	mixed	12	memory	993856.341248	1001866.67872	8010.33747263	2	6011.06767021	True	1000105.51249	238.103575161	takeaway_62	midwindow	False	correct	8991.94247045	
0	mixed	13	rating	1016940.86667	1024951.09427	8010.22759585	novel	6011.09906357	True	1023291.44784	339.482106084	color_75	lampchord	False	3	3355.33183088	
0	mixed	14	memory	1033921.12327	1041931.34603	8010.22276611	4	6010.98737564	True	1040474.2834	542.172758891	takeaway_60	lampsonwall	False	correct	14526.6867745	
0	mixed	15	memory	1061950.33419	1069960.65959	8010.32539826	None	None	False	0	0	takeaway_61	fanlever	False	incorrect	7225.15351053	
0	mixed	16	search	1082942.38593	1090952.65579	8010.26985615	4	6011.02450433	True	1089257.44943	304.038997803	color_23	bluebooks	False	N	2254.29500465	
0	mixed	17	rating	1124166.69605	1132177.00273	8010.30668298	novel	6010.99552584	False	0	0	horizontal_30		False	4	2488.17104071	
0	mixed	18	search	1140787.03406	1148797.3341	8010.30004208	2	6011.08306503	True	1147370.38525	572.268128309	color_77	booksleft	False	Z	1979.64713859	
0	mixed	19	memory	1156474.39992	1164484.69091	8010.2909863	None	None	False	0	0	clone_73	xtrahanging	False	incorrect	4716.07116876	
0	mixed	20	rating	1175213.93099	1183224.16432	8010.23333118	None	None	False	0	0	color_2	bookbinding	False	6	667.015716605	
0	mixed	21	memory	1189475.16936	1197485.46819	8010.29883464	4	6011.05710513	True	1196058.73276	572.506295275	takeaway_47	appleicon	False	correct	12746.823384	
0	mixed	22	rating	1215505.27831	1223515.51194	8010.23363304	4	6011.02782478	True	1221901.25821	384.952073804	horizontal_58		False	4	2804.66354464	
0	mixed	23	search	1231752.41593	1239762.73922	8010.32328524	None	None	False	0	0	fillers_1-8_12	filler	True	Z	1133.23132502	
0	mixed	24	rating	1246453.46145	1254463.80617	8010.34471725	2	6011.06857579	True	1252626.60793	162.077902633	takeaway_87	bottleshadow	False	4	1528.05842305	
0	mixed	25	memory	1265019.76907	1273030.02292	8010.25385761	4	6011.10389332	True	1271562.7656	531.892639524	horizontal_42		False	incorrect	3553.48372767	
0	mixed	26	search	1282253.19986	1290263.57325	8010.37339388	novel	6010.97258454	True	1288801.01859	536.846150178	horizontal_51		False	Z	735.929584684	
0	mixed	27	rating	1296194.55434	1304204.77801	8010.22367168	novel	6011.04171031	True	1302377.77507	172.179019452	clone_81	barsabovecouchleft	False	4	2285.23165586	
0	mixed	28	search	1311761.95468	1319772.2674	8010.31272017	2	6010.97258454	True	1317970.50624	197.578967895	horizontal_39		False	Z	994.756100727	
0	mixed	29	search	1326209.76955	1334220.07412	8010.30456997	4	6011.11536397	True	1332834.042	613.157079717	clone_24	light	False	Z	1203.01092549	
0	mixed	30	search	1340737.56204	1348747.83974	8010.27770449	novel	6011.04080473	False	0	0	color_38	bottleright	False	Z	1091.09871342	
0	mixed	31	memory	1355345.39372	1363355.64667	8010.25295203	2	6011.02118388	False	0	0	horizontal_23		False	correct	4986.85221755	
0	mixed	32	memory	1373844.99526	1381855.28112	8010.28585469	None	None	False	0	0	horizontal_16		False	correct	1087.01153887	
0	mixed	33	rating	1388239.51326	1396249.80092	8010.28766585	4	6011.06012373	True	1394620.48169	369.908313265	color_63	clock	False	2	2831.0683826	
0	mixed	34	rating	1404273.41175	1412283.64629	8010.23453862	4	6011.06585905	True	1410568.29808	283.820463765	clone_71	cupsshelf	False	5	698.375574514	
0	mixed	35	memory	1418374.37643	1426384.9895	8010.61307014	novel	6011.40484701	False	0	0	clone_74	chairhole	False	incorrect	11943.1538619	
