blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	370725.266406	378735.593615	8010.32720941	4	6011.51864796	True	377476.299519	739.514465398	color_47	potonshelf	False	correct	9302.41016517	
0	blocked	1	memory	394302.993055	402313.227292	8010.23423676	novel	6011.05891629	True	400678.838639	364.786666997	takeaway_71	stickerdesk	False	incorrect	8015.09507661	
0	blocked	2	memory	417120.938106	425131.210377	8010.27227103	2	6011.07008508	True	423466.397931	334.389740166	horizontal_68		False	correct	5148.85707024	
0	blocked	3	memory	436060.456375	444070.719288	8010.26291339	4	6010.96111388	True	442294.358371	222.940882069	takeaway_75	soap	False	incorrect	8057.10211477	
0	blocked	4	memory	458078.775309	466089.018903	8010.2435944	None	None	False	0	0	color_80	backchair	False	incorrect	5342.59125659	
0	blocked	5	memory	477378.123715	485388.34135	8010.2176345	2	6011.00035559	True	483404.437694	15.3136227279	horizontal_53		False	correct	3378.96077097	
0	blocked	6	memory	494384.914341	502395.196876	8010.28253424	4	6011.11657141	True	500401.18516	5.15424706932	takeaway_3	wallpaint	False	correct	5804.02028253	
0	blocked	7	memory	513391.050839	521401.263341	8010.21250289	4	6011.01575041	True	519690.989682	288.923092898	color_7	greenonleft	False	incorrect	8389.65172081	
0	blocked	8	memory	538794.743242	546805.015814	8010.27257289	novel	6011.04895493	True	545008.635288	202.843091739	takeaway_47	appleicon	False	incorrect	9657.74712766	
0	blocked	9	memory	562052.616184	570062.779786	8010.16360169	4	6010.96352876	True	568453.722861	390.143147704	clone_67	lightleft	False	correct	2855.62584181	
0	blocked	10	memory	579045.993392	587056.432591	8010.4391992	None	None	False	0	0	takeaway_68	spotonshelf	False	correct	7974.1001726	
0	blocked	11	memory	600464.565344	608474.888327	8010.32298338	2	6011.08246131	True	606480.843709	5.19590364886	clone_16	topbookself	False	incorrect	5746.96525781	
0	blocked	12	memory	620496.989256	628507.248849	8010.25959294	None	None	False	0	0	takeaway_6	lightsonright	False	correct	8138.5893271	
0	blocked	13	memory	642235.319829	650245.685374	8010.36554554	None	None	False	0	0	clone_64	xtraglass	False	correct	8186.48050804	
0	blocked	14	memory	664040.396921	672050.733186	8010.33626519	None	None	False	0	0	clone_90	pillowsplotch	False	incorrect	6982.43420524	
0	blocked	15	memory	688217.884136	696228.172707	8010.28857143	novel	6011.03174895	True	694497.539847	268.623962434	horizontal_6		False	incorrect	2401.75507018	
0	blocked	16	memory	706690.774154	714701.076008	8010.30185323	None	None	False	0	0	color_5	applesgreen	False	correct	4744.84016853	
0	blocked	17	memory	726683.227673	734693.495416	8010.26774314	4	6011.07370739	True	733033.821822	339.520442212	clone_46	xtrawine	False	incorrect	6677.32692748	
0	blocked	18	memory	747901.783747	755912.103108	8010.31936107	4	6011.04563448	True	754120.568329	207.738947272	horizontal_52		False	incorrect	2786.71499232	
0	blocked	19	memory	766468.04729	774478.383556	8010.33626519	2	6011.14464432	True	772691.928464	212.736529379	clone_97	xtralight	False	incorrect	8724.16341212	
0	blocked	20	memory	790885.458896	798895.772219	8010.31332389	novel	6011.04865307	True	797134.629839	238.122290436	takeaway_79	cabnetcrack	False	correct	7759.81269028	
0	blocked	21	memory	813943.415876	821953.670941	8010.25506505	2	6011.01031695	True	820238.160325	283.734132013	color_77	booksleft	False	correct	9024.31084019	
0	blocked	22	memory	838334.109917	846344.419014	8010.30909786	novel	6011.06344418	True	844537.602308	192.428946855	clone_34	xtrafruit	False	correct	9641.30002336	
0	blocked	23	memory	866363.414717	874373.747963	8010.3332466	2	6011.07793342	True	872551.861838	177.369187775	color_87	picframe	False	incorrect	8406.31133403	
0	blocked	24	memory	889847.858701	897858.162365	8010.30366439	2	6011.02601363	True	896041.280161	182.395446513	clone_83	pumpkin	False	incorrect	6865.65722914	
0	blocked	25	memory	911946.13593	919956.429029	8010.29309932	4	6011.03295639	True	918154.825734	197.656847587	takeaway_39	light	False	correct	8593.85257555	
0	blocked	26	memory	936856.681444	944866.965185	8010.28374168	novel	6011.05408654	True	943065.297594	197.562063776	horizontal_22		False	correct	2189.80669536	
0	blocked	27	memory	954556.591067	962566.661696	8010.07062903	novel	6011.12532533	True	960780.526575	212.810183041	takeaway_16	pillow	False	incorrect	9369.53068732	
0	blocked	28	memory	979253.901984	987264.209572	8010.30758856	2	6011.04804936	True	985492.941021	227.990987689	clone_41	knobsleftcab	False	correct	9997.25821223	
0	blocked	29	memory	1004577.73027	1012588.06895	8010.33868007	4	6011.09151709	True	1011120.91034	532.088546191	takeaway_64	plant	False	correct	1.61766383878	
0	blocked	30	memory	1022984.02531	1030994.27826	8010.25295203	2	6010.99643142	True	1029228.06313	233.041395169	takeaway_78	floweronwallright	False	correct	7546.7211744	
0	blocked	31	memory	1045695.48074	1053705.64676	8010.16601656	2	6011.08095202	True	1051929.52582	222.964125233	takeaway_44	lightorangeright	False	correct	8701.79986609	
0	blocked	32	memory	1070086.15667	1078096.36525	8010.20857872	novel	6011.01967458	True	1076320.20658	223.030232414	clone_15	xtracupx2	False	correct	9364.07850514	
0	blocked	33	memory	1094756.73161	1102767.07542	8010.34381167	novel	6011.30130928	True	1101204.25398	436.221059997	horizontal_79		False	correct	2461.27115354	
0	blocked	34	memory	1115242.31602	1123252.52611	8010.21008802	novel	6024.36758973	True	1121535.30093	268.61732153	takeaway_19	headboard	False	incorrect	6218.11837834	
