blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	60436.1060516	68446.353872	8010.24782043	2	6011.41843068	True	66640.0056508	192.481168509	takeaway_46	outletbydoor	False	6	11365.7689171	
0	blocked	1	rating	86479.564731	94489.7917231	8010.22699214	4	6011.04593634	True	92723.6907005	233.080033156	takeaway_89	vent	False	3	2407.86077767	
0	blocked	2	rating	103406.423928	111416.719442	8010.29551419	novel	6024.38570129	True	109780.429679	349.620049734	horizontal_48		False	5	2021.48181509	
0	blocked	3	rating	119520.191669	127530.853942	8010.66227321	4	6051.91768177	True	125754.550378	182.441027263	color_45	flowers	False	2	1483.61839917	
0	blocked	4	rating	135687.546373	143698.227965	8010.6815922	2	6051.72630299	True	141926.736944	187.464267409	color_76	exit	False	5	1008.37478364	
0	blocked	5	rating	152241.900965	160251.590647	8009.68968263	None	None	False	0	0	horizontal_15		False	1	1213.19505361	
0	blocked	6	rating	167981.845882	175992.996865	8011.15098337	4	6051.16061871	True	174342.186161	309.179661205	horizontal_10		False	4	1248.29736278	
0	blocked	7	rating	184855.428426	192866.141713	8010.71328742	2	6051.77701535	True	191104.715585	197.510143981	color_90	bookleft	False	3	1191.24716781	
0	blocked	8	rating	202302.865067	210312.568333	8009.7032663	2	6037.56004736	False	0	0	color_52	orange	False	2	1620.04611202	
0	blocked	9	rating	218712.191975	226721.659489	8009.46751421	4	6048.51693521	True	225018.966422	258.257511315	takeaway_37	outletbyflower	False	5	2371.44839927	
0	blocked	10	rating	236076.322702	244087.028745	8010.7060428	4	6050.75371242	True	242476.581758	349.505343211	color_10	lighttent	False	6	812.15901222	
0	blocked	11	rating	253323.565369	261334.265978	8010.70060933	2	6037.77527302	True	259366.48372	5.14307827633	horizontal_54		False	5	1274.80513475	
0	blocked	12	rating	270104.921151	278113.682919	8008.76176723	2	6035.8654094	True	276267.539986	126.753425046	takeaway_32	ceilingfan	False	2	492.752962598	
0	blocked	13	rating	285537.200231	293548.881581	8011.68135011	None	None	False	0	0	clone_79	midcouch	False	5	1107.7637601	
0	blocked	14	rating	301664.57126	309675.251947	8010.68068662	4	6051.68675943	True	307822.635038	106.377018608	horizontal_81		False	2	802.076006957	
0	blocked	15	rating	317045.140639	325055.513731	8010.37309202	novel	6041.6390717	True	323299.584461	212.804749575	takeaway_18	hanginglightright	False	6	879.26474326	
0	blocked	16	rating	332639.26519	340650.910317	8011.645127	novel	6051.6891743	True	338888.566235	197.611870555	takeaway_95	drawerknob	False	2	809.143739952	
0	blocked	17	rating	348940.621263	356950.334188	8009.7129258	4	6050.75220312	True	355239.579667	248.206201276	color_28	vase	False	6	603.67688742	
0	blocked	18	rating	364840.905976	372850.635202	8009.7292262	None	None	False	0	0	color_24	potsleft	False	6	4307.41378446	
0	blocked	19	rating	382700.280005	390711.896153	8011.61614851	2	6051.64419727	True	388757.059432	5.13522993529	horizontal_57		False	1	1266.51155125	
0	blocked	20	rating	398827.50433	406838.22607	8010.72173948	novel	6050.88743607	True	405070.938438	192.546671971	color_33	chairmiddle	False	5	5057.41212424	
0	blocked	21	rating	419059.743987	427070.294271	8010.55028342	2	6051.59046632	True	425298.805362	187.470908313	takeaway_62	midwindow	False	3	665.150528163	
0	blocked	22	rating	435440.777324	443451.517477	8010.7401529	novel	6052.01156	True	441913.115544	420.32666003	color_26	flowerleftchair	False	7	730.937436044	
0	blocked	23	rating	450074.617197	458084.977611	8010.36041393	2	6051.37312764	True	456379.298853	253.308528551	clone_33	pillow	False	3	893.14664746	
0	blocked	24	rating	466108.513277	474121.297621	8012.78434389	None	None	False	0	0	takeaway_38	reflectionlight	False	2	558.273026882	
0	blocked	25	rating	480543.031549	488554.787458	8011.75590935	novel	6037.89812974	True	486965.940615	385.010936361	horizontal_77		False	5	2196.26799308	
0	blocked	26	rating	497057.384655	505067.134408	8009.74975263	4	6040.78179137	True	503478.004722	379.838275876	clone_84	flushlever	False	3	528.171922137	
0	blocked	27	rating	512864.060394	520876.330369	8012.26997569	4	6053.30110281	True	519398.498009	481.136512233	takeaway_21	bear	False	2	816.626529445	
0	blocked	28	rating	529138.002815	537148.710668	8010.70785396	None	None	False	0	0	takeaway_60	lampsonwall	False	4	1784.20110831	
0	blocked	29	rating	544532.021533	552542.930124	8010.90859037	novel	6051.14582761	True	550993.390188	410.222826477	horizontal_68		False	2	1965.89654317	
0	blocked	30	rating	563631.424697	571643.71037	8012.28567237	None	None	False	0	0	horizontal_70		False	5	616.149108821	
0	blocked	31	rating	580025.870245	588035.593132	8009.72288715	2	6037.81964633	True	586230.855028	167.165136944	clone_75	plates	False	3	830.737544834	
0	blocked	32	rating	597459.134895	605468.865329	8009.73043363	4	6050.73077111	True	603793.569613	283.703946086	horizontal_11		False	6	830.718527699	
0	blocked	33	rating	612812.662212	620823.252642	8010.5904307	2	6051.61340762	True	619107.459486	243.183866709	clone_49	vase	False	5	1031.70035517	
0	blocked	34	rating	629713.783075	637723.526791	8009.74371544	4	6050.73801573	True	635967.337317	202.816226264	horizontal_23		False	1	383.64743803	
0	blocked	35	rating	649705.868024	657716.574368	8010.70634466	novel	6052.68983779	True	655996.558804	238.000943008	color_25	hangingcandle	False	2	1375.33544112	
0	blocked	36	rating	666832.108288	674844.862748	8012.75445982	None	None	False	0	0	clone_59	statue	False	5	868.269821136	
