blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	rating	69708.172066	77718.437936	8010.26587	None	None	False	0	0	clone_93	leftcrack	False	7	2548.09434373	
0	mixed	1	rating	93125.7381169	101135.967764	8010.22964711	2	6011.01870248	True	99602.7263161	465.969496701	clone_17	dot	False	7	1962.09153405	
0	mixed	2	memory	109452.780439	117462.99288	8010.21244124	None	None	False	0	0	takeaway_49	chairlegs	False	correct	5872.01123393	
0	mixed	3	search	130911.128639	138921.396622	8010.26798301	None	None	False	0	0	takeaway_95	drawerknob	False	N	6389.31249551	
0	mixed	4	memory	153529.111736	161539.364928	8010.25319199	2	6011.07967769	True	159823.954321	283.76290667	clone_11	vaseleft	False	correct	6208.25598236	
0	mixed	5	rating	174054.493722	182064.42453	8009.93080824	novel	6011.02715449	True	180587.281478	521.760601686	horizontal_63		False	7	1912.2258908	
0	mixed	6	memory	245173.638668	253184.790792	8011.15212348	4	6011.01266533	True	251579.880839	395.229505238	clone_59	statue	False	incorrect	3204.74749322	
0	mixed	7	search	262886.82519	270898.914581	8012.08939086	4	6038.27552461	True	269188.598422	263.497706789	clone_81	barsabovecouchleft	False	N	5716.29022024	
0	mixed	8	memory	285424.768672	293435.72489	8010.95621799	novel	6051.07065819	False	0	0	color_31	mid.light	False	incorrect	8944.91614702	
0	mixed	9	memory	308962.337246	316972.825585	8010.48833894	2	6051.52193508	True	315019.028188	5.16900696751	clone_34	xtrafruit	False	correct	10494.9173243	
0	mixed	10	rating	335938.584083	343949.315417	8010.73133419	4	6037.87043192	True	343242.540348	1266.08583256	takeaway_10	leftoflight	False	7	3799.57631288	
0	mixed	11	memory	355397.947732	363408.571906	8010.6241748	None	None	False	0	0	horizontal_5		False	correct	7946.52293422	
0	mixed	12	search	378964.77233	386972.215833	8007.44350285	novel	6050.67945093	False	0	0	clone_10	vase	False	N	5363.5942408	
0	mixed	13	memory	404538.701445	412549.111	8010.40955415	novel	6051.42292583	False	0	0	horizontal_40		False	incorrect	8320.34561471	
0	mixed	14	search	427972.462149	435980.939815	8008.47766647	novel	6051.69761611	False	0	0	horizontal_75		False	N	2229.73434733	
0	mixed	15	search	445550.653189	453561.03135	8010.37816098	novel	6036.52354398	False	0	0	takeaway_29	dresserknob	False	N	2523.62396772	
0	mixed	16	search	465062.622441	473072.291539	8009.66909783	2	6050.72442769	True	471336.217279	222.870410786	clone_32	shelf	False	N	2126.07197127	
0	mixed	17	rating	482575.23978	490586.49846	8011.25867916	4	6050.96651737	True	488925.138447	298.932149086	horizontal_22		False	5	3568.21133161	
0	mixed	18	memory	501249.553402	509261.573969	8012.02056736	novel	6050.09716791	False	0	0	clone_15	xtracupx2	False	correct	13752.833385	
0	mixed	19	memory	530930.475287	538941.13991	8010.6646237	2	6050.72986113	True	538105.366361	1124.16121361	horizontal_67		False	correct	8891.6075177	
0	mixed	20	memory	554187.522602	562197.954795	8010.43219346	novel	6051.51227564	True	560487.375114	248.340236813	clone_29	topshelf	False	correct	9025.50876564	
0	mixed	21	search	579684.334081	587694.700772	8010.36669039	4	6051.42805741	False	0	0	clone_99	light	False	N	2261.71825712	
0	mixed	22	search	597024.301034	605034.866347	8010.56531259	None	None	False	0	0	color_39	painting	False	N	3452.89514499	
0	mixed	23	search	618229.424943	626239.891247	8010.46630335	novel	6051.51529421	False	0	0	takeaway_70	sceneryabovecouch	False	N	1458.55255731	
