blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	search	9585.97266629	17596.3405328	8010.36786653	None	None	False	0	0	clone_68	platestopshelf	False	Z	3097.05442353	
0	blocked	1	search	142121.217738	150131.426224	8010.20848627	4	6011.00387825	True	148395.686832	263.465216467	color_75	lampchord	False	N	1572.62758872	
0	blocked	2	search	160127.567592	168137.81713	8010.24953876	None	None	False	0	0	takeaway_24	smokedetector	False	N	1179.31968781	
0	blocked	3	search	176014.674152	184024.907692	8010.23354037	novel	6010.99059657	True	182466.481246	440.816497788	horizontal_37		False	Z	1017.08960792	
0	blocked	4	search	190435.732026	198445.956511	8010.22448467	novel	6010.98486129	False	0	0	horizontal_21		False	N	5907.69317611	
0	blocked	5	search	212560.506238	220570.632619	8010.1263813	4	6010.90607673	True	218753.950397	182.538082221	color_73	fruitleft	False	N	1198.57813496	
0	blocked	6	search	234498.59033	242508.795496	8010.20516585	2	6010.93928095	True	241679.92491	1170.39529925	takeaway_99	blockoncushion	False	Z	2620.04532678	
0	blocked	7	search	259995.306131	268005.530917	8010.22478653	novel	6010.98214458	False	0	0	color_23	bluebooks	False	Z	1162.78428849	
0	blocked	8	search	277601.750104	285612.00085	8010.25074619	novel	6011.04613817	False	0	0	clone_41	knobsleftcab	False	N	2339.89378272	
0	blocked	9	search	295354.878545	303365.181211	8010.30266551	None	None	False	0	0	fillers_1-8_12	filler	True	N	794.5135763	
0	blocked	10	search	311481.91004	319492.082907	8010.1728672	2	6010.98425758	True	318865.665388	1372.77109132	horizontal_27		False	N	611.155953577	
0	blocked	11	search	327409.05304	335419.317068	8010.26402788	2	6010.989691	False	0	0	takeaway_96	jarlid	False	Z	4691.56178158	
0	blocked	12	search	346468.280613	354478.530454	8010.24984062	4	6011.00508568	True	352732.76701	253.481311458	color_94	fruit	False	N	1288.05384638	
0	blocked	13	search	369379.408011	377389.555522	8010.14751125	novel	6010.94048838	False	0	0	clone_4	carpetsquare	False	N	1293.85160491	
0	blocked	14	search	386426.057524	394436.230391	8010.1728672	4	6011.03164905	False	0	0	horizontal_34		False	Z	1321.49170257	
0	blocked	15	search	404099.189757	412109.373491	8010.18373404	2	6010.95829792	True	410115.330026	5.18197119568	clone_97	xtralight	False	Z	935.991019164	
0	blocked	16	search	419266.566792	427276.799427	8010.2326348	2	6011.0105191	True	425510.642254	233.064942623	clone_63	xtrafruit	False	N	1544.21836061	
0	blocked	17	search	436259.96036	444270.169148	8010.20878813	None	None	False	0	0	color_96	fruit	False	Z	4046.46055097	
0	blocked	18	search	455292.509853	463302.784445	8010.27459286	None	None	False	0	0	takeaway_14	sharkteeth	False	N	1981.48593107	
0	blocked	19	search	471512.855164	479523.069688	8010.2145234	2	6010.97640931	True	478116.497305	592.665731314	clone_65	xtraheartnightstand	False	Z	1174.23702741	
0	blocked	20	search	486440.310586	494450.626533	8010.3159472	2	6011.15088239	True	492522.626864	71.1653956494	clone_93	leftcrack	False	N	4046.34705291	
0	blocked	21	search	507338.908523	515349.169834	8010.26131117	novel	6011.01444323	False	0	0	fillers_1-8_11	filler	True	Z	1086.0357543	
0	blocked	22	search	522253.131762	530263.333003	8010.20124172	novel	6011.07330526	False	0	0	takeaway_11	lightleft	False	Z	779.600052161	
0	blocked	23	search	537047.338652	545057.550458	8010.2118067	novel	6010.94350695	True	543342.19242	283.910261673	color_67	lightleft	False	N	1118.37545641	
0	blocked	24	search	553440.967728	561451.184666	8010.21693826	novel	6024.35589852	True	559693.934978	228.611351255	takeaway_12	light	False	Z	863.02444555	
0	blocked	25	search	568168.568463	576178.777553	8010.20908999	2	6010.98908728	True	574594.992442	415.434890752	color_35	v	False	N	862.948981415	
0	blocked	26	search	582629.241084	590639.818137	8010.57705311	novel	6011.34648542	True	588833.380926	192.793356258	takeaway_56	chairstar	False	N	713.853283233	
0	blocked	27	search	597317.200812	605327.421976	8010.22116425	4	6010.99270956	False	0	0	takeaway_52	lightbase	False	N	929.937889999	
0	blocked	28	search	612591.251533	620601.482357	8010.23082366	4	6011.04010104	True	618769.656294	167.364659602	takeaway_1	.thermostat	False	N	583.554191701	
0	blocked	29	search	626692.428412	634702.633276	8010.204864	4	6010.99361513	True	634005.121902	1301.69987491	horizontal_5		False	Z	1895.45198791	
0	blocked	30	search	643126.002466	651136.201292	8010.19882686	4	6011.05519386	True	650884.852899	1747.79523984	takeaway_60	lampsonwall	False	Z	920.162266001	
0	blocked	31	search	659679.48752	667689.683026	8010.19550644	2	6010.98395572	True	665898.321436	207.849960396	clone_75	plates	False	N	947.719051253	
0	blocked	32	search	700330.371115	708340.625483	8010.25436847	2	6011.07843682	True	707349.724345	1008.27479329	color_41	towelleft	False	N	1154.64502879	
0	blocked	33	search	714951.42917	722961.552231	8010.12306087	4	6010.92267884	False	0	0	fillers_1-8_7	filler	True	Z	1242.73491683	
0	blocked	34	search	733117.628663	741127.90386	8010.27519657	None	None	False	0	0	horizontal_47		False	N	1734.80152329	
0	blocked	35	search	749577.844877	757588.147845	8010.30296737	None	None	False	0	0	fillers_1-8_3	filler	True	Z	3274.09811303	
0	blocked	36	search	767477.524064	775487.782357	8010.2582926	2	6010.99633184	True	773731.840914	243.320518517	fillers_1-8_10	filler	True	N	1550.1018464	
0	blocked	37	search	783977.757097	791988.013277	8010.25617961	novel	6011.04342146	True	790505.575592	516.775073412	color_97	vase	False	N	2217.47103385	
0	blocked	38	search	801864.061926	809874.392665	8010.33073817	4	6012.09418407	True	809442.400641	1566.24453036	color_2	bookbinding	False	N	1152.1710126	
0	blocked	39	search	816165.283359	824175.475243	8010.19188416	None	None	False	0	0	takeaway_54	phonebutton	False	Z	4250.47753704	
0	blocked	40	memory	836610.615329	844620.819589	8010.20426028	novel	6010.96131648	True	843128.124215	506.547570176	clone_36	light	False	correct	3551.56434132	
