blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	40669.08494	48679.3752294	8010.2902894	2	6011.06213656	True	46887.9873776	207.840300987	horizontal_29		False	6	4475.92422435	
0	blocked	1	rating	102085.200517	110095.38727	8010.1867526	2	6010.95618492	True	108263.416618	167.259915384	takeaway_31	glass.left	False	4	5047.93089417	
0	blocked	2	rating	129634.398001	137644.694026	8010.29602467	None	None	False	0	0	clone_16	topbookself	False	7	900.725421633	
0	blocked	3	rating	146374.605172	154384.829053	8010.22388096	2	6010.99572813	True	152730.131501	344.530601008	color_32	bookabovetv	False	4	3357.9345406	
0	blocked	4	rating	164194.318034	172204.496636	8010.17860248	novel	6011.0153488	False	0	0	color_43	purpleright	False	2	3316.14582327	
0	blocked	5	rating	187078.74773	195088.626589	8009.87885893	4	6010.92116956	False	0	0	clone_57	xtrabushes	False	2	732.693055368	
0	blocked	6	rating	205938.097374	213948.199607	8010.10223277	4	6010.95859977	True	213023.421653	1074.36567867	color_44	wholepic	False	6	1736.72766986	
0	blocked	7	rating	226236.789249	234247.020978	8010.23172923	4	6010.98214458	False	0	0	color_9	chairs	False	6	2080.43812665	
0	blocked	8	rating	408165.93235	416176.182191	8010.24984062	None	None	False	0	0	takeaway_15	cat	False	5	1256.8765938	
0	blocked	9	rating	424319.699882	432329.933121	8010.23323851	2	6011.08326652	True	430508.233439	177.450290265	horizontal_56		False	2	937.445665823	
0	blocked	10	rating	444178.656811	452188.825754	8010.16894307	2	6010.93777167	False	0	0	color_18	magcolor	False	2	766.079595947	
0	blocked	11	rating	458653.006551	466663.243714	8010.23716265	None	None	False	0	0	horizontal_81		False	1	1024.85848965	
0	blocked	12	rating	473220.671015	481230.858673	8010.18765817	None	None	False	0	0	takeaway_43	reflectionlightlefttele	False	7	848.870996175	
0	blocked	13	rating	488001.568447	496011.80893	8010.24048307	novel	6011.09956678	True	494838.642587	825.97457402	horizontal_77		False	4	1494.22125843	
0	blocked	14	rating	503222.383447	511232.516167	8010.13272028	novel	6010.90637859	False	0	0	takeaway_35	birdhouse	False	5	1750.60793907	
0	blocked	15	rating	522788.012492	530798.231845	8010.21935311	4	6010.98516315	True	529411.744091	612.746435678	color_68	vase	False	5	1459.03716216	
0	blocked	16	rating	539701.441244	547711.653353	8010.21210855	2	6011.01897108	True	545915.16322	202.703004559	color_29	cupright	False	6	1361.39200539	
0	blocked	17	rating	562159.357915	570169.558855	8010.20093986	4	6010.99542627	False	0	0	color_86	buildingoutside	False	5	4822.83979387	
0	blocked	18	rating	581245.291944	589255.486544	8010.19460087	None	None	False	0	0	horizontal_44		False	7	1093.94771603	
0	blocked	19	rating	598811.768903	606822.051646	8010.28274298	4	6011.00327454	False	0	0	takeaway_58	drawerhandle	False	6	2119.13583303	
0	blocked	20	rating	616111.711973	624121.90597	8010.19399716	novel	6010.92750855	True	622593.935944	471.296461758	clone_74	chairhole	False	2	1042.8446115	
0	blocked	21	rating	632265.454149	640275.620376	8010.16622636	2	6010.98033344	True	638479.154391	202.719908525	horizontal_18		False	4	936.838028611	
0	blocked	22	rating	655283.142339	663293.358371	8010.21603269	novel	6010.9993504	True	662074.260029	780.118339837	horizontal_39		False	7	1009.23409337	
0	blocked	23	rating	670450.503376	678460.759556	8010.25617961	novel	6011.01021724	True	678173.023262	1711.50966907	takeaway_49	chairlegs	False	6	1841.40215984	
0	blocked	24	rating	694867.68662	702877.948837	8010.26221674	None	None	False	0	0	color_89	garlic	False	7	719.928749783	
0	blocked	25	rating	710408.37507	718418.565747	8010.19067674	novel	6010.99421884	False	0	0	clone_27	bottomshelf	False	7	1520.29834293	
0	blocked	26	rating	727481.687571	735491.957033	8010.26946129	None	None	False	0	0	horizontal_42		False	1	1089.2396596	
0	blocked	27	rating	742302.534206	750312.774388	8010.24018121	2	6011.0730034	False	0	0	clone_49	vase	False	2	1556.01280113	
0	blocked	28	rating	763334.396975	771344.677001	8010.28002627	None	None	False	0	0	clone_54	jarleft	False	7	1067.78399871	
0	blocked	29	rating	782073.800603	790083.992487	8010.19188416	2	6010.91181201	False	0	0	clone_60	xtralight	False	4	711.995054383	
0	blocked	30	rating	796934.686697	804944.912691	8010.22599395	2	6010.985465	True	803199.06503	253.392867492	color_61	apple	False	4	1146.78377895	
0	blocked	31	rating	812941.738368	820951.941119	8010.202751	4	6010.98395572	False	0	0	clone_99	light	False	1	1515.32586017	
0	blocked	32	rating	916501.45525	924511.680641	8010.22539024	novel	6010.97067403	True	923732.998232	1220.57230792	horizontal_32		False	6	1183.00173386	
