blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	499986.731212	507997.021865	8010.29065338	2	6024.45837554	True	506239.131288	227.941700284	color_9	chairs	False	5	5250.80747112	
0	blocked	1	rating	545915.771254	553926.038664	8010.26741028	None	None	False	0	0	clone_5	spanishbook	False	4	998.611149682	
0	blocked	2	rating	561829.709926	569839.950773	8010.24084675	novel	6010.95323248	True	568078.974599	238.311440553	takeaway_36	backwindowbuildings	False	7	1844.48498738	
0	blocked	3	rating	578556.551655	586566.815141	8010.26348613	2	6011.06129777	False	0	0	clone_36	light	False	6	2359.83780547	
0	blocked	4	rating	595256.806302	603267.053186	8010.24688392	4	6024.36600688	True	601493.90548	212.733170491	color_83	artbehindtable	False	7	1371.37120972	
0	blocked	5	rating	610411.030569	618421.327863	8010.29729426	2	6024.29839061	True	616440.50251	5.17355044594	color_38	bottleright	False	7	1681.00121589	
0	blocked	6	rating	820183.733336	828193.98505	8010.25171365	4	6011.0314138	True	826463.128907	268.364157097	takeaway_20	drawerknob	False	5	1971.92656873	
0	blocked	7	rating	838443.391294	846453.627915	8010.23662073	2	6011.01933946	True	844535.463226	81.0525921786	takeaway_40	handleshadow	False	7	1511.95238365	
0	blocked	8	rating	860275.008361	868285.248605	8010.24024303	2	6011.02960265	True	866589.816446	303.778481846	horizontal_21		False	4	1365.3919993	
0	blocked	9	rating	877721.727644	885731.865557	8010.13791305	None	None	False	0	0	horizontal_72		False	5	1003.86831489	
0	blocked	10	rating	893342.267234	901352.542794	8010.27556046	4	6011.03654539	True	899591.290722	237.986942815	horizontal_79		False	7	1273.71338911	
0	blocked	11	rating	909469.443482	917479.676178	8010.23269657	novel	6024.34910282	True	916055.74358	561.950995106	color_39	painting	False	7	1055.65634271	
0	blocked	12	rating	925689.807934	933700.164392	8010.3564585	2	6011.07578697	True	932288.209231	587.325510775	color_26	flowerleftchair	False	7	1605.59548806	
0	blocked	13	rating	942070.279267	950080.449177	8010.16991003	2	6024.31529468	True	948383.283144	288.688582389	color_64	flowers	False	5	1131.61990478	
0	blocked	14	rating	957917.476452	965927.746881	8010.27042887	4	6011.09208733	True	964156.558839	227.99029948	takeaway_92	bottlelidwindow	False	7	1030.87678987	
0	blocked	15	rating	973231.626787	981241.900838	8010.27405117	novel	6010.96651425	True	979551.590612	308.997311046	takeaway_15	cat	False	5	2393.75581832	
0	blocked	16	rating	991864.130835	999874.700406	8010.5695705	4	6024.63888684	True	998141.973647	253.203924642	takeaway_95	drawerknob	False	6	1288.61704196	
0	blocked	17	rating	1007351.8446	1015362.11231	8010.26771214	novel	6011.00243539	True	1013823.75456	460.907531125	clone_46	xtrawine	False	7	1529.01975723	
0	blocked	18	rating	1027584.09774	1035594.30146	8010.20371817	4	6024.27635495	True	1033811.00346	202.629367438	takeaway_99	blockoncushion	False	7	1429.92810941	
0	blocked	19	rating	1043084.77541	1051094.99513	8010.21971666	novel	6024.38411839	False	0	0	color_42	cups	False	6	1550.30741255	
0	blocked	20	rating	1057865.7168	1065876.1288	8010.41200044	None	None	False	0	0	takeaway_60	lampsonwall	False	5	1046.37751856	
0	blocked	21	rating	1072820.02691	1080830.32119	8010.29427568	4	6024.3122761	True	1079694.67449	850.335304267	color_43	purpleright	False	5	1569.24570425	
0	blocked	22	rating	1088280.81189	1096291.05304	8010.24114861	None	None	False	0	0	takeaway_52	lightbase	False	6	673.679641344	
0	blocked	23	rating	1102488.62749	1110498.99119	8010.3637031	novel	6011.01149114	True	1109071.78705	572.148072393	clone_32	shelf	False	6	697.588030954	
0	blocked	24	rating	1117242.97304	1125253.30807	8010.33502656	None	None	False	0	0	clone_64	xtraglass	False	6	457.717190109	
0	blocked	25	rating	1131477.46959	1139487.7198	8010.25020436	novel	6024.39679644	True	1137765.17955	263.313161145	horizontal_23		False	3	1185.57919979	
0	blocked	26	rating	1146485.14887	1154495.36104	8010.2121702	2	6024.35453627	True	1152788.06917	278.565762259	takeaway_43	reflectionlightlefttele	False	7	1391.15862898	
0	blocked	27	rating	1161585.98526	1169596.26233	8010.27706975	novel	6010.98492761	True	1168108.59868	511.628489634	clone_30	lightonright	False	5	1140.50238891	
0	blocked	28	rating	1176406.8776	1184417.18365	8010.30604815	novel	6024.45082908	True	1182694.78346	263.455034575	clone_18	wine	False	5	538.275942009	
0	blocked	29	rating	1190254.93327	1198265.20672	8010.27344745	2	6011.1814374	True	1196585.21522	319.100510382	clone_27	bottomshelf	False	7	1316.70043456	
0	blocked	30	rating	1206568.34405	1214578.88948	8010.54542184	2	6024.73155736	True	1212805.89994	212.824331716	takeaway_84	outlet	False	7	637.359439654	
0	blocked	31	rating	1239875.88852	1247886.1508	8010.26227869	None	None	False	0	0	color_48	lightorbs	False	6	3342.91411647	
0	blocked	32	rating	1257402.52661	1265412.86466	8010.33804514	novel	6011.0009261	True	1263722.32231	308.794764086	color_41	towelleft	False	7	1322.77805079	
0	blocked	33	rating	1273289.72547	1281299.98925	8010.26378798	4	6010.64322394	True	1279538.24636	237.877670088	horizontal_15		False	7	731.366283387	
0	blocked	34	rating	1288523.88394	1296534.18154	8010.29759612	4	6024.36902547	False	0	0	horizontal_69		False	6	648.950800709	
0	blocked	35	rating	1303838.08076	1311848.29927	8010.21850923	novel	6024.22171859	True	1310358.46224	496.159757934	horizontal_28		False	3	931.970181224	
0	blocked	36	rating	1318592.33334	1326602.59351	8010.26016568	None	None	False	0	0	takeaway_19	headboard	False	7	1316.11030146	
0	blocked	37	rating	1333986.44958	1341996.61707	8010.16749517	2	6024.2926553	True	1340354.89216	344.149924596	clone_7	xtralight	False	5	2428.42938265	
0	blocked	38	rating	1350113.55851	1358123.85852	8010.30001099	4	6024.4369436	True	1357833.88825	1695.8927944	takeaway_35	birdhouse	False	4	826.323075381	
0	blocked	39	rating	1364601.01811	1372611.56866	8010.55055343	4	6024.69231577	True	1370919.43914	293.728711439	color_62	fruit	False	7	1333.40829483	
0	blocked	40	search	1385579.98643	1393590.18502	8010.19858658	2	6024.32404857	True	1391781.67128	177.360804054	clone_6	bottomrightobject	False	Z	2282.05916907	
0	blocked	41	search	1402933.29232	1410943.49242	8010.20009587	novel	6011.0277915	True	1409243.32531	299.005195586	horizontal_36		False	N	1152.50125875	
0	blocked	42	search	1417807.58612	1425817.86259	8010.27646604	2	6024.35634742	True	1424054.71092	222.768451696	clone_77	drawer	False	Z	1310.02151646	
0	blocked	43	search	1432881.84177	1440891.98874	8010.1469688	novel	6024.30925751	False	0	0	clone_20	chair	False	Z	1043.6245703	
0	blocked	44	search	1447609.15953	1455619.77468	8010.61515112	None	None	False	0	0	clone_72	spotceilling	False	Z	1161.08580867	
0	blocked	45	search	1462776.95897	1470787.22336	8010.2643917	novel	6024.44599935	False	0	0	takeaway_6	lightsonright	False	Z	996.002489728	
0	blocked	46	search	1477704.57032	1485714.85403	8010.28371064	4	6011.01692459	True	1484475.02213	759.434884926	takeaway_87	bottleshadow	False	N	700.161071621	
0	blocked	47	search	1495244.47267	1503254.72529	8010.25261923	novel	6024.43724546	False	0	0	color_89	garlic	False	N	1047.96287867	
0	blocked	48	search	1511918.0687	1519928.38229	8010.31359461	novel	6024.38532582	True	1519147.42128	1204.96726044	takeaway_58	drawerhandle	False	Z	1134.08970989	
0	blocked	49	search	1528005.27377	1536015.49711	8010.22333896	4	6024.35363069	False	0	0	horizontal_22		False	Z	1022.72148254	
0	blocked	50	search	1543425.99822	1551436.29581	8010.29759612	novel	6024.32435043	True	1549602.34327	152.020700239	color_11	lemon2orange	False	N	857.805996839	
0	blocked	51	search	1558313.62269	1566323.92209	8010.29940727	2	6024.34608423	True	1564444.45142	106.482649785	takeaway_50	light	False	Z	777.938500585	
0	blocked	52	search	1573627.42045	1581638.06337	8010.64292209	None	None	False	0	0	clone_28	wine	False	N	1023.59777736	
0	blocked	53	search	1593086.94185	1601097.16157	8010.21971666	4	6024.35423441	True	1601014.84328	1903.54719797	color_58	peppers	False	Z	1060.16037131	
0	blocked	54	search	1608054.56905	1616064.74258	8010.17353233	2	6024.32404857	True	1614084.11796	5.22486636741	clone_3	candle	False	Z	884.31429251	
0	blocked	55	search	1622902.17284	1630912.44206	8010.26922143	2	6011.03171565	True	1628918.41161	5.207056724	takeaway_90	exitsign	False	N	996.488783547	
0	blocked	56	search	1637603.14168	1645613.48697	8010.34528974	2	6024.45233838	True	1643820.09664	192.502623149	takeaway_69	whitespotonorange	False	Z	895.130179437	
0	blocked	57	search	1653983.52065	1661993.45963	8009.93898839	4	6024.4224544	True	1661121.77691	1113.83380645	takeaway_3	wallpaint	False	Z	1282.9303323	
0	blocked	58	search	1668764.57312	1676774.90392	8010.33080054	4	6024.39045741	False	0	0	horizontal_52		False	N	1181.30548911	
0	blocked	59	search	1684851.76038	1692861.92395	8010.16357101	novel	6024.33702848	True	1691681.14913	805.051720412	color_96	fruit	False	N	811.187595312	
0	blocked	60	search	1699232.86803	1707243.13453	8010.26650471	novel	6024.43875475	True	1706032.00725	774.700465948	horizontal_56		False	Z	1424.63562677	
0	blocked	61	search	1715493.33406	1723503.60026	8010.26620285	novel	6010.61394368	True	1722835.33143	1331.38342894	clone_29	topshelf	False	N	1971.94528395	
0	blocked	62	search	1731447.20256	1739457.38032	8010.17775835	4	6024.359366	True	1737932.55639	460.994466332	takeaway_53	drawerhandlebottom	False	N	1057.87771839	
0	blocked	63	search	1746627.69967	1754638.28162	8010.5819467	4	6024.63405711	True	1753432.13047	779.796740654	takeaway_29	dresserknob	False	Z	788.799364407	
0	blocked	64	search	1761075.80901	1769086.05046	8010.24145047	novel	6024.35604556	True	1767566.04057	465.875516027	color_1	oranges	False	N	564.779407947	
0	blocked	65	search	1775177.14105	1783187.26146	8010.12040526	4	6025.23777383	True	1781658.14058	455.761751648	takeaway_81	lightabovetv	False	Z	1039.34542618	
0	blocked	66	search	1789971.36119	1797981.62769	8010.26650471	2	6011.05163831	True	1796210.57549	228.162660604	color_87	picframe	False	Z	1324.85393074	
0	blocked	67	search	1804779.02972	1812789.45802	8010.42830079	4	6011.10506724	True	1811159.84427	369.709479439	color_77	booksleft	False	N	490.369812715	
0	blocked	68	search	1818986.98357	1826997.15619	8010.17262676	2	6024.36600688	True	1826469.80903	1458.45945982	takeaway_66	spottopleft	False	Z	1244.85814468	
0	blocked	69	search	1833474.70004	1841484.99251	8010.29246453	novel	6024.35000839	True	1840405.30401	906.253961891	takeaway_37	outletbyflower	False	N	1700.90364319	
0	blocked	70	search	1848842.10695	1856852.32727	8010.22032038	4	6024.37355334	False	0	0	color_8	paintingright	False	N	853.221372055	
0	blocked	71	search	1863556.42095	1871566.73545	8010.31450019	4	6024.42215254	False	0	0	color_56	book	False	Z	1066.65394837	
0	blocked	72	search	1879177.12294	1887187.47879	8010.35585478	None	None	False	0	0	color_20	limes	False	N	885.803359804	
0	blocked	73	search	1893904.80746	1901915.07306	8010.26559913	None	None	False	0	0	color_27	pillowleft	False	Z	1909.90403319	
0	blocked	74	search	1909485.4954	1917495.79602	8010.3006147	4	6024.42849157	True	1917317.12666	1807.20276309	horizontal_60		False	N	2224.95088764	
0	blocked	75	search	1925346.08755	1933356.38636	8010.29880355	None	None	False	0	0	takeaway_76	reflectionlights	False	N	2513.47193864	
0	blocked	76	search	1941659.75522	1949670.08994	8010.3347247	4	6024.51784164	True	1948737.24437	1052.97131259	takeaway_18	hanginglightright	False	Z	1527.53280295	
0	blocked	77	search	1965290.67994	1973300.96667	8010.28672922	2	6024.51059704	False	0	0	color_40	whole+pic.in.mirror	False	Z	754.935082341	
0	blocked	78	search	1979725.17698	1987735.45224	8010.2752586	2	6024.35664928	True	1986954.27178	1204.73814995	clone_66	lightleft	False	Z	1784.25096263	
0	blocked	79	search	1995132.64019	2003142.83666	8010.19647357	novel	6024.31891698	True	2002123.48271	966.523605928	color_63	clock	False	Z	2880.62618706	
0	blocked	80	memory	2011499.72289	2019510.00902	8010.2861255	None	None	False	0	0	takeaway_78	floweronwallright	False	correct	3262.59775683	
0	blocked	81	memory	2028653.02981	2036663.35488	8010.32506523	4	6024.45535696	False	0	0	color_45	flowers	False	incorrect	9247.45805074	
