blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	search	198688.920738	206699.273002	8010.35226373	None	None	False	0	0	fillers_1-8_15	filler	True	N	20338.8125822	
0	blocked	1	search	260705.230799	268715.563441	8010.33264288	4	6011.09151709	False	0	0	takeaway_49	chairlegs	False	Z	2745.90663734	
0	blocked	2	search	278311.882811	286322.181344	8010.29853278	None	None	False	0	0	horizontal_19		False	Z	3123.08523117	
0	blocked	3	search	307687.267757	315697.595872	8010.32811499	novel	6011.11234538	True	314007.45683	309.076727193	clone_26	statue	False	N	1363.37607862	
0	blocked	4	search	342287.435832	350297.675201	8010.23936837	2	6024.37030647	False	0	0	clone_68	platestopshelf	False	Z	2138.8806213	
0	blocked	5	search	369636.986454	377647.261442	8010.27498776	None	None	False	0	0	clone_52	latle	False	N	3028.99720539	
0	blocked	6	search	424002.877624	432013.147481	8010.26985615	None	None	False	0	0	color_100	stereoright	False	Z	2171.87051928	
0	blocked	7	search	448939.95687	456950.290117	8010.3332466	novel	6011.09906357	False	0	0	color_21	checkers	False	N	1717.05492812	
0	blocked	8	search	489604.497341	497614.740935	8010.2435944	None	None	False	0	0	fillers_1-8_5	filler	True	N	1404.15786998	
0	blocked	9	search	517367.194297	525377.475623	8010.2813268	4	6011.04925679	True	523666.995794	288.75224055	color_73	fruitleft	False	N	1577.1220254	
0	blocked	10	search	540998.179185	549008.446626	8010.26744128	2	6024.36698601	False	0	0	color_57	shampoo	False	Z	969.878066966	
0	blocked	11	search	566295.169769	574305.395252	8010.22548284	2	6024.39113476	True	572415.960869	96.3999659502	takeaway_29	dresserknob	False	N	1942.00196692	
0	blocked	12	search	609358.686997	617369.019338	8010.33234102	4	6011.09121523	True	615689.198751	319.420538867	clone_65	xtraheartnightstand	False	N	1712.51828513	
0	blocked	13	search	630017.494858	638027.791579	8010.29672163	None	None	False	0	0	takeaway_67	lightreflection	False	Z	850.94038219	
0	blocked	14	search	646157.924621	654168.33937	8010.4147486	4	6011.05680327	False	0	0	color_67	lightleft	False	Z	560.870525917	
0	blocked	15	search	670428.690577	678439.050085	8010.35950836	4	6011.06012373	False	0	0	clone_1	knobonoven	False	Z	2449.79778447	
0	blocked	16	search	696032.263323	704042.53499	8010.27166731	novel	6011.05076609	False	0	0	clone_84	flushlever	False	N	637.970817453	
0	blocked	17	search	713132.410872	721142.637562	8010.22669028	2	6011.03295639	False	0	0	clone_79	midcouch	False	Z	582.982019451	
0	blocked	18	search	733737.809262	741748.150659	8010.3413968	novel	6011.13256995	False	0	0	fillers_1-8_4	filler	True	Z	497.33397891	
0	blocked	19	search	752503.968846	760514.315676	8010.34683027	None	None	False	0	0	clone_22	xtra.orb.by.stair.rail	False	N	1077.56847527	
0	blocked	20	search	768537.911713	776548.164364	8010.25265017	2	6011.03446569	False	0	0	takeaway_87	bottleshadow	False	Z	1907.50216886	
0	blocked	21	search	785278.188675	793288.457626	8010.26895057	2	6011.03597498	False	0	0	horizontal_55		False	N	5014.98852029	
0	blocked	22	search	816146.332319	824156.66134	8010.32902057	novel	6011.11536397	True	822486.801203	329.353520071	takeaway_45	midspeaker	False	N	658.458911821	
0	blocked	23	search	833099.937757	841110.113433	8010.17567606	4	6011.00427976	True	839116.131601	5.1895646042	fillers_1-8_1	filler	True	N	824.807821295	
0	blocked	24	search	849906.829626	857917.104312	8010.2746859	None	None	False	0	0	clone_59	statue	False	Z	1177.66893403	
0	blocked	25	search	872338.245992	880348.554185	8010.30819228	novel	6011.04563448	False	0	0	color_91	cup	False	N	2545.89528743	
0	blocked	26	search	893490.191989	901500.104745	8009.91275663	4	6011.01967458	True	899683.677443	182.465779724	fillers_1-8_11	filler	True	N	874.173584778	
0	blocked	27	search	925211.338015	933221.678507	8010.34049122	novel	6011.09242267	False	0	0	horizontal_67		False	N	680.198816591	
0	blocked	28	search	944537.352972	952547.621621	8010.26864871	novel	6011.04955865	False	0	0	horizontal_36		False	Z	1169.96518355	
0	blocked	29	search	963969.913686	971980.200748	8010.28706213	4	6011.04050287	False	0	0	horizontal_56		False	Z	993.475915554	
0	blocked	30	search	984508.755428	992518.740631	8009.98520286	4	6024.00596232	False	0	0	clone_90	pillowsplotch	False	N	1142.48753774	
0	blocked	31	search	1007459.98644	1015470.31637	8010.32992615	novel	6011.03476755	False	0	0	clone_100	klenexright	False	Z	1702.68974723	
0	blocked	32	search	1035302.66524	1043312.93992	8010.2746859	2	6024.42524485	True	1042942.00529	1614.91480626	takeaway_50	light	False	Z	635.708684069	
0	blocked	33	search	1077100.06544	1085110.36186	8010.29641977	4	6011.04140845	False	0	0	color_78	ovenclock	False	N	1861.66936629	
0	blocked	34	search	1181473.54324	1189483.82668	8010.28343982	2	6011.03688056	True	1187489.79142	5.21129847178	horizontal_70		False	N	636.524307821	
0	blocked	35	search	1222631.13884	1230641.44582	8010.30698484	4	6011.08789478	False	0	0	horizontal_49		False	Z	4009.00234907	
0	blocked	36	search	1263229.01006	1271239.2434	8010.23333118	2	6024.35249677	False	0	0	clone_36	light	False	N	1338.73379695	
0	blocked	37	search	1334335.1791	1342345.4562	8010.27710077	novel	6011.01605227	False	0	0	horizontal_38		False	Z	1087.72724721	
0	blocked	38	search	1355380.48667	1363390.76679	8010.28011937	2	6024.34162983	False	0	0	horizontal_35		False	Z	970.177209504	
0	blocked	39	search	1484277.8678	1485717.36735	1439.49955355	2	None	False	0	0	horizontal_50		False	Z	2786.19639809	
