blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	search	605587.41154	613597.764377	8010.3528362	2	6011.82137713	True	612075.402709	476.169791706	horizontal_5		False	N	3266.31001095	
0	blocked	1	search	623420.635098	631430.849381	8010.21428321	None	None	False	0	0	color_73	fruitleft	False	Z	1528.89871203	
0	blocked	2	search	641360.373	649370.594226	8010.22122596	2	6011.0045484	True	647695.69236	324.314811707	color_6	wholecolor	False	N	892.893408983	
0	blocked	3	search	656314.637836	664324.905549	8010.26771214	novel	6011.05435503	True	662624.59717	298.90497861	horizontal_63		False	N	642.478655595	
0	blocked	4	search	671029.031832	679039.285055	8010.25322294	2	6010.97979602	True	677860.732514	820.720886063	color_68	vase	False	Z	735.850691195	
0	blocked	5	search	686023.234944	694033.474885	8010.23994117	None	None	False	0	0	fillers_1-8_12	filler	True	N	2869.39071701	
0	blocked	6	search	703056.70198	711066.935582	8010.23360215	4	6011.0531476	True	709402.092844	334.337716719	color_78	ovenclock	False	N	635.678390443	
0	blocked	7	search	720116.870502	728127.086294	8010.21579251	None	None	False	0	0	fillers_1-8_15	filler	True	N	423.399818644	
0	blocked	8	search	734791.209402	742801.478623	8010.26922143	2	6011.04650671	True	740807.446665	5.19075637253	takeaway_14	sharkteeth	False	Z	804.698546129	
0	blocked	9	search	748625.877351	756636.112463	8010.23511144	4	6010.95987336	False	0	0	color_84	painting	False	N	1785.89397768	
0	blocked	10	search	765046.262209	773056.469549	8010.20734047	4	6011.02567849	True	771366.446692	309.158805269	horizontal_38		False	Z	1925.20402607	
0	blocked	11	search	780520.32201	788530.59093	8010.26891958	novel	6011.01783017	True	786799.98533	268.645489089	horizontal_80		False	Z	1058.9903683	
0	blocked	12	search	795381.287257	803391.553158	8010.26590099	4	6010.95866593	True	802426.416289	1034.17036644	fillers_1-8_6	filler	True	Z	301.803724449	
0	blocked	13	search	811095.222427	819105.461765	8010.23933746	None	None	False	0	0	color_62	fruit	False	N	1219.60739094	
0	blocked	14	search	825755.939365	833766.522821	8010.58345599	novel	6011.34172419	True	832025.675468	258.394379156	horizontal_42		False	N	1470.34634021	
0	blocked	15	search	845095.491685	853105.765434	8010.27374931	4	6010.95806221	True	851739.98766	633.537912806	color_79	bookright	False	N	698.795162539	
0	blocked	16	search	859290.09162	867300.34756	8010.25593967	2	6010.99911495	True	865686.219441	385.128706368	fillers_1-8_2	filler	True	Z	624.101518589	
0	blocked	17	search	874044.429928	882054.691603	8010.26167498	2	6010.96530681	False	0	0	clone_100	klenexright	False	Z	301.495527063	
0	blocked	18	search	887852.479706	895862.715421	8010.23571516	2	6011.02145247	True	894678.89032	815.389161836	color_51	dots	False	Z	269.113671407	
0	blocked	19	search	901567.152015	909577.450516	8010.2985017	2	6011.02598035	True	907892.280335	314.102339644	color_27	pillowleft	False	N	1666.33210698	
0	blocked	20	search	917134.512915	925144.847036	8010.33412098	2	6011.05073273	True	923373.656579	228.092931322	clone_43	butterflyright	False	N	954.722151453	
0	blocked	21	search	931502.420904	939512.630659	8010.20975534	novel	6010.99217221	True	938480.704308	967.291231739	clone_59	statue	False	N	202.684003801	
0	blocked	22	search	945483.653464	953493.939892	8010.28642736	None	None	False	0	0	color_36	lights	False	N	485.238824298	
0	blocked	23	search	959731.551323	967741.827487	8010.27616418	4	6011.07759813	True	966031.556575	288.92765421	color_8	paintingright	False	N	1725.14286956	
0	blocked	24	search	975178.934995	983189.181879	8010.24688392	4	6011.06793866	True	981843.521757	653.518823284	clone_14	corner	False	Z	981.530494335	
0	blocked	25	search	990039.870358	998050.146522	8010.27616418	4	6011.0277915	True	996375.328573	324.430423459	horizontal_52		False	Z	904.258979984	
0	blocked	26	search	1005647.24923	1013657.55105	8010.30182214	2	6010.99096478	True	1012802.75458	1144.51438838	color_28	vase	False	N	784.768347857	
0	blocked	27	search	1020254.93569	1028264.97882	8010.04312952	novel	6010.73015915	False	0	0	horizontal_53		False	N	625.171002762	
0	blocked	28	search	1035035.97759	1043046.23866	8010.26107126	novel	6011.02326362	True	1041356.18924	309.188387388	horizontal_66		False	N	227.651010682	
0	blocked	29	search	1048710.70468	1056720.9567	8010.25201551	novel	6011.02598035	True	1055314.55513	592.824464533	color_53	wine	False	Z	424.732825165	
0	blocked	30	search	1063078.57313	1071088.87374	8010.3006147	2	6010.96077894	True	1069332.83144	243.297536957	fillers_1-8_1	filler	True	N	696.570768278	
0	blocked	31	search	1077259.79953	1085269.69988	8009.90035052	2	6010.74887437	True	1083275.75395	5.20554743242	horizontal_44		False	N	656.859187905	
0	blocked	32	search	1091614.14744	1099624.48578	8010.338347	novel	6011.18083368	False	0	0	color_21	checkers	False	N	261.892917557	
0	blocked	33	search	1105355.61722	1113365.93866	8010.32144293	novel	6010.99458708	True	1111640.1625	273.550687452	color_24	potsleft	False	N	282.849736115	
0	blocked	34	search	1119137.07388	1127147.34129	8010.26741028	None	None	False	0	0	clone_19	plant	False	Z	1253.29599144	
0	blocked	35	search	1133784.75869	1141795.0424	8010.28371064	2	6011.04741229	False	0	0	horizontal_9		False	Z	669.357331476	
0	blocked	36	search	1148539.15827	1156549.35807	8010.19979401	4	6010.96077894	True	1154844.07325	293.954199635	clone_24	light	False	N	978.803505904	
0	blocked	37	search	1162547.07028	1170557.32985	8010.25956197	novel	6011.00062424	True	1168862.02447	303.953559695	takeaway_34	flowersleft	False	N	826.637008077	
0	blocked	38	search	1177168.11609	1185178.38682	8010.27073073	None	None	False	0	0	clone_60	xtralight	False	N	869.386189135	
0	blocked	39	search	1191575.93066	1199586.2023	8010.2716363	4	6011.04288441	True	1198478.47267	891.499125215	takeaway_13	lightreflectionleft	False	N	501.352023598	
0	blocked	40	rating	1205597.23733	1213607.49055	8010.25322294	4	6011.00877442	True	1212180.8035	572.55739233	color_16	flowersleft	False	7	826.503284823	
0	blocked	41	rating	1219978.38483	1227988.64318	8010.25835453	4	6011.00243539	True	1226242.76446	253.377191341	takeaway_55	vase	False	7	365.19941367	
0	blocked	42	rating	1233892.98065	1241903.25741	8010.27676789	novel	6011.02688592	True	1241160.59197	1256.58443642	takeaway_85	switchleftdoor	False	7	274.395589004	
0	blocked	43	rating	1248127.50558	1256137.83849	8010.33291355	None	None	False	0	0	takeaway_56	chairstar	False	7	340.910078809	
0	blocked	44	rating	1262308.78722	1270319.0833	8010.29608683	None	None	False	0	0	color_14	vaseleft	False	7	647.499465711	
0	blocked	45	rating	1276356.71146	1284366.90914	8010.197681	2	6011.01149114	True	1282687.02359	319.300642475	color_35	v	False	7	231.4154863	
0	blocked	46	rating	1289618.3004	1297628.54397	8010.24356347	None	None	False	0	0	color_47	potonshelf	False	7	241.66719995	
0	blocked	47	rating	1303253.0856	1311263.34486	8010.25926011	2	6011.07789998	True	1309269.34791	5.18441734696	clone_4	carpetsquare	False	7	465.278138331	
0	blocked	48	rating	1317527.58321	1325537.82557	8010.24235604	2	6011.02507477	False	0	0	takeaway_16	pillow	False	7	243.878312443	
0	blocked	49	rating	1330829.21941	1338839.47776	8010.25835453	None	None	False	0	0	clone_71	cupsshelf	False	7	222.460556168	
0	blocked	50	rating	1344224.12651	1352234.30457	8010.17806021	None	None	False	0	0	clone_17	dot	False	7	357.795431796	
0	blocked	51	rating	1358125.36389	1366135.68503	8010.32114107	novel	6010.99217221	False	0	0	horizontal_11		False	7	376.206678797	
0	blocked	52	rating	1371546.88766	1379557.10677	8010.21911295	2	6010.98613504	True	1377563.05821	5.18441734696	clone_70	cabnethandleright	False	6	1210.43542465	
0	blocked	53	rating	1386341.21465	1394351.47814	8010.26348613	novel	6011.01843389	True	1392950.05633	597.823238988	clone_27	bottomshelf	False	7	327.881871957	
0	blocked	54	rating	1400109.28027	1408119.50331	8010.22303711	2	6011.01692459	True	1406373.66111	253.363909573	takeaway_22	lightleft	False	5	1165.05162382	
0	blocked	55	rating	1415743.2915	1423753.52691	8010.2354133	2	6010.95987336	True	1422078.51909	324.267721802	clone_88	lightright	False	7	714.81780433	
0	blocked	56	rating	1429950.80343	1437961.4059	8010.60247307	novel	6011.30459561	True	1436463.46548	501.357457048	color_34	IAcolor	False	5	629.285030361	
0	blocked	57	rating	1444838.74183	1452849.02916	8010.28733294	2	6011.07186282	True	1451559.00063	709.186938468	horizontal_45		False	4	1661.46313162	
0	blocked	58	rating	1460099.57492	1468109.81215	8010.23722445	2	6011.04861972	True	1466678.11877	567.495227619	takeaway_97	knife	False	3	637.900067979	
0	blocked	59	rating	1474414.05821	1482424.33045	8010.27224002	4	6011.02115061	True	1480724.19896	299.119599905	clone_2	statueright	False	5	2109.7976583	
0	blocked	60	rating	1490008.07381	1498018.37865	8010.30484072	novel	6011.01571716	True	1496318.19312	299.103601412	clone_39	xtraspots	False	4	432.634873334	
0	blocked	61	rating	1504469.23037	1512479.45461	8010.22424454	None	None	False	0	0	color_1	oranges	False	6	507.521102918	
0	blocked	62	rating	1518423.87494	1525847.71668	7423.84173928	4	6010.97707929	True	1525372.04103	937.189010424	color_89	garlic	False	7	637.766344725	
0	blocked	63	rating	1533098.22562	1539309.12922	6210.90360697	novel	6011.06250521	False	0	0	color_80	backchair	False	7	656.095486252	
0	blocked	64	rating	1545760.03377	1553770.29213	8010.25835453	novel	6011.01209486	True	1552186.57292	415.527050735	clone_42		False	6	618.809639666	
0	blocked	65	rating	1560207.90404	1568218.1144	8010.21035905	2	6011.00002053	True	1566517.76346	298.859397998	color_99	thermlid	False	7	984.103535003	
0	blocked	66	rating	1574815.56756	1580720.0629	5904.49533508	4	None	False	0	0	horizontal_20		False	7	972.67940348	
0	blocked	67	rating	1587917.22893	1595927.49453	8010.26559913	2	6010.9269708	True	1594642.72014	714.564243307	clone_74	chairhole	False	5	922.352068273	
0	blocked	68	rating	1602551.60842	1610561.8873	8010.2788809	None	None	False	0	0	clone_23	outlet.tv	False	6	496.082784052	
0	blocked	69	rating	1616959.46555	1624969.69493	8010.22937613	novel	6010.93904514	True	1623274.50607	304.101470292	horizontal_29		False	7	959.756545195	
0	blocked	70	rating	1631500.53519	1639510.77966	8010.24446905	2	6011.01481159	True	1637516.72144	5.17143743765	clone_97	xtralight	False	5	1037.11771148	
0	blocked	71	rating	1646961.27791	1654971.51695	8010.2390356	4	6011.00334097	True	1653159.67885	187.397594551	color_91	cup	False	7	933.513884881	
0	blocked	72	rating	1663368.27384	1671378.57929	8010.30544444	novel	6011.04077141	False	0	0	color_18	magcolor	False	6	1006.22009338	
0	blocked	73	rating	1678015.99155	1685466.49161	7450.50005856	None	None	False	0	0	horizontal_75		False	4	936.651702542	
0	blocked	74	rating	1691610.80224	1699621.06452	8010.26227869	4	6011.00605769	True	1697925.9472	304.138900728	color_95	flowers	False	6	669.893733783	
0	blocked	75	rating	1706525.04911	1714535.31109	8010.26197683	novel	6011.01843389	True	1713458.11715	922.049606196	takeaway_27	reflection	False	7	1472.79078921	
0	blocked	76	rating	1722652.20453	1725851.00935	3198.80482201	4	None	False	0	0	takeaway_5	thermostat	False	7	436.97046497	
0	blocked	77	rating	1731795.38169	1739805.70192	8010.3202355	None	None	False	0	0	color_32	bookabovetv	False	7	362.166039003	
0	blocked	78	rating	1746709.61226	1749095.38694	2385.77468326	None	None	False	0	0	color_9	chairs	False	3	1464.22586009	
0	blocked	79	rating	1757039.03632	1760637.69812	3598.66180152	novel	None	False	0	0	takeaway_63	ovenlogo	False	7	1202.11077477	
0	blocked	80	memory	1770940.3709	1778950.63016	8010.25926011	None	None	False	0	0	color_98	tv	False	incorrect	11093.6871757	
0	blocked	81	memory	1795744.18228	1803754.39657	8010.21428321	None	None	False	0	0	clone_84	flushlever	False	incorrect	11988.1276088	
0	blocked	82	memory	1821387.66401	1829397.90758	8010.24356347	novel	6011.08333343	True	1828224.51108	825.763731839	takeaway_87	bottleshadow	False	incorrect	19368.150381	
0	blocked	83	memory	1894119.75265	1902130.0439	8010.2912571	None	None	False	0	0	horizontal_22		False	correct	4051.10824279	
0	blocked	84	memory	1911872.95808	1919883.21794	8010.25986383	novel	6011.04680857	False	0	0	clone_62	robotbottomshelf	False	incorrect	16889.604964	
0	blocked	85	memory	1942207.97196	1950218.34925	8010.37728673	None	None	False	0	0	takeaway_79	cabnetcrack	False	incorrect	19042.1053172	
0	blocked	86	memory	1974768.86766	1982779.14261	8010.27495674	novel	6011.09812449	True	1981129.56334	349.597562434	takeaway_6	lightsonright	False	correct	11560.7870293	
0	blocked	87	memory	1999879.25122	2007889.49358	8010.24235604	2	6024.35664928	False	0	0	color_97	vase	False	incorrect	12242.148664	
0	blocked	88	memory	2025642.72014	2033652.92507	8010.2049256	2	6011.01118929	True	2031942.58714	288.85581192	horizontal_35		False	incorrect	5014.36483567	
0	blocked	89	memory	2044115.58217	2052125.85381	8010.2716363	None	None	False	0	0	clone_57	xtrabushes	False	correct	9021.12917968	
0	blocked	90	memory	2066333.76449	2074343.97454	8010.2100572	novel	6011.06220335	True	2072694.68113	349.854443898	color_69	pillow	False	correct	8450.67966428	
0	blocked	91	memory	2088405.23881	2096415.50471	8010.26590099	novel	6011.00998185	True	2094765.88469	349.635898445	horizontal_74		False	correct	4050.88909362	
0	blocked	92	memory	2105945.19309	2113955.45386	8010.2607694	novel	6010.99307778	False	0	0	takeaway_31	glass.left	False	incorrect	14750.6556364	
0	blocked	93	memory	2134241.02485	2142251.34357	8010.31872621	novel	6011.02326362	False	0	0	clone_30	lightonright	False	correct	13206.4684021	
0	blocked	94	memory	2160897.45207	2168907.74303	8010.29095524	2	6011.05375131	True	2167176.9699	268.464072214	clone_41	knobsleftcab	False	incorrect	7600.30179799	
0	blocked	95	memory	2181902.77746	2189913.02555	8010.24809135	4	6010.98130531	True	2188268.31978	354.56101946	color_96	fruit	False	correct	11350.621466	
