blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	131829.392371	139839.76181	8010.36943841	novel	6011.12800847	True	138225.878197	385.357816864	takeaway_93	statueheadleft	False	correct	14359.1797542	
0	mixed	1	search	168935.184671	176945.469287	8010.28461621	None	None	False	0	0	clone_63	xtrafruit	False	N	2557.10707399	
0	mixed	2	rating	190327.013425	193645.656017	3318.64259125	4	None	False	0	0	horizontal_3		False	6	1347.2678196	
0	mixed	3	rating	200469.790619	203895.102408	3425.3117895	novel	None	False	0	0	color_98	tv	False	6	1143.16900567	
0	mixed	4	search	214557.640458	222567.954958	8010.31450019	4	6011.05495875	False	0	0	takeaway_5	thermostat	False	Z	1669.96074634	
0	mixed	5	rating	231364.56853	234669.974028	3305.40549841	2	None	False	0	0	clone_83	pumpkin	False	5	890.475523513	
0	mixed	6	search	240974.236389	241147.475921	173.239531854	4	None	False	0	0	takeaway_7	drawerhandles	False	Z	3639.57930604	
0	mixed	7	search	257514.573118	257674.510054	159.936935751	2	None	False	0	0	color_40	whole+pic.in.mirror	False	N	4266.88293812	
0	mixed	8	search	271055.97752	279066.263646	8010.2861255	2	6010.99458708	True	277335.43135	268.45924248	horizontal_79		False	N	1418.83149421	
0	mixed	9	rating	287689.613839	295699.872495	8010.25865639	2	6011.02296176	True	293705.813068	5.17626717122	takeaway_79	cabnetcrack	False	7	2915.59678002	
0	mixed	10	search	307148.839113	315159.071508	8010.23239471	2	6010.97557	True	313418.307468	258.492784981	horizontal_48		False	Z	810.935845439	
0	mixed	11	search	323062.711074	331072.976674	8010.26559913	novel	6024.44328263	True	329198.704605	111.550247946	color_28	vase	False	Z	2987.36119043	
0	mixed	12	rating	346013.900276	354024.165875	8010.26559913	novel	6011.03443238	True	352718.738341	693.803632684	color_75	lampchord	False	6	1516.23605565	
0	mixed	13	memory	363167.304996	371177.581764	8010.27676789	novel	6010.97496628	True	369684.493717	506.213754357	color_76	exit	False	correct	7999.45242893	
0	mixed	14	search	386385.057468	394102.104496	7717.04702833	None	None	False	0	0	horizontal_27		False	N	1341.34716972	
0	mixed	15	search	401392.608757	409404.504995	8011.896238	novel	6012.14255442	True	408169.435211	764.683899962	horizontal_50		False	Z	1306.12724175	
0	mixed	16	rating	417373.171493	419533.02572	2159.85422656	None	None	False	0	0	color_17	underfacet	False	5	1443.95456186	
0	mixed	17	memory	428262.274768	436273.361724	8011.08695573	2	6051.14325836	True	434495.901065	182.483038579	horizontal_35		False	incorrect	8688.40640519	
0	mixed	18	rating	451640.627962	455092.514154	3451.88619215	None	None	False	0	0	horizontal_53		False	4	1078.51818938	
0	mixed	19	memory	461902.79225	469913.924183	8011.13193263	None	None	False	0	0	takeaway_17	clock	False	correct	7702.11681194	
0	mixed	20	rating	484708.160318	492718.801429	8010.64111094	novel	6037.77183855	True	491009.617207	263.685050646	clone_55	darklightright	False	5	1278.69042976	
0	mixed	21	rating	503474.337511	507566.065325	4091.72781311	novel	None	False	0	0	takeaway_69	whitespotonorange	False	6	899.132217584	
0	mixed	22	rating	515868.745344	519200.696266	3331.95092266	2	None	False	0	0	horizontal_65		False	4	1001.04624108	
0	mixed	23	search	527011.195021	535021.820435	8010.6254143	4	6037.78210173	False	0	0	clone_58	xtrapillow	False	Z	1943.36774921	
0	mixed	24	search	545698.489682	553710.112738	8011.62305618	4	6036.55806608	True	553051.010743	1315.96299458	clone_38	windowtower	False	Z	1359.83297573	
0	mixed	25	rating	562890.687126	564770.566516	1879.87938947	None	None	False	0	0	color_43	purpleright	False	3	1443.06981501	
0	mixed	26	memory	627546.827891	635557.405008	8010.57711696	4	6050.66420914	True	633988.116742	390.624641543	horizontal_24		False	incorrect	5095.50285377	
0	mixed	27	rating	647564.870569	649687.632138	2122.76156933	novel	None	False	0	0	horizontal_34		False	3	972.630200567	
0	mixed	28	memory	657507.720631	657561.346071	53.6254396567	None	None	False	0	0	takeaway_28	ovenknob	False	correct	3220.13202077	
0	mixed	29	memory	668130.816358	676141.479504	8010.6631466	2	6038.75740609	False	0	0	color_21	checkers	False	correct	5013.92412247	
0	mixed	30	rating	689548.811704	696959.640632	7410.82892721	None	None	False	0	0	takeaway_19	headboard	False	5	1605.94353075	
0	mixed	31	search	705678.2697	713689.904226	8011.6345268	novel	6048.53972999	True	711995.301575	268.492145042	takeaway_44	lightorangeright	False	N	1160.73233253	
0	mixed	32	rating	720536.861434	723418.374481	2881.51304692	4	None	False	0	0	takeaway_94	topshelf	False	4	1641.25794038	
0	mixed	33	memory	734945.799218	740942.569636	5996.7704174	2	None	False	0	0	color_60	paper	False	correct	9476.68778065	
0	mixed	34	memory	757362.727496	764123.498406	6760.77091003	novel	6051.78561295	True	763617.19832	202.685211234	takeaway_61	fanlever	False	incorrect	3691.5315448	
0	mixed	35	memory	775129.934931	777048.920675	1918.98574383	novel	None	False	0	0	takeaway_74	sprinkler	False	incorrect	2693.42902646	
0	mixed	36	search	787178.48251	795188.140166	8009.6576564	4	6050.65605896	True	793396.315577	167.177008535	clone_69	hangingspat	False	N	1798.50048841	
0	mixed	37	memory	802811.575181	805891.643414	3080.06823206	None	None	False	0	0	takeaway_88	fruitontable	False	incorrect	3474.49266665	
0	mixed	38	memory	815553.684906	822591.897156	7038.2122499	4	6050.94191883	False	0	0	horizontal_6		False	correct	1969.39790124	
0	mixed	39	memory	831388.454884	836346.408731	4957.95384706	2	None	False	0	0	horizontal_45		False	incorrect	2222.84421814	
0	mixed	40	rating	846208.852781	846368.772209	159.919427966	2	None	False	0	0	horizontal_47		False	6	3078.95799701	
0	mixed	41	rating	857125.242543	864255.077559	7129.83501629	4	6050.72910868	True	863353.237069	177.265416812	takeaway_36	backwindowbuildings	False	6	1214.66596958	
0	mixed	42	rating	873425.639004	880289.312524	6863.67351966	None	None	False	0	0	horizontal_70		False	3	2500.08301105	
0	mixed	43	memory	890031.89043	894952.772448	4920.88201806	4	None	False	0	0	horizontal_71		False	correct	1973.53637937	
0	mixed	44	rating	905428.215969	908201.129735	2772.91376631	None	None	False	0	0	clone_92	lights	False	5	1349.8544439	
0	mixed	45	rating	925538.164556	930897.000192	5358.83563571	2	None	False	0	0	horizontal_42		False	4	1209.71790732	
0	mixed	46	memory	939292.879282	943999.377266	4706.49798419	2	None	False	0	0	takeaway_49	chairlegs	False	incorrect	2534.68262008	
0	mixed	47	search	954140.860997	962152.491297	8011.63030078	None	None	False	0	0	horizontal_13		False	Z	1368.60105554	
0	mixed	48	memory	970574.303039	973693.16973	3118.8666909	None	None	False	0	0	takeaway_1	.thermostat	False	correct	1952.80836945	
0	mixed	49	rating	983569.770032	988434.452664	4864.68263216	4	None	False	0	0	horizontal_66		False	3	1521.87688284	
0	mixed	50	memory	996751.026017	1000522.95512	3771.92910434	4	None	False	0	0	takeaway_3	wallpaint	False	correct	3328.02133052	
0	mixed	51	search	1019555.98356	1019742.01796	186.034402194	2	None	False	0	0	horizontal_28		False	N	1428.34516417	
0	mixed	52	rating	1028072.1849	1031670.75041	3598.5655087	None	None	False	0	0	takeaway_51	lightright	False	4	1043.46217051	
0	mixed	53	memory	1039294.52109	1046958.77369	7664.25260474	2	6051.24528648	False	0	0	clone_2	statueright	False	incorrect	5103.23072966	
0	mixed	54	search	1060553.17144	1067537.93152	6984.76007694	4	6024.77713797	False	0	0	color_96	fruit	False	N	1374.79911326	
0	mixed	55	search	1078147.4569	1082347.0701	4199.6131987	4	None	False	0	0	horizontal_73		False	N	1898.86567665	
0	mixed	56	rating	1091994.23934	1100005.38757	8011.14823298	novel	6027.25147096	False	0	0	clone_79	midcouch	False	4	1620.68236894	
0	mixed	57	rating	1108947.89623	1111773.77738	2825.88115474	2	None	False	0	0	clone_89	piconshelf	False	5	846.24663277	
0	mixed	58	rating	1119717.56381	1124302.23417	4584.67036463	None	None	False	0	0	horizontal_7		False	4	1238.68091519	
0	mixed	59	search	1133698.85342	1141710.48402	8011.63060264	4	6050.75446479	False	0	0	takeaway_39	light	False	N	1140.0834095	
0	mixed	60	rating	1148719.18056	1150865.74427	2146.56370479	None	None	False	0	0	clone_30	lightonright	False	3	1261.41567949	
0	mixed	61	memory	1159782.62063	1164047.44006	4264.81943437	2	None	False	0	0	horizontal_78		False	incorrect	4026.40596569	
0	mixed	62	memory	1179148.83368	1184105.59066	4956.75697866	novel	None	False	0	0	color_12	wine	False	correct	4238.49255557	
0	mixed	63	memory	1197873.99496	1201846.8588	3972.86383894	2	None	False	0	0	horizontal_67		False	correct	1384.80360491	
0	mixed	64	search	1211442.24574	1219438.97662	7996.73087395	None	None	False	0	0	horizontal_69		False	Z	1429.06147406	
0	mixed	65	search	1228437.63304	1228532.63994	95.0069004819	novel	None	False	0	0	takeaway_98	handletopright	False	N	966.803428628	
0	mixed	66	memory	1235712.53817	1239472.02135	3759.48318226	novel	None	False	0	0	takeaway_34	flowersleft	False	correct	4666.61585384	
0	mixed	67	rating	1262010.70028	1266127.98191	4117.28163264	4	None	False	0	0	takeaway_23	rightknob	False	4	1491.97539734	
0	mixed	68	search	1274684.52783	1281495.26988	6810.74205237	4	6050.72427895	False	0	0	clone_57	xtrabushes	False	N	685.069964731	
0	mixed	69	search	1289318.90732	1297331.51112	8012.603794	None	None	False	0	0	horizontal_25		False	N	690.02013999	
0	mixed	70	search	1304712.64352	1308351.90829	3639.26476963	None	None	False	0	0	horizontal_59		False	Z	586.249687577	
0	mixed	71	search	1315896.48281	1323907.19365	8010.71084022	None	None	False	0	0	horizontal_40		False	Z	941.34590191	
0	mixed	72	memory	1334714.68801	1339126.51548	4411.82747467	4	None	False	0	0	clone_97	xtralight	False	correct	2266.29461617	
0	mixed	73	search	1352668.82395	1360678.56854	8009.7445916	4	6049.75984149	True	1358992.0412	273.457413219	horizontal_56		False	N	2395.97538285	
0	mixed	74	memory	1369475.35025	1370717.25742	1241.90717735	4	None	False	0	0	clone_71	cupsshelf	False	incorrect	1127.26408864	
0	mixed	75	rating	1383402.64947	1385295.47738	1892.82790572	4	None	False	0	0	color_83	artbehindtable	False	3	858.628560872	
0	mixed	76	rating	1393292.04434	1396624.93103	3332.88668358	4	None	False	0	0	takeaway_25	plugin	False	3	2728.88802624	
0	mixed	77	memory	1406287.07787	1409499.32323	3212.24536738	4	None	False	0	0	takeaway_29	dresserknob	False	incorrect	2863.1063278	
0	mixed	78	search	1418269.11095	1425199.695	6930.58404763	novel	6037.71327802	True	1424610.89522	304.070982597	clone_59	statue	False	N	849.043048625	
0	mixed	79	search	1432184.44089	1440194.1239	8009.6830125	novel	6037.77878129	False	0	0	takeaway_30	shotglass	False	Z	1462.88017551	
0	mixed	80	rating	1453309.46036	1455895.35748	2585.89711701	novel	None	False	0	0	horizontal_80		False	3	773.837151037	
0	mixed	81	rating	1463465.84261	1466559.81172	3093.96911144	novel	None	False	0	0	takeaway_38	reflectionlight	False	4	886.142648602	
0	mixed	82	memory	1474381.51003	1479299.19114	4917.681112	2	None	False	0	0	clone_34	xtrafruit	False	incorrect	3199.20568991	
0	mixed	83	search	1492334.73979	1500344.39503	8009.65524153	novel	6051.65309713	False	0	0	color_50	lightsintv	False	N	530.232925985	
0	mixed	84	memory	1507023.99472	1512219.77613	5195.78140866	2	None	False	0	0	horizontal_29		False	incorrect	3332.00254044	
0	mixed	85	rating	1526187.71304	1529359.99538	3172.28233899	novel	None	False	0	0	color_36	lights	False	5	823.48741794	
0	mixed	86	memory	1539116.17502	1542771.49533	3655.32031398	2	None	False	0	0	horizontal_10		False	correct	2292.12433425	
0	mixed	87	rating	1554924.88979	1556842.8462	1917.95640682	4	None	False	0	0	takeaway_27	reflection	False	5	1205.25885562	
0	mixed	88	memory	1589899.14942	1593162.07017	3262.92074528	novel	None	False	0	0	takeaway_64	plant	False	correct	2230.85191674	
0	mixed	89	search	1604251.06948	1607117.51738	2866.44789985	4	None	False	0	0	clone_42		False	N	1045.47888622	
0	mixed	90	rating	1613714.17575	1616313.95232	2599.77656444	4	None	False	0	0	horizontal_37		False	7	888.770627491	
0	mixed	91	rating	1625803.59827	1629403.40683	3599.80856143	novel	None	False	0	0	color_38	bottleright	False	5	1038.6870731	
0	mixed	92	search	1638186.01991	1642103.97783	3917.95791611	2	None	False	0	0	takeaway_60	lampsonwall	False	N	866.090499551	
0	mixed	93	search	1648580.77881	1653486.44475	4905.6659418	None	None	False	0	0	takeaway_63	ovenlogo	False	N	3257.18754943	
0	mixed	94	search	1662268.88124	1665880.88065	3611.99941319	novel	None	False	0	0	clone_8	teapotsright	False	N	636.695351261	
0	mixed	95	rating	1674997.46409	1676783.35052	1785.88643123	4	None	False	0	0	clone_90	pillowsplotch	False	5	969.619767134	
0	mixed	96	memory	1682914.2837	1684114.06744	1199.78374867	4	None	False	0	0	clone_80	statue	False	incorrect	1804.47607652	
0	mixed	97	memory	1691790.87917	1695883.50229	4092.62312501	None	None	False	0	0	takeaway_6	lightsonright	False	correct	2778.54312288	
0	mixed	98	rating	1722579.54058	1725952.03773	3372.4971414	2	None	False	0	0	color_53	wine	False	5	1631.07776717	
0	mixed	99	rating	1734681.13132	1736014.67213	1333.54081065	novel	None	False	0	0	clone_98	wine	False	5	986.062595765	
0	mixed	100	search	1743051.18491	1746823.20488	3772.0199637	novel	None	False	0	0	takeaway_24	smokedetector	False	Z	582.178222006	
0	mixed	101	search	1753273.9585	1754340.914	1066.95550487	4	None	False	0	0	horizontal_22		False	N	1671.68556501	
0	mixed	102	search	1762363.90474	1766364.21747	4000.31272526	4	None	False	0	0	horizontal_21		False	Z	1653.31386146	
0	mixed	103	search	1774465.81756	1775638.83643	1173.01887339	None	None	False	0	0	color_46	lemon	False	N	1062.01710209	
0	mixed	104	memory	1782476.10338	1786170.42742	3694.3240365	None	None	False	0	0	color_3	lights	False	incorrect	2632.47869182	
0	mixed	105	rating	1798404.9439	1800218.62937	1813.68547325	4	None	False	0	0	clone_78	fireplacehanging	False	6	1646.69893734	
0	mixed	106	rating	1808386.31441	1811958.29465	3571.98023914	2	None	False	0	0	color_93	rocks	False	6	1042.947502	
0	mixed	107	memory	1820836.82171	1823273.83504	2437.01332886	2	None	False	0	0	color_13	wheelsleft	False	correct	2877.34559039	
0	mixed	108	search	1832283.67502	1835883.07426	3599.39924149	2	None	False	0	0	clone_7	xtralight	False	N	1708.23065118	
0	mixed	109	memory	1843426.05044	1846985.76496	3559.71452651	4	None	False	0	0	takeaway_80	tilesbackleft	False	incorrect	1590.57712904	
0	mixed	110	memory	1857234.17749	1861126.01107	3891.83358428	2	None	False	0	0	takeaway_78	floweronwallright	False	incorrect	1113.61465728	
0	mixed	111	memory	1872148.57438	1874614.39889	2465.82450196	novel	None	False	0	0	clone_49	vase	False	incorrect	6743.68693424	
0	mixed	112	memory	1891074.70783	1893247.52386	2172.81602457	novel	None	False	0	0	takeaway_18	hanginglightright	False	incorrect	783.542802912	
0	mixed	113	search	1900297.43674	1902630.23739	2332.80065395	2	None	False	0	0	horizontal_33		False	N	1045.15680334	
0	mixed	114	rating	1909560.70191	1913133.49777	3572.79586043	None	None	False	0	0	clone_28	wine	False	5	1018.46829823	
