blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	102111.303259	110121.584767	8010.28150762	None	None	False	0	0	takeaway_1	.thermostat	False	incorrect	6880.15060186	
0	blocked	1	memory	124942.070567	132952.654534	8010.58396705	None	None	False	0	0	horizontal_40		False	incorrect	2520.55320494	
0	blocked	2	memory	142175.680934	150185.863734	8010.1828008	None	None	False	0	0	color_54	booktable	False	correct	8230.69021423	
0	blocked	3	memory	164487.057181	172497.229115	8010.171934	None	None	False	0	0	takeaway_5	thermostat	False	incorrect	6118.90458975	
0	blocked	4	memory	185065.652411	193075.896187	8010.24377566	None	None	False	0	0	horizontal_33		False	incorrect	1707.93587739	
0	blocked	5	memory	200806.203195	208816.413465	8010.21026967	None	None	False	0	0	horizontal_62		False	correct	1471.03649104	
0	blocked	6	memory	216759.995122	224770.177923	8010.1828008	None	None	False	0	0	clone_21	book	False	incorrect	5028.73274027	
0	blocked	7	memory	235512.684128	243522.904359	8010.22023091	None	None	False	0	0	clone_4	carpetsquare	False	correct	3811.65138925	
0	blocked	8	memory	253612.248822	261622.477807	8010.22898473	None	None	False	0	0	color_100	stereoright	False	correct	6375.57311081	
0	blocked	9	memory	275577.086857	283587.252754	8010.16589688	None	None	False	0	0	horizontal_63		False	incorrect	2058.44862461	
0	blocked	10	memory	291264.357994	299274.458992	8010.1009979	None	None	False	0	0	color_76	exit	False	incorrect	5690.7672297	
0	blocked	11	memory	311789.632524	319799.80325	8010.17072658	None	None	False	0	0	color_14	vaseleft	False	incorrect	6556.91082065	
0	blocked	12	memory	332061.818844	340071.914408	8010.0955645	None	None	False	0	0	takeaway_84	outlet	False	incorrect	14668.4803164	
0	blocked	13	memory	360997.129654	369007.341433	8010.21177895	None	None	False	0	0	takeaway_83	soap	False	incorrect	8118.90519346	
0	blocked	14	memory	382948.226009	390958.746586	8010.52057735	None	None	False	0	0	takeaway_66	spottopleft	False	correct	19582.6920157	
0	blocked	15	memory	422879.678198	430889.985363	8010.30716536	None	None	False	0	0	takeaway_92	bottlelidwindow	False	correct	11134.4453296	
0	blocked	16	memory	449682.552528	457692.729896	8010.1773674	None	None	False	0	0	clone_47	chair	False	correct	2266.95878251	
0	blocked	17	memory	467342.345135	475352.533671	8010.18853606	None	None	False	0	0	color_30	chairsright	False	incorrect	9750.72905702	
0	blocked	18	memory	493665.461759	501675.664181	8010.20242143	None	None	False	0	0	color_88	bowltopshelf	False	incorrect	12221.6701617	
0	blocked	19	memory	521561.247582	529571.477472	8010.2298903	None	None	False	0	0	takeaway_58	drawerhandle	False	incorrect	4613.42998351	
0	blocked	20	memory	541366.874233	549377.059147	8010.18491379	None	None	False	0	0	clone_26	statue	False	incorrect	5601.92384724	
0	blocked	21	memory	562265.430185	570275.626569	8010.19638431	None	None	False	0	0	takeaway_98	handletopright	False	incorrect	9521.4642055	
0	blocked	22	memory	587348.991093	595358.909468	8009.9183752	None	None	False	0	0	takeaway_24	smokedetector	False	incorrect	14119.9345215	
0	blocked	23	memory	617070.704269	625080.966759	8010.26249071	None	None	False	0	0	clone_68	platestopshelf	False	incorrect	4666.99126218	
0	blocked	24	memory	637076.315766	645086.488304	8010.17253771	None	None	False	0	0	clone_18	wine	False	correct	7031.60882155	
0	blocked	25	memory	659321.067326	667331.251938	8010.18461194	None	None	False	0	0	takeaway_2	candles	False	incorrect	11540.9861204	
0	blocked	26	memory	686723.618489	694733.879773	8010.26128329	None	None	False	0	0	clone_92	lights	False	correct	9108.42355549	
0	blocked	27	memory	710740.977608	718751.157088	8010.17948039	None	None	False	0	0	takeaway_63	ovenlogo	False	correct	11149.1405715	
0	blocked	28	memory	737130.729788	745140.89176	8010.16197276	None	None	False	0	0	clone_57	xtrabushes	False	incorrect	16004.0738448	
0	blocked	29	memory	769664.743343	777675.012172	8010.26882968	None	None	False	0	0	horizontal_75		False	correct	2928.19516542	
0	blocked	30	memory	792402.507093	800412.840822	8010.33372866	None	None	False	0	0	color_62	fruit	False	correct	8061.60060202	
0	blocked	31	memory	815980.090804	823990.292924	8010.20211957	None	None	False	0	0	takeaway_33		False	correct	3113.19951667	
0	blocked	32	memory	834986.015628	842996.238878	8010.22324947	None	None	False	0	0	takeaway_99	blockoncushion	False	incorrect	11853.2742743	
0	blocked	33	memory	862268.726148	870279.015504	8010.28935587	None	None	False	0	0	takeaway_38	reflectionlight	False	correct	8625.97631459	
0	blocked	34	memory	886925.816542	894936.009304	8010.19276204	None	None	False	0	0	takeaway_18	hanginglightright	False	correct	9840.34337899	
0	blocked	35	memory	912702.457498	920712.673503	8010.21600493	None	None	False	0	0	color_98	tv	False	correct	10201.7808884	
0	blocked	36	memory	938305.845949	946316.135305	8010.28935587	None	None	False	0	0	clone_9	bookshelf	False	correct	7611.19806233	
0	blocked	37	memory	961363.569516	969373.825366	8010.25584989	None	None	False	0	0	color_89	garlic	False	incorrect	9368.91839965	
0	blocked	38	memory	986460.431998	994470.626873	8010.19487503	None	None	False	0	0	horizontal_52		False	correct	3618.22375417	
0	blocked	39	memory	1006252.76915	1014262.9927	8010.22355133	None	None	False	0	0	clone_53	plates	False	correct	12185.2865863	
0	blocked	40	rating	1033908.69046	1041918.87145	8010.18098967	None	None	False	0	0	takeaway_20	drawerknob	False	4	4101.17690526	
0	blocked	41	rating	1052021.6334	1060031.8814	8010.24800164	None	None	False	0	0	clone_13	xtrapillow	False	6	2459.83764388	
0	blocked	42	rating	1068068.79775	1076079.01949	8010.22174019	None	None	False	0	0	clone_36	light	False	1	2156.38178832	
