blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	memory	195446.37186	203456.504553	8010.13269276	None	None	False	0	0	color_87	picframe	False	incorrect	9490.81800183	
0	mixed	1	memory	435859.352743	443869.556674	8010.2039307	None	None	False	0	0	takeaway_4	ceilinglights	False	incorrect	18216.0046317	
0	mixed	2	memory	468100.085395	476110.325247	8010.23985154	None	None	False	0	0	clone_79	midcouch	False	incorrect	6966.68810848	
0	mixed	3	memory	489038.646889	497048.822748	8010.17585812	None	None	False	0	0	takeaway_1	.thermostat	False	correct	9387.67209172	
0	mixed	4	rating	512389.463304	520399.68776	8010.22445689	None	None	False	0	0	clone_36	light	False	1	2175.12944328	
0	mixed	5	rating	529942.661299	537952.868248	8010.20694926	None	None	False	0	0	takeaway_71	stickerdesk	False	3	920.52320048	
0	mixed	6	memory	546083.051677	554093.233572	8010.18189524	None	None	False	0	0	horizontal_11		False	correct	2902.05747876	
0	mixed	7	rating	562956.505911	570966.705012	8010.19910101	None	None	False	0	0	color_61	apple	False	7	846.956132214	
0	mixed	8	memory	577670.740914	585680.928544	8010.1876305	None	None	False	0	0	horizontal_32		False	incorrect	2177.44980819	
0	mixed	9	memory	594024.351003	602034.652433	8010.3014301	None	None	False	0	0	color_40	whole+pic.in.mirror	False	correct	2671.59063776	
0	mixed	10	memory	610191.443537	618201.632375	8010.18883792	None	None	False	0	0	takeaway_26	belowlightleft	False	correct	10391.9997972	
0	mixed	11	search	636221.294351	644231.454513	8010.16016163	None	None	False	0	0	takeaway_92	bottlelidwindow	False	Z	3945.77644988	
0	mixed	12	rating	654014.370143	662024.30995	8009.93980695	None	None	False	0	0	horizontal_37		False	7	872.397739584	
0	mixed	13	memory	668768.629101	676778.795904	8010.16680245	None	None	False	0	0	color_60	paper	False	incorrect	8229.54467178	
0	mixed	14	search	692279.470098	700289.669199	8010.19910101	None	None	False	0	0	color_91	cup	False	Z	814.339112562	
0	mixed	15	search	707993.309066	716003.523864	8010.21479751	None	None	False	0	0	horizontal_27		False	N	908.303779143	
0	mixed	16	search	722800.924644	730811.125255	8010.20061029	None	None	False	0	0	clone_98	wine	False	Z	812.214652016	
0	mixed	17	search	737128.659661	745138.862384	8010.20272328	None	None	False	0	0	clone_77	drawer	False	Z	500.053881246	
0	mixed	18	rating	751389.814965	759399.998672	8010.18370637	None	None	False	0	0	color_74	fruitleft	False	7	625.286272417	
0	mixed	19	rating	766303.977462	774315.402701	8011.42523894	None	None	False	0	0	horizontal_10		False	5	958.782205364	
0	mixed	20	search	782177.759814	790188.005703	8010.24588865	None	None	False	0	0	takeaway_58	drawerhandle	False	N	1481.9666866	
0	mixed	21	memory	800397.374942	808407.612982	8010.2380404	None	None	False	0	0	color_39	painting	False	incorrect	6301.71897776	
0	mixed	22	search	820949.374268	828959.599329	8010.22506061	None	None	False	0	0	clone_33	pillow	False	N	1005.37695591	
0	mixed	23	search	836476.40258	844486.85041	8010.44783013	None	None	False	0	0	clone_21	book	False	N	736.482674538	
0	mixed	24	rating	851457.450569	859467.667781	8010.21721236	None	None	False	0	0	color_21	checkers	False	6	1736.62665972	
