blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	search	1089217.38773	1097227.6457	8010.25796288	None	None	False	0	0	horizontal_66		False	N	2259.93852406	
0	mixed	1	memory	1107356.99812	1115367.23555	8010.23743669	None	None	False	0	0	clone_44	pillow	False	correct	6351.90762249	
0	mixed	2	search	1131041.04181	1139051.23156	8010.18974349	4	6011.01320589	True	1137335.82445	283.769429321	horizontal_2		False	N	1731.45073971	
0	mixed	3	search	1151233.08936	1159243.38083	8010.29146886	2	6024.30210203	True	1157526.00955	268.618083391	horizontal_49		False	Z	1122.93013761	
0	mixed	4	memory	1167893.25144	1175903.43062	8010.17917854	4	6010.91751762	True	1174203.00884	298.839877918	clone_85	glassontable	False	incorrect	7278.23007503	
0	mixed	5	memory	1189991.19728	1198001.40816	8010.21087339	novel	6010.98120918	True	1196311.28539	309.106896467	takeaway_95	drawerknob	False	incorrect	7979.68661943	
0	mixed	6	rating	1213528.67976	1221538.8194	8010.13963544	4	6010.91208422	True	1219727.27879	187.68694302	horizontal_79		False	3	3540.58314299	
0	mixed	7	memory	1231868.11501	1239878.30928	8010.19427132	2	6011.00535764	True	1238157.76882	278.648447058	clone_48	llightswitch	False	incorrect	3149.97671183	
0	mixed	8	rating	1250167.64765	1258177.78909	8010.14144657	None	None	False	0	0	color_84	painting	False	5	1980.79141136	
0	mixed	9	rating	1266627.795	1274637.96029	8010.16529317	2	6010.97185165	True	1272988.27381	349.506963962	clone_64	xtraglass	False	5	2864.16673785	
0	mixed	10	rating	1284034.38318	1292044.48991	8010.10673316	None	None	False	0	0	color_15	flowers	False	7	1049.3162817	
0	mixed	11	rating	1299414.99939	1307425.12635	8010.1269575	novel	6010.90031185	True	1306119.63508	693.735376977	clone_91	platesonwall	False	7	1113.67222272	
0	mixed	12	rating	1314875.49961	1322885.72829	8010.22868287	novel	6011.07116218	True	1321540.01716	653.446392386	takeaway_21	bear	False	7	1340.73020709	
0	mixed	13	memory	1331269.07992	1339279.29774	8010.21781607	4	6010.94317536	True	1337887.7625	607.739399506	color_28	vase	False	incorrect	9242.50877117	
0	mixed	14	search	1355712.8202	1363723.05221	8010.23200329	4	6010.94468464	True	1361987.19317	263.428278025	takeaway_25	plugin	False	N	1294.29423265	
0	mixed	15	search	1371973.11673	1379983.2781	8010.16136905	2	6010.98785001	True	1378318.55377	334.449193306	clone_92	lights	False	Z	681.758043926	
0	mixed	16	rating	1387207.15151	1395217.35725	8010.20574184	4	6010.98030361	True	1393835.7926	617.660793259	clone_99	light	False	6	1015.37260617	
0	mixed	17	search	1402494.45868	1410504.6768	8010.21811792	novel	6010.95072175	True	1408900.48662	395.077216202	horizontal_1		False	N	1279.72214785	
0	mixed	18	search	1418101.29674	1426111.9121	8010.61536005	2	6011.35430285	True	1424518.08433	405.433282189	color_34	IAcolor	False	N	1000.15304085	
0	mixed	19	search	1434268.67664	1442278.86518	8010.18853606	novel	6010.93291226	True	1441803.61327	1524.00371765	clone_82	rug	False	Z	1696.75514158	
0	mixed	20	memory	1451515.20281	1459525.43965	8010.23683298	4	6011.01592259	True	1457875.77068	349.551940464	horizontal_40		False	incorrect	4017.74821067	
0	mixed	21	memory	1469761.31544	1477771.51605	8010.20061029	2	6011.04973043	True	1475954.7304	182.365226704	color_6	wholecolor	False	incorrect	6531.07770642	
0	mixed	22	memory	1490739.85199	1498750.03871	8010.18672493	None	None	False	0	0	takeaway_51	lightright	False	correct	11594.7034585	
0	mixed	23	search	1517276.08962	1525286.24072	8010.15110595	None	None	False	0	0	color_86	buildingoutside	False	N	1223.38319285	
0	mixed	24	search	1532576.73942	1540586.97927	8010.23985154	novel	6010.98483145	False	0	0	color_7	greenonleft	False	Z	711.837966265	
0	mixed	25	rating	1547610.80535	1555621.02347	8010.21811792	2	6011.05576754	True	1553829.66493	207.803815517	horizontal_12		False	6	1298.6014119	
0	mixed	26	search	1563711.19079	1571721.37087	8010.1800841	4	6010.95072175	True	1570086.88192	364.740414647	horizontal_36		False	N	1803.22870913	
0	mixed	27	rating	1580664.52329	1588674.68617	8010.16287833	None	None	False	0	0	takeaway_55	vase	False	4	1988.18174491	
0	mixed	28	memory	1596751.57365	1604761.78392	8010.21026967	None	None	False	0	0	takeaway_93	statueheadleft	False	incorrect	12425.8441622	
0	mixed	29	memory	1624514.00746	1632524.18936	8010.18189524	novel	6010.92778072	True	1630717.53821	192.602965249	horizontal_7		False	incorrect	2838.91801629	
0	mixed	30	rating	1641920.52712	1649930.60699	8010.079868	None	None	False	0	0	takeaway_92	bottlelidwindow	False	6	2384.11623136	
0	mixed	31	rating	1660659.78566	1668669.99412	8010.20845854	novel	6011.04459888	True	1666954.43609	283.605823521	horizontal_28		False	3	1071.04778044	
0	mixed	32	rating	1677346.56478	1685356.80734	8010.24256824	2	6011.0062632	True	1683656.59233	299.021293204	clone_13	xtrapillow	False	7	959.863452547	
