blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	memory	891499.009911	899509.220812	8010.21090113	2	6011.00900981	True	897763.531927	253.513006394	color_22	orange	False	correct	18636.3633894	
0	blocked	1	memory	926312.083438	934322.265663	8010.18222476	novel	6010.9785223	True	932789.174036	466.112075711	clone_48	llightswitch	False	incorrect	12270.6777766	
0	blocked	2	memory	954261.221819	962271.430909	8010.20908999	4	6010.97490003	True	960652.300811	380.104092209	takeaway_96	jarlid	False	correct	2705.19452843	
0	blocked	3	memory	972427.428255	980437.647004	8010.2187494	2	6011.01414138	True	978701.94293	263.500533682	color_21	checkers	False	correct	4282.53319214	
0	blocked	4	memory	992353.07616	1000363.27408	8010.1979213	novel	6010.95829792	True	998602.020869	237.986411626	takeaway_81	lightabovetv	False	correct	4676.52449626	
0	blocked	5	memory	1019222.57724	1027232.79931	8010.22206982	4	6010.98305015	True	1026069.15805	835.597760466	takeaway_12	light	False	incorrect	10734.3436069	
0	blocked	6	memory	1045678.9312	1053689.15749	8010.22629581	novel	6010.98606872	True	1052419.31858	729.401309816	takeaway_45	midspeaker	False	correct	4597.50962319	
0	blocked	7	memory	1064351.6677	1072361.87769	8010.20999556	2	6010.97188146	True	1070762.94542	400.305841045	clone_70	cabnethandleright	False	correct	3068.52143423	
0	blocked	8	memory	1082064.77177	1090075.04274	8010.27097058	None	None	False	0	0	clone_72	spotceilling	False	incorrect	5002.99079458	
0	blocked	9	memory	1101443.87581	1109454.1338	8010.25799075	4	6010.95890163	True	1107692.95696	238.122247068	color_8	paintingright	False	incorrect	16703.1920122	
0	blocked	10	memory	1133218.18704	1141228.35508	8010.1680375	novel	6010.97731488	True	1139806.61591	577.451558063	horizontal_71		False	incorrect	6168.51352559	
0	blocked	11	memory	1154529.8521	1162540.0624	8010.21029741	4	None	False	0	0	takeaway_60	lampsonwall	False	correct	2584.45795018	
0	blocked	12	memory	1170936.78581	1178946.98645	8010.200638	novel	6010.98727614	True	1177125.04769	177.27460976	color_6	wholecolor	False	incorrect	11920.9570543	
0	blocked	13	memory	1197313.27487	1205323.44139	8010.16652822	2	6010.91664171	True	1203835.70432	511.512808377	color_42	cups	False	incorrect	2602.81867598	
0	blocked	14	memory	1217292.07759	1225302.30963	8010.23203108	novel	6010.95195893	True	1223591.8471	288.817543419	takeaway_97	knife	False	correct	5879.2220674	
0	blocked	15	memory	1249039.71406	1257049.92496	8010.21090113	novel	6010.99361513	True	1255476.22668	425.519012132	horizontal_52		False	correct	3470.84367695	
0	blocked	16	memory	1268418.75139	1276429.08122	8010.3298326	4	6011.04794931	True	1274607.03259	177.233255414	clone_51	bookshelf	False	correct	6888.76194144	
0	blocked	17	memory	1290930.01184	1298940.25021	8010.23837007	None	None	False	0	0	horizontal_3		False	incorrect	4097.15373433	
0	blocked	18	memory	1313148.00569	1321158.33613	8010.33043632	2	6011.05579758	True	1319549.11387	390.052378147	color_54	booktable	False	incorrect	19280.8406825	
0	blocked	19	memory	1349307.24166	1357317.60319	8010.36152754	2	6011.128545	True	1355495.83106	177.460855244	horizontal_32		False	incorrect	1777.40042357	
0	blocked	20	memory	1370698.93734	1378709.23609	8010.29874138	None	None	False	0	0	color_90	bookleft	False	incorrect	3353.237351	
0	blocked	21	memory	1402126.78186	1410137.05162	8010.26976315	4	6011.04885488	True	1408143.01963	5.18891389621	horizontal_30		False	incorrect	2343.33223055	
0	blocked	22	memory	1423918.22978	1431928.51252	8010.28274298	2	6011.07390897	True	1430192.86429	263.560603134	color_55	flowerleft	False	correct	2980.88282171	
0	blocked	23	memory	1442737.61996	1450747.86044	8010.24048307	2	6011.02681935	True	1449123.47502	374.82824363	clone_100	klenexright	False	incorrect	12872.935905	
0	blocked	24	memory	1484014.87368	1492025.16004	8010.28636526	novel	6011.10137791	True	1490213.44608	187.471021772	clone_45	dressknob	False	correct	4232.37670972	
0	blocked	25	memory	1505979.67932	1512843.69989	6864.02057213	4	6011.19978315	True	1512365.6518	374.772702027	horizontal_27		False	correct	3008.0538343	
0	blocked	26	memory	1527491.34034	1535501.60799	8010.26765016	None	None	False	0	0	takeaway_75	soap	False	incorrect	5683.07417943	
0	blocked	27	memory	1550002.61438	1558012.79992	8010.18554518	4	6011.03527133	True	1556211.16978	197.520127794	clone_57	xtrabushes	False	incorrect	6328.46609789	
0	blocked	28	memory	1572180.59775	1580190.8663	8010.26855573	2	6011.07632382	True	1578424.71758	233.043510809	horizontal_81		False	correct	4027.64522922	
0	blocked	29	memory	1598410.43071	1605474.34461	7063.91389603	novel	6010.95407192	True	1604538.01551	116.630725614	takeaway_91	table	False	correct	8079.51112522	
0	blocked	30	memory	1624173.84733	1632183.93296	8010.08563066	None	None	False	0	0	takeaway_73	cabnethandle	False	correct	6286.69971795	
0	blocked	31	memory	1653722.30134	1661732.54605	8010.24470906	2	6010.98455943	True	1659738.48236	5.19646030944	clone_55	darklightright	False	incorrect	3724.08229575	
0	blocked	32	memory	1677632.96781	1685643.11471	8010.14690754	None	None	False	0	0	color_7	greenonleft	False	incorrect	3047.76366565	
0	blocked	33	memory	1700770.6488	1708780.94845	8010.29964695	4	None	False	0	0	takeaway_29	dresserknob	False	correct	1736.17014083	
0	blocked	34	memory	1722135.699	1730145.86795	8010.16894307	2	6010.98123901	True	1728389.84681	243.166571682	clone_78	fireplacehanging	False	correct	2760.04638931	
0	blocked	35	memory	1740648.49349	1748658.69021	8010.19671387	novel	6010.9250937	True	1747170.98211	511.563520275	clone_88	lightright	False	incorrect	3150.99890366	
