blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	blocked	0	rating	10218.2136009	18228.664478	8010.45087707	None	None	False	0	0	clone_72	spotceilling	False	5	19785.874744	
0	blocked	1	rating	76939.0624094	84949.2929312	8010.2305218	4	6024.31877016	True	83267.3241505	303.942970848	horizontal_8		False	3	1554.74439996	
0	blocked	2	rating	97317.781282	105328.000031	8010.2187494	4	6011.0500623	True	103561.876968	233.045623805	horizontal_68		False	4	1535.58345247	
0	blocked	3	rating	114031.253622	122041.502255	8010.24863319	4	6011.04674188	True	121449.922	1407.62163611	clone_77	drawer	False	2	2136.42436441	
0	blocked	4	rating	130318.253687	138328.55907	8010.30538222	2	6010.97218332	True	136531.869108	202.643236965	takeaway_27	reflection	False	4	2310.32572735	
0	blocked	5	rating	146658.555278	154668.826551	8010.27127243	2	6010.99542627	True	152796.329545	126.778840581	color_24	potsleft	False	5	689.773885304	
0	blocked	6	rating	162225.815858	170236.04487	8010.22901252	4	6011.04462889	True	168368.621469	131.760982748	color_22	orange	False	2	890.189119158	
0	blocked	7	rating	177726.424099	185736.631378	8010.20727885	None	None	False	0	0	horizontal_65		False	3	1746.61045293	
0	blocked	8	rating	193040.515788	201050.719143	8010.20335471	novel	6011.07904053	True	200803.282811	1751.68798176	horizontal_70		False	3	2624.33018034	
0	blocked	9	rating	209580.379265	217590.899871	8010.52060593	2	6024.74318046	True	215924.376485	319.254040048	clone_76	window	False	6	2382.31820992	
0	blocked	10	rating	226134.31318	234144.523477	8010.21029741	2	6024.27862324	True	232163.761398	5.16959507758	horizontal_13		False	7	2524.42140139	
0	blocked	11	rating	242287.967515	250298.122271	8010.15475581	novel	6024.32178873	True	248514.87549	202.586186079	horizontal_15		False	4	2463.7361629	
0	blocked	12	rating	258308.420409	266318.665118	8010.24470906	2	6024.28888637	True	265867.131204	1534.42190851	clone_71	cupsshelf	False	7	3757.64119641	
0	blocked	13	rating	275874.878654	283885.096196	8010.21754197	2	6011.0313472	True	283253.03396	1367.1239592	horizontal_81		False	4	1108.23760456	
0	blocked	14	rating	290309.323564	298319.516353	8010.19278973	4	6010.92026399	True	297125.353776	805.109948226	horizontal_75		False	5	4001.39970877	
0	blocked	15	rating	307862.450314	315872.631332	8010.18101733	None	None	False	0	0	horizontal_55		False	5	2191.81503922	
