blocknr	blocktype	trialnr	trialtype	trialstart	trialend	duration	probeNback	probeonset	probefixated	probefixtime	probeRT	imagename	imagechange	filler	response	RT	
0	mixed	0	rating	3417512.64873	3424230.06488	6717.41614853	None	None	False	0	0	horizontal_20		False	6	5299.87454804	
0	mixed	1	rating	3528522.99067	3536533.2336	8010.24292884	None	None	False	0	0	takeaway_55	vase	False	5	4466.64777039	
0	mixed	2	rating	3582968.64365	3590978.86334	8010.21968581	None	None	False	0	0	takeaway_27	reflection	False	7	3132.13477814	
0	mixed	3	rating	3608851.96277	3616862.25037	8010.28760374	None	None	False	0	0	takeaway_64	plant	False	3	2077.72436913	
0	mixed	4	memory	3630270.36859	3638280.66887	8010.30028175	None	None	False	0	0	horizontal_78		False	incorrect	31463.7774079	
0	mixed	5	rating	3682063.67351	3690073.96956	8010.29605575	None	None	False	0	0	horizontal_19		False	2	1771.27928998	
0	mixed	6	search	3709573.02264	3717583.29605	8010.27341644	None	None	False	0	0	fillers_1-8_7	filler	True	Z	3376.27195183	
0	mixed	7	search	3732270.92249	3740281.15758	8010.23508054	None	None	False	0	0	clone_34	xtrafruit	False	Z	1608.6194791	
0	mixed	8	memory	3754462.2814	3762472.18353	8009.90213178	None	None	False	0	0	horizontal_15		False	incorrect	3201.20972392	
0	mixed	9	memory	3773454.91699	3781465.21878	8010.30179104	None	None	False	0	0	color_21	checkers	False	correct	5511.71901177	
0	mixed	10	rating	3794913.36933	3802923.61256	8010.2432307	None	None	False	0	0	color_35	v	False	5	1640.02412445	
0	mixed	11	search	3812306.6271	3820316.87637	8010.24926784	None	None	False	0	0	color_13	wheelsleft	False	N	635.533693027	
0	mixed	12	search	3833485.11662	3841495.29706	8010.18044435	None	None	False	0	0	horizontal_77		False	N	942.046991961	
0	mixed	13	search	3853197.47212	3861207.71415	8010.24202327	None	None	False	0	0	horizontal_2		False	Z	1071.96674014	
0	mixed	14	rating	3874229.34767	3882239.55437	8010.20670594	None	None	False	0	0	color_17	underfacet	False	6	946.373212928	
0	mixed	15	memory	3891262.76268	3899272.95098	8010.18829264	None	None	False	0	0	horizontal_44		False	correct	3469.97454134	
0	mixed	16	search	3913893.98887	3921904.24659	8010.25771985	None	None	False	0	0	clone_83	pumpkin	False	N	1614.30858646	
0	mixed	17	memory	3935485.38648	3943495.49689	8010.11041342	None	None	False	0	0	clone_64	xtraglass	False	correct	8582.1740498	
0	mixed	18	memory	3959809.60764	3967819.79563	8010.18799078	None	None	False	0	0	color_100	stereoright	False	correct	7025.80156736	
0	mixed	19	rating	3982187.59988	3989598.00406	7410.40418109	None	None	False	0	0	takeaway_6	lightsonright	False	6	1495.36709186	
0	mixed	20	rating	3999794.10002	4007804.36317	8010.26315329	None	None	False	0	0	horizontal_43		False	4	1091.38341873	
0	mixed	21	rating	4016227.72277	4024237.96359	8010.24081584	None	None	False	0	0	color_18	magcolor	False	6	1550.80502363	
0	mixed	22	memory	4035087.15953	4043097.32669	8010.16716262	None	None	False	0	0	clone_89	piconshelf	False	incorrect	9850.92890593	
0	mixed	23	search	4060130.75499	4068140.98101	8010.22602482	None	None	False	0	0	horizontal_79		False	Z	535.029047742	
0	mixed	24	search	4083228.52299	4091238.74751	8010.22451553	None	None	False	0	0	horizontal_58		False	Z	1210.25246753	
0	mixed	25	rating	4101221.53499	4109231.79211	8010.25711614	None	None	False	0	0	clone_49	vase	False	6	1382.19831914	
0	mixed	26	search	4119214.55273	4127224.79113	8010.23840098	None	None	False	0	0	fillers_1-8_10	filler	True	Z	578.140932414	
0	mixed	27	rating	4141685.9291	4149696.1361	8010.2070078	None	None	False	0	0	color_29	cupright	False	5	973.133177696	
0	mixed	28	memory	4158879.22623	4166889.51866	8010.29243346	None	None	False	0	0	horizontal_57		False	correct	2840.77593061	
0	mixed	29	memory	4178538.33167	4186548.51453	8010.18285921	None	None	False	0	0	color_78	ovenclock	False	correct	14389.2361256	
0	mixed	30	search	4208353.37093	4216363.6694	8010.29847061	None	None	False	0	0	fillers_1-8_1	filler	True	N	965.781137653	
0	mixed	31	rating	4231651.08811	4239661.31473	8010.22662854	None	None	False	0	0	horizontal_52		False	4	1998.34129331	
0	mixed	32	rating	4252349.78939	4260360.00304	8010.21364867	None	None	False	0	0	horizontal_39		False	5	1387.36611867	
0	mixed	33	memory	4272821.86275	4280832.10779	8010.24504184	None	None	False	0	0	color_65	picright	False	correct	4944.09781147	
0	mixed	34	search	4295253.18595	4303263.37244	8010.1864815	None	None	False	0	0	horizontal_56		False	N	1221.77798868	
0	mixed	35	memory	4316711.58094	4324721.79882	8010.21787467	None	None	False	0	0	color_70	tomato	False	correct	8821.62216986	
0	mixed	36	search	4344380.83664	4352391.14568	8010.30903562	None	None	False	0	0	color_25	hangingcandle	False	N	1911.94667265	
0	mixed	37	memory	4368171.63132	4376181.88753	8010.25621057	None	None	False	0	0	horizontal_63		False	incorrect	1496.76106956	
0	mixed	38	search	4393575.18152	4401585.39004	8010.20851709	None	None	False	0	0	horizontal_60		False	Z	2540.68525263	
0	mixed	39	rating	4414806.94254	4422817.19332	8010.25077713	None	None	False	0	0	clone_9	bookshelf	False	6	1159.31311734	
0	mixed	40	memory	4432373.46558	4440383.65539	8010.18980193	None	None	False	0	0	color_1	oranges	False	correct	10085.6128099	
0	mixed	41	search	4458283.12055	4466293.71907	8010.59851691	None	None	False	0	0	horizontal_18		False	N	1263.31961089	
0	mixed	42	search	4480101.6668	4488111.9384	8010.2716053	None	None	False	0	0	takeaway_73	cabnethandle	False	Z	1964.73882388	
0	mixed	43	search	4498627.90606	4506638.0702	8010.16414404	None	None	False	0	0	clone_57	xtrabushes	False	Z	2390.22350129	
0	mixed	44	memory	4516940.78885	4524950.98016	8010.19131121	None	None	False	0	0	color_8	paintingright	False	correct	2791.64802697	
0	mixed	45	search	4534760.56577	4542770.83707	8010.27130344	None	None	False	0	0	clone_82	rug	False	N	1742.33055685	
0	mixed	46	search	4552047.13293	4560057.44347	8010.31054491	None	None	False	0	0	color_49	spacepink	False	N	730.022319341	
0	mixed	47	rating	4579156.70899	4587166.87253	8010.16354033	None	None	False	0	0	color_51	dots	False	6	1174.67102066	
0	mixed	48	memory	4597149.73941	4605159.98898	8010.2495697	None	None	False	0	0	color_66	painting	False	incorrect	2502.31585035	
0	mixed	49	search	4619847.62809	4627857.89125	8010.26315329	None	None	False	0	0	takeaway_63	ovenlogo	False	Z	853.033154211	
0	mixed	50	search	4643305.2464	4651315.49477	8010.24836227	None	None	False	0	0	color_98	tv	False	N	774.316579641	
0	mixed	51	search	4667402.56162	4675412.84772	8010.28609445	None	None	False	0	0	takeaway_95	drawerknob	False	Z	772.55675071	
0	mixed	52	rating	4685595.55781	4693605.78806	8010.23025083	None	None	False	0	0	clone_14	corner	False	6	955.34803862	
